Age	Div
61.74752	214
61.580668	214
61.54121942	215
61.44957	214
61.395939	214
61.246964	215
61.03244	215
60.996686	216
60.782162	216
60.567638	216
60.502089	216
60.323319	217
60.037287	217
60.007492	217
60.0039166	217
60.00266521	226
60.00159259	226
60.0043094	228
60.0039	227
59.99575294	227
59.995712	227
59.9932556	230
59.987524	230
59.98535418	230
59.97663396	235
59.975242	235
59.96296	235
59.958866	235
59.954772	235
59.938396	235
59.930208	235
59.926114	235
59.92230658	235
59.9216106	236
59.9197683	239
59.9185401	240
59.91796694	240
59.9187448	240
59.9183354	240
59.917926	240
59.856516	244
59.848328	246
59.80607792	246
59.803294	246
59.791012	247
59.73811752	248
59.73779	251
59.725508	251
59.70774004	252
59.705038	252
59.6645074	252
59.664098	252
59.65591	252
59.65009652	259
59.63544	257
59.61505188	257
59.610876	257
59.586312	258
59.557654	258
59.545372	258
59.51929322	263
59.51683682	265
59.496244	264
59.483962	266
59.48166936	271
59.467586	272
59.463492	272
59.434834	272
59.43074	272
59.3898	273
59.38668856	273
59.3820214	273
59.381612	273
59.36933	273
59.36241114	274
59.352954	271
59.336578	271
59.324296	271
59.316108	272
59.29285408	272
59.27881166	272
59.27328476	278
59.258792	278
59.24655094	278
59.24651	278
59.23205818	278
59.2264494	278
59.22604	278
59.2059794	278
59.20557	278
59.193288	278
59.181006	278
59.17580662	278
59.148254	277
59.135972	278
59.119596	278
59.08275	278
59.07624054	278
59.058186	278
59.049998	278
59.04181	278
59.02838168	277
59.017246	276
58.98453494	276
58.984494	277
58.947648	277
58.943554	278
58.92222426	286
58.92013632	286
58.91903094	283
58.91899	282
58.882144	282
58.869862	282
58.86932978	282
58.861674	278
58.8577847	278
58.85708872	276
58.849392	276
58.83182874	276
58.81987426	279
58.81664	277
58.792076	273
58.78699944	273
58.76534218	273
58.7640321	275
58.759324	273
58.75023532	272
58.73111634	272
58.726572	272
58.7024174	272
58.702008	272
58.70168048	272
58.6780581	272
58.66733182	272
58.64964574	278
58.64882694	277
58.648786	277
58.63728186	278
58.624222	276
58.61247222	276
58.59261632	276
58.587376	276
58.58274978	275
58.56645566	275
58.5480736	288
58.5386574	278
58.538248	279
58.5359963	279
58.5304694	279
58.53006	277
58.5210532	277
58.50205704	277
58.49247708	277
58.476838	277
58.46815872	273
58.46201772	273
58.44093362	273
58.4404014	273
58.439992	274
58.43106708	274
58.419522	274
58.40957358	272
58.40724	273
58.40421044	270
58.38161156	270
58.374488	270
58.36908392	270
58.35111126	270
58.34591188	270
58.34292326	270
58.34189976	270
58.34026216	271
58.32990434	270
58.317172	269
58.3155344	273
58.3147156	264
58.31438808	264
58.3134874	260
58.313078	247
58.3118498	250
58.30489	239
58.145224	238
57.97737	239
57.809516	239
57.641662	241
57.5198655	241
57.473808	241
57.30186	245
57.134006	246
56.966152	247
56.798298	247
56.630444	248
56.4752814	248
56.474872	247
56.327488	247
56.180104	247
56.03272	251
55.905806	252
55.881242	252
55.80439762	252
55.830554	253
55.829457	255
55.82836	248
55.64187	247
55.319352	247
55.24695	252
54.85203	252
54.83009	252
54.6436	252
54.59972	253
54.56681	253
54.45711	253
54.39129	254
54.33644	258
54.23771	256
54.14995	258
54.140077	259
54.13898	259
54.063287	265
54.06219	266
54.04025	266
53.863633	266
53.7909019	266
53.75503	266
53.7181708	266
53.66727	272
53.64533	273
53.59048	273
53.548794	276
53.53563	278
53.4290016	277
53.42593	277
53.3943364	277
53.39302	278
53.36011	277
53.34914	277
53.3272	284
53.3017496	284
53.262477	284
53.26138	284
53.2115762	284
53.18459	285
53.17362	285
53.12974	285
53.1188797	285
53.09683	288
53.0624939	287
53.03101	288
53.02004	287
52.9981	287
52.9644221	287
52.92131	287
52.9170317	287
52.89937	289
52.8954208	288
52.86646	288
52.85549	288
52.82258	290
52.78967	290
52.7804552	290
52.7715695	290
52.70191	290
52.69094	292
52.5608358	291
52.5520598	291
52.48251	291
52.4797675	291
52.36184	291
52.3436298	291
52.27408	291
52.2450095	295
52.242267	300
52.24117	297
52.2248247	301
52.21923	301
52.20826	302
52.18632	302
52.1205	302
51.93401	302
51.902197	305
51.84625	304
51.8220063	304
51.8154243	304
51.67073	304
51.572	304
51.48424	304
51.45133	304
51.42939	305
51.39648	305
51.33066	305
51.29775	305
51.27581	305
51.257161	305
51.254967	307
51.25387	307
51.20999	307
51.1332	307
51.12223	307
51.0976572	307
51.07835	307
51.03447	308
51.0249261	308
51.0164792	308
51.00156	309
50.9523047	310
50.94671	311
50.90283	309
50.8795736	309
50.85895	309
50.82604	309
50.8041	309
50.79313	309
50.77119	309
50.7674602	309
50.73828	309
50.71634	309
50.7131587	309
50.6944	309
50.6613803	309
50.65052	309
50.62858	310
50.6048848	310
50.5874425	310
50.57373	312
50.5590302	313
50.51888	313
50.5147114	313
50.44209	313
50.4419803	313
50.40918	313
50.37627	313
50.29948	313
50.2965181	313
50.23366	313
50.223787	313
50.18978	313
50.16784	313
50.1510559	313
50.118475	312
50.0055937	312
49.99232	312
49.94844	312
49.93747	312
49.9063152	313
49.86068	315
49.8064882	315
49.7711648	315
49.714779	315
49.7074291	315
49.64128	315
49.60837	315
49.5607602	316
49.4856157	318
49.4585198	318
49.4036698	327
49.3797552	324
49.25733	324
49.225517	327
49.22442	328
49.2235424	330
49.2044546	332
49.1718737	331
49.1440099	329
49.13666	334
49.1243736	334
49.10375	335
48.9727682	338
48.9392	338
48.9169309	338
48.8666883	338
48.828403	339
48.7602793	343
48.70883	340
48.6783334	344
48.63204	344
48.623264	344
48.622167	344
48.62107	342
48.6006658	343
48.58816	341
48.558541	344
48.54428	339
48.5039104	338
48.479557	338
