Species	Status	MinT	MaxT
141	extinct	25.7	26.69
141	extinct	30.58	36.31
141	extinct	24.62	27.96
144	extinct	32.5	34.31
145	extinct	24.8	31.4
145	extinct	33.71	34.92
125	extinct	32.25	34.98
102	extinct	30.76	32.8
150	extinct	31.42	32.18
151	extinct	31.47	33.15
151	extinct	32.38	33.08
151	extinct	30.19	33.21
118	extinct	36.39	38.5
154	extinct	32.85	34.77
163	extinct	31.52	33.56
163	extinct	32.82	33.73
163	extinct	29.87	30.05
161	extinct	29.78	30.25
161	extinct	30.43	34.43
161	extinct	30.86	34.06
159	extinct	31.73	33.6
159	extinct	31.25	31.79
42	extinct	18.7	39.28
42	extinct	40.56	50.0
97	extinct	32.59	41.5
97	extinct	35.07	35.4
157	extinct	32.76	34.36
274	extinct	23.15	24.67
269	extinct	23.25	26.59
261	extinct	26.61	26.86
261	extinct	26.36	26.41
265	extinct	22.46	24.3
265	extinct	22.09	23.81
265	extinct	24.69	27.38
262	extinct	24.05	27.5
262	extinct	25.47	25.59
262	extinct	23.33	25.58
260	extinct	24.54	24.65
253	extinct	22.59	22.79
251	extinct	25.35	27.65
251	extinct	25.76	26.38
267	extinct	25.54	27.16
277	extinct	26.77	27.05
294	extinct	24.94	25.91
352	extinct	22.74	23.26
344	extinct	23.1	23.65
338	extinct	22.81	23.21
338	extinct	22.82	22.94
338	extinct	23.11	23.41
334	extinct	24.52	24.6
334	extinct	23.86	24.57
334	extinct	24.02	24.61
332	extinct	23.83	24.21
320	extinct	23.34	23.6
314	extinct	24.87	25.12
310	extinct	22.88	22.98
310	extinct	24.37	25.42
310	extinct	23.23	24.99
310	extinct	21.93	23.63
310	extinct	22.87	24.29
310	extinct	24.5	25.12
309	extinct	24.51	24.8
309	extinct	24.33	24.66
309	extinct	24.08	25.25
309	extinct	23.55	23.66
309	extinct	23.92	24.28
309	extinct	23.65	24.37
305	extinct	24.46	24.76
305	extinct	23.44	23.64
292	extinct	25.0	25.73
292	extinct	25.11	26.22
283	extinct	25.9	26.46
278	extinct	21.07	24.6
249	extinct	26.87	27.02
249	extinct	26.12	27.64
169	extinct	31.27	33.37
169	extinct	21.7	24.13
169	extinct	22.43	26.21
219	extinct	28.26	28.87
246	extinct	27.31	27.41
246	extinct	26.3	26.67
146	extinct	33.75	34.82
146	extinct	30.05	33.72
146	extinct	33.34	33.73
131	extinct	32.47	33.49
209	extinct	19.88	21.92
209	extinct	21.24	24.54
209	extinct	20.44	30.73
209	extinct	28.71	30.32
209	extinct	24.37	25.71
212	extinct	27.12	29.24
212	extinct	24.11	24.13
149	extinct	17.11	35.26
149	extinct	14.47	30.37
149	extinct	19.35	31.74
149	extinct	14.85	18.82
214	extinct	22.02	28.77
220	extinct	24.08	30.12
220	extinct	26.74	28.89
220	extinct	28.23	29.99
119	extinct	24.75	33.13
119	extinct	18.34	29.23
119	extinct	33.84	38.54
182	extinct	26.25	28.82
232	extinct	27.8	28.44
114	extinct	34.78	39.31
114	extinct	17.34	25.97
114	extinct	22.15	27.4
114	extinct	17.48	21.28
114	extinct	32.75	35.23
185	extinct	29.74	30.02
353	extinct	21.11	21.28
353	extinct	20.49	22.79
353	extinct	19.19	23.29
353	extinct	20.33	22.33
353	extinct	19.66	21.86
353	extinct	20.17	21.28
345	extinct	22.89	23.65
359	extinct	20.34	22.6
347	extinct	19.02	22.13
347	extinct	18.92	22.43
347	extinct	19.44	20.0
347	extinct	21.3	23.75
347	extinct	20.04	21.08
356	extinct	20.33	21.07
356	extinct	19.44	20.56
356	extinct	20.16	22.27
356	extinct	19.66	19.86
356	extinct	21.21	22.87
356	extinct	22.38	23.28
355	extinct	18.96	22.54
355	extinct	21.7	21.8
380	extinct	19.93	20.6
367	extinct	22.1	22.85
367	extinct	22.22	22.89
370	extinct	20.72	21.75
375	extinct	20.87	21.97
375	extinct	21.3	22.04
375	extinct	21.12	21.44
375	extinct	21.44	22.27
375	extinct	21.23	21.67
375	extinct	21.36	22.39
381	extinct	21.09	21.91
390	extinct	20.28	21.13
390	extinct	20.12	21.78
390	extinct	20.34	20.67
392	extinct	21.14	21.93
394	extinct	20.19	21.66
394	extinct	20.52	21.62
362	extinct	20.25	22.37
340	extinct	21.97	23.96
143	extinct	19.93	28.24
143	extinct	24.54	28.97
143	extinct	28.05	33.91
143	extinct	33.7	35.46
337	extinct	20.29	23.05
83	extinct	23.1	25.88
83	extinct	23.58	33.88
83	extinct	17.98	30.11
83	extinct	8.74	38.75
83	extinct	28.46	42.36
255	extinct	27.1	27.67
226	extinct	19.34	28.98
266	extinct	19.11	23.29
266	extinct	24.26	27.24
275	extinct	17.8	20.15
275	extinct	19.37	25.5
216	extinct	24.26	30.02
216	extinct	16.45	19.79
216	extinct	25.04	27.15
213	extinct	23.6	27.94
288	extinct	19.51	20.71
288	extinct	24.04	24.32
288	extinct	25.26	26.43
288	extinct	17.29	21.15
288	extinct	19.65	19.97
288	extinct	21.51	22.82
288	extinct	19.91	25.66
288	extinct	25.32	25.59
288	extinct	21.8	24.91
211	extinct	19.81	20.6
211	extinct	16.31	25.66
211	extinct	16.95	20.72
211	extinct	26.43	29.07
211	extinct	12.7	27.84
300	extinct	22.29	24.95
300	extinct	19.67	21.47
300	extinct	20.67	25.46
300	extinct	19.0	20.99
300	extinct	17.76	19.01
302	extinct	20.59	24.05
302	extinct	19.46	19.7
302	extinct	15.81	21.96
306	extinct	19.52	23.6
199	extinct	21.01	23.23
318	extinct	22.59	24.23
318	extinct	15.91	16.76
318	extinct	17.55	18.94
322	extinct	23.13	23.32
322	extinct	22.28	23.19
322	extinct	22.44	23.52
324	extinct	20.28	22.36
324	extinct	19.43	24.81
324	extinct	21.86	24.53
324	extinct	23.01	23.17
325	extinct	20.5	24.52
325	extinct	20.22	23.94
325	extinct	20.12	20.7
330	extinct	19.51	23.46
330	extinct	19.51	20.02
330	extinct	22.05	22.27
330	extinct	19.67	22.84
406	extinct	21.03	21.4
406	extinct	20.55	21.39
406	extinct	20.43	21.13
406	extinct	20.61	21.24
