core	age_calkaBP	d18Obenth	d18Ow	sealevel
1337 Kochhann	18675.00	1.51	0.10	-6.36
1337 Kochhann	18679.00	1.25	-0.16	9.60
1337 Kochhann	18683.00	1.36	-0.05	2.85
1337 Kochhann	18688.00	1.94	0.53	-32.89
1337 Kochhann	18692.00	1.72	0.32	-19.46
1337 Kochhann	18696.00	1.72	0.32	-19.44
1337 Kochhann	18701.00	1.79	0.39	-23.85
1337 Kochhann	18705.00	1.79	0.39	-24.21
1337 Kochhann	18709.00	1.75	0.35	-21.43
1337 Kochhann	18714.00	1.33	-0.07	4.42
1337 Kochhann	18718.00	1.20	-0.20	12.12
1337 Kochhann	18724.00	1.26	-0.14	8.37
1337 Kochhann	18730.00	1.31	-0.09	5.55
1337 Kochhann	18736.00	1.65	0.25	-15.49
1337 Kochhann	18742.00	1.12	-0.28	17.44
1337 Kochhann	18748.00	1.92	0.52	-31.78
1337 Kochhann	18754.00	1.39	-0.01	0.65
1337 Kochhann	18760.00	1.34	-0.06	3.49
1337 Kochhann	18766.00	1.39	-0.01	0.55
1337 Kochhann	18772.00	1.49	0.09	-5.48
1337 Kochhann	18778.00	1.27	-0.13	8.13
1337 Kochhann	18784.00	1.48	0.08	-4.85
1337 Kochhann	18790.00	1.58	0.18	-11.05
1337 Kochhann	18796.00	1.26	-0.14	8.77
1337 Kochhann	18802.00	1.35	-0.05	3.01
1337 Kochhann	18808.00	1.53	0.13	-7.94
1337 Kochhann	18814.00	1.59	0.18	-11.20
1337 Kochhann	18819.00	1.38	-0.03	1.71
1337 Kochhann	18825.00	1.49	0.08	-5.06
1337 Kochhann	18831.00	1.23	-0.18	11.13
1337 Kochhann	18837.00	1.44	0.03	-1.67
1337 Kochhann	18842.00	1.59	0.18	-11.04
1337 Kochhann	18847.00	2.01	0.60	-36.65
1337 Kochhann	18853.00	1.62	0.21	-13.02
1337 Kochhann	18858.00	1.64	0.23	-14.26
1337 Kochhann	18863.00	1.40	-0.01	0.57
1337 Kochhann	18868.00	1.42	0.01	-0.68
1337 Kochhann	18874.00	1.70	0.28	-17.35
1337 Kochhann	18879.00	1.76	0.35	-21.48
1337 Kochhann	18883.00	1.85	0.44	-26.98
1337 Kochhann	18888.00	1.81	0.40	-24.47
1337 Kochhann	18894.00	1.80	0.38	-23.42
1337 Kochhann	18899.00	1.79	0.37	-22.57
1337 Kochhann	18904.00	1.75	0.33	-20.45
1337 Kochhann	18909.00	1.62	0.20	-12.23
1337 Kochhann	18915.00	1.64	0.21	-13.16
1337 Kochhann	18920.00	1.66	0.23	-14.23
1337 Kochhann	18925.00	1.64	0.21	-12.84
1337 Kochhann	18930.00	1.79	0.36	-22.10
1337 Kochhann	18936.00	1.70	0.27	-16.75
1337 Kochhann	18941.00	1.87	0.44	-26.81
1337 Kochhann	18946.00	1.77	0.34	-20.62
1337 Kochhann	18951.00	1.78	0.34	-21.20
1337 Kochhann	18957.00	1.73	0.29	-17.82
1337 Kochhann	18962.00	1.62	0.18	-10.96
