"order","family","genus","ts","te"
"Rodentia",,"Scleromys",24.2450306505259,15.6429295160189
"Rodentia",,"Plesiosteiromys",24.9793432504644,24.2623051664495
"Rodentia",,"Ethelomys",24.9980123746434,24.305119244793
"Rodentia",,"Tacheria",25.1332734646922,24.4532140740813
"Rodentia","Acaremyidae","Changquin",25.3467556451573,24.5767627658008
"Rodentia","Erethizontidae","Cholamys",25.673977705606,24.8600919319981
"Rodentia",,"Xylechimys",25.6789219205868,24.8713112213443
"Rodentia",,"Paulacoutomys",25.6900303083921,24.8942281800263
"Rodentia","Acaremyidae","Platypittamys",25.8396219055156,25.0433462200899
"Rodentia",,"Loncolicu",25.9925654002139,25.1350188729124
"Rodentia",,"Llitun",26.0127233589705,25.1305017183917
"Rodentia","Acaremyidae","Galileomys",26.0558271772603,16.5026146556074
"Rodentia","Echimyidae","Acarechimys",26.0662385691187,15.3907667272137
"Rodentia",,"Protacaremys",26.3014182294591,16.4560555072953
"Rodentia",,"Lapazomys",26.4785253781072,23.8347986389329
"Rodentia","Dasyproctidae","Neoreomys",26.7064928841286,15.267780801216
"Rodentia",,"Leucokephalos",26.8228703812167,17.5665938883335
"Rodentia",,"?Sallamys",26.8708089106325,25.8962223702906
"Rodentia","Cephalomyidae","Litodontomys",27.5002310726446,24.3255642958611
"Rodentia","Chinchillidae","Scotamys",27.5306859431122,23.8711577940133
"Rodentia","Octodontidae","Migraveramus",27.7374283038624,23.1857716258675
"Rodentia",,"Loretomys",27.8134185962523,26.7221508348055
"Rodentia","Erethizontidae","Palaeosteiromys",27.8392208263147,26.7323627861216
"Rodentia",,"Sallamys",28.1122896254151,23.4843839718612
"Rodentia","Chinchillidae","Incamys",28.2417769458706,23.1113322429346
"Rodentia","Echimyidae","Deseadomys",28.2470731409692,23.4938057080535
"Rodentia","Eocardiidae","Chubutomys",28.2946161532433,17.8573499475567
"Rodentia","Cephalomyidae","Cephalomys",28.3098784155911,23.2390707752789
"Rodentia","Eocardiidae","Asteromys",28.3690738679049,23.2351309676618
"Rodentia","Cephalomyidae","Cephalomyopsis",28.4598337532385,16.6717564447966
"Rodentia","Caviidae","Branisamys",28.4608753250547,23.5590315157983
"Rodentia","Erethizontidae","Protosteiromys",28.5020782126313,23.4571847176318
"Rodentia",,"Chambiramys",29.2710138013121,23.7778240862421
"Rodentia",,"Eopicure",29.6262143918619,28.4221667859454
"Rodentia",,"Vucetichimys",29.6685779662413,28.4507133243026
"Rodentia",,"Eosachacui",30.1286974860774,28.8016449972931
"Rodentia","Adelphomyidae","Eodelphomys",30.7033893850001,29.3520499019125
"Rodentia",,"Ucayalimys",30.9866856086053,26.4254954802619
"Rodentia",,"Draconomys",31.4626034223714,29.9623259670771
"Rodentia",,"Vallehermosomys",31.4940655057996,29.9630203947389
"Rodentia","Dasyproctidae","Andemys",31.6627568719455,30.2496592729824
"Rodentia",,"Selvamys",31.799318189818,30.3972739733943
"Rodentia",,"Eosallamys",31.8196405482655,24.4804709465568
"Rodentia",,"Mayomys",32.0880618162971,30.6322745796816
"Rodentia","Erethizontidae","Steiromys",32.1231804273006,15.1212276612205
"Rodentia",,"Shapajamys",32.351881471501,28.3594396558246
"Rodentia","Chinchillidae","Eoviscaccia",33.2980799756678,16.0806494546993
"Rodentia",,"Kichkasteiromys",35.0482155135516,33.5434033403444
"Rodentia",,"Tarapotomys",36.7638918016437,28.8243438155794
"Rodentia","Erethizontidae","Eopululo",37.0590770344841,28.0370525901076
"Rodentia",,"Eoincamys",37.209000547023,28.1147204993899
"Rodentia",,"Balsayacuy",37.2567045579978,28.2984484142552
"Rodentia",,"Chachapoyamys",38.2929870842283,33.9222416575305
"Rodentia",,"Canaanimys",40.7942522607068,27.8777149252542
"Rodentia",,"Cachiyacuy",41.605133070639,28.8186119787077
"Rodentia",,"Eoespina",41.7448123898393,28.2591194571993
"Rodentia",,"Pozomys",42.429509492391,27.7892387131041
"Rodentia",,"Eobranisamys",42.5322367134493,27.721066481104
