".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"df"	"p"	"p.adj"	"p.adj.signif"
"61"	"AICc"	"46.0"	"HPP"	10	10	-109.859810369707	9	2.18e-15	1.7e-13	"****"
"62"	"AICc"	"46.0"	"NHPP"	10	10	-103.199885940261	9	3.82e-15	2.98e-13	"****"
"63"	"AICc"	"46.0"	"TPP"	10	10	10.4332715942427	9	2.51e-06	0.000196	"***"
"64"	"AICc"	"49.0"	"51.0"	10	10	-6.64817311791262	9	9.39e-05	0.007	"**"
"65"	"AICc"	"49.0"	"54.0"	10	10	9.30401791822511	9	6.5e-06	0.000507	"***"
"66"	"AICc"	"49.0"	"HPP"	10	10	-98.0296350512932	9	6.07e-15	4.73e-13	"****"
"67"	"AICc"	"49.0"	"NHPP"	10	10	-91.7384918574227	9	1.1e-14	8.58e-13	"****"
"68"	"AICc"	"49.0"	"TPP"	10	10	13.0930973009632	9	3.65e-07	2.85e-05	"****"
"69"	"AICc"	"51.0"	"54.0"	10	10	16.1412305648887	9	5.96e-08	4.65e-06	"****"
"70"	"AICc"	"51.0"	"HPP"	10	10	-98.6014995077874	9	5.76e-15	4.49e-13	"****"
"71"	"AICc"	"51.0"	"NHPP"	10	10	-92.2884690057158	9	1.04e-14	8.11e-13	"****"
"72"	"AICc"	"51.0"	"TPP"	10	10	16.6348622419615	9	4.58e-08	3.57e-06	"****"
"73"	"AICc"	"54.0"	"HPP"	10	10	-104.013375249635	9	3.56e-15	2.78e-13	"****"
"74"	"AICc"	"54.0"	"NHPP"	10	10	-97.1249899913552	9	6.59e-15	5.14e-13	"****"
"75"	"AICc"	"54.0"	"TPP"	10	10	6.91074861733659	9	6.98e-05	0.005	"**"
"76"	"AICc"	"HPP"	"NHPP"	10	10	13.7455840191851	9	2.4e-07	1.87e-05	"****"
"77"	"AICc"	"HPP"	"TPP"	10	10	106.817340930689	9	2.8e-15	2.18e-13	"****"
"78"	"AICc"	"NHPP"	"TPP"	10	10	99.2775060299984	9	5.41e-15	4.22e-13	"****"
