".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"df"	"p"	"p.adj"	"p.adj.signif"
"1"	"AICc"	"20.44"	"23.03"	10	10	-4.50120751403057	9	0.001	0.067	"ns"
"2"	"AICc"	"20.44"	"27.82"	10	10	-17.3517797373796	9	3.17e-08	1.43e-06	"****"
"3"	"AICc"	"20.44"	"33.9"	10	10	-0.54134014840855	9	0.601	1	"ns"
"4"	"AICc"	"20.44"	"37.71"	10	10	-0.728683234446845	9	0.485	1	"ns"
"5"	"AICc"	"20.44"	"41.2"	10	10	-20.1670227568956	9	8.44e-09	3.8e-07	"****"
"6"	"AICc"	"20.44"	"47.8"	10	10	-26.4358562131029	9	7.66e-10	3.45e-08	"****"
"7"	"AICc"	"20.44"	"HPP"	10	10	-71.0525836518738	9	1.1e-13	4.95e-12	"****"
"8"	"AICc"	"20.44"	"NHPP"	10	10	-65.5808614456774	9	2.25e-13	1.01e-11	"****"
"9"	"AICc"	"20.44"	"TPP"	10	10	4.2116778924131	9	0.002	0.102	"ns"
"10"	"AICc"	"23.03"	"27.82"	10	10	-5.78600421666018	9	0.000264	0.012	"*"
"11"	"AICc"	"23.03"	"33.9"	10	10	7.51193014485025	9	3.65e-05	0.002	"**"
"12"	"AICc"	"23.03"	"37.71"	10	10	6.54452310341085	9	0.000106	0.005	"**"
"13"	"AICc"	"23.03"	"41.2"	10	10	-18.2506880716035	9	2.03e-08	9.14e-07	"****"
"14"	"AICc"	"23.03"	"47.8"	10	10	-13.9090300252513	9	2.17e-07	9.76e-06	"****"
"15"	"AICc"	"23.03"	"HPP"	10	10	-79.9034161436502	9	3.81e-14	1.71e-12	"****"
"16"	"AICc"	"23.03"	"NHPP"	10	10	-83.7534808132396	9	2.5e-14	1.12e-12	"****"
"17"	"AICc"	"23.03"	"TPP"	10	10	9.03725626120187	9	8.25e-06	0.000371	"***"
"18"	"AICc"	"27.82"	"33.9"	10	10	31.0078742687837	9	1.85e-10	8.32e-09	"****"
"19"	"AICc"	"27.82"	"37.71"	10	10	23.3271167059124	9	2.33e-09	1.05e-07	"****"
"20"	"AICc"	"27.82"	"41.2"	10	10	-12.7283528316206	9	4.65e-07	2.09e-05	"****"
"21"	"AICc"	"27.82"	"47.8"	10	10	-14.6712622335642	9	1.37e-07	6.16e-06	"****"
"22"	"AICc"	"27.82"	"HPP"	10	10	-79.027436304273	9	4.21e-14	1.89e-12	"****"
"23"	"AICc"	"27.82"	"NHPP"	10	10	-72.3233263528954	9	9.34e-14	4.2e-12	"****"
"24"	"AICc"	"27.82"	"TPP"	10	10	32.8630948493726	9	1.1e-10	4.95e-09	"****"
"25"	"AICc"	"33.9"	"37.71"	10	10	-0.146878586763353	9	0.886	1	"ns"
"26"	"AICc"	"33.9"	"41.2"	10	10	-27.5604045995216	9	5.29e-10	2.38e-08	"****"
"27"	"AICc"	"33.9"	"47.8"	10	10	-30.0906510524063	9	2.42e-10	1.09e-08	"****"
"28"	"AICc"	"33.9"	"HPP"	10	10	-81.7743909576319	9	3.1e-14	1.4e-12	"****"
"29"	"AICc"	"33.9"	"NHPP"	10	10	-77.6388617623005	9	4.94e-14	2.22e-12	"****"
"30"	"AICc"	"33.9"	"TPP"	10	10	12.2675203074422	9	6.38e-07	2.87e-05	"****"
"31"	"AICc"	"37.71"	"41.2"	10	10	-27.8998477173592	9	4.74e-10	2.13e-08	"****"
"32"	"AICc"	"37.71"	"47.8"	10	10	-29.7800078048917	9	2.65e-10	1.19e-08	"****"
"33"	"AICc"	"37.71"	"HPP"	10	10	-76.0602990035311	9	5.94e-14	2.67e-12	"****"
"34"	"AICc"	"37.71"	"NHPP"	10	10	-72.3088195462543	9	9.36e-14	4.21e-12	"****"
"35"	"AICc"	"37.71"	"TPP"	10	10	13.7593734222029	9	2.38e-07	1.07e-05	"****"
"36"	"AICc"	"41.2"	"47.8"	10	10	0.557732308385544	9	0.591	1	"ns"
"37"	"AICc"	"41.2"	"HPP"	10	10	-82.4466435800423	9	2.88e-14	1.3e-12	"****"
"38"	"AICc"	"41.2"	"NHPP"	10	10	-79.6766193648643	9	3.91e-14	1.76e-12	"****"
"39"	"AICc"	"41.2"	"TPP"	10	10	27.7916636439909	9	4.91e-10	2.21e-08	"****"
"40"	"AICc"	"47.8"	"HPP"	10	10	-64.3038217210535	9	2.68e-13	1.21e-11	"****"
"41"	"AICc"	"47.8"	"NHPP"	10	10	-61.9891107620067	9	3.73e-13	1.68e-11	"****"
"42"	"AICc"	"47.8"	"TPP"	10	10	34.9094387237752	9	6.42e-11	2.89e-09	"****"
"43"	"AICc"	"HPP"	"NHPP"	10	10	-0.839990863513245	9	0.423	1	"ns"
"44"	"AICc"	"HPP"	"TPP"	10	10	77.434399168101	9	5.06e-14	2.28e-12	"****"
"45"	"AICc"	"NHPP"	"TPP"	10	10	73.531781613037	9	8.05e-14	3.62e-12	"****"
