".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"df"	"p"	"p.adj"	"p.adj.signif"
"62"	"AICc"	"38.2"	"NHPP"	8	8	-50.9445135002234	7	2.94e-10	2.68e-08	"****"
"63"	"AICc"	"38.2"	"TPP"	8	8	11.8272060092857	7	7.01e-06	0.000638	"***"
"64"	"AICc"	"41.7"	"46.0"	8	8	14.6310762759783	7	1.66e-06	0.000151	"***"
"65"	"AICc"	"41.7"	"49.0"	8	8	17.2507837866655	7	5.4e-07	4.91e-05	"****"
"66"	"AICc"	"41.7"	"51.0"	8	8	11.0793971335329	7	1.08e-05	0.000983	"***"
"67"	"AICc"	"41.7"	"54.0"	8	8	17.905026127484	7	4.19e-07	3.81e-05	"****"
"68"	"AICc"	"41.7"	"HPP"	8	8	-53.0117177079452	7	2.23e-10	2.03e-08	"****"
"69"	"AICc"	"41.7"	"NHPP"	8	8	-55.5961020902192	7	1.6e-10	1.46e-08	"****"
"70"	"AICc"	"41.7"	"TPP"	8	8	20.749597735253	7	1.52e-07	1.38e-05	"****"
"71"	"AICc"	"46.0"	"49.0"	8	8	9.22091882751221	7	3.64e-05	0.003	"**"
"72"	"AICc"	"46.0"	"51.0"	8	8	2.02149943063119	7	0.083	1	"ns"
"73"	"AICc"	"46.0"	"54.0"	8	8	10.4242541260029	7	1.63e-05	0.001	"**"
"74"	"AICc"	"46.0"	"HPP"	8	8	-52.6514071306399	7	2.34e-10	2.13e-08	"****"
"75"	"AICc"	"46.0"	"NHPP"	8	8	-52.3163312247615	7	2.44e-10	2.22e-08	"****"
"76"	"AICc"	"46.0"	"TPP"	8	8	15.5918138024474	7	1.08e-06	9.83e-05	"****"
"77"	"AICc"	"49.0"	"51.0"	8	8	-8.11342949989991	7	8.33e-05	0.008	"**"
"78"	"AICc"	"49.0"	"54.0"	8	8	-1.07793757542434	7	0.317	1	"ns"
"79"	"AICc"	"49.0"	"HPP"	8	8	-48.3379137331008	7	4.24e-10	3.86e-08	"****"
"80"	"AICc"	"49.0"	"NHPP"	8	8	-50.4258511329971	7	3.16e-10	2.88e-08	"****"
"81"	"AICc"	"49.0"	"TPP"	8	8	5.96940710962147	7	0.000559	0.051	"ns"
"82"	"AICc"	"51.0"	"54.0"	8	8	10.5917838663748	7	1.46e-05	0.001	"**"
"83"	"AICc"	"51.0"	"HPP"	8	8	-52.0394884455146	7	2.53e-10	2.3e-08	"****"
"84"	"AICc"	"51.0"	"NHPP"	8	8	-55.4550483764023	7	1.63e-10	1.48e-08	"****"
"85"	"AICc"	"51.0"	"TPP"	8	8	9.65630638237976	7	2.69e-05	0.002	"**"
"86"	"AICc"	"54.0"	"HPP"	8	8	-55.0954956276578	7	1.7e-10	1.55e-08	"****"
"87"	"AICc"	"54.0"	"NHPP"	8	8	-56.2125385641546	7	1.48e-10	1.35e-08	"****"
"88"	"AICc"	"54.0"	"TPP"	8	8	5.97446623919345	7	0.000556	0.051	"ns"
"89"	"AICc"	"HPP"	"NHPP"	8	8	-1.02350726218743	7	0.34	1	"ns"
"90"	"AICc"	"HPP"	"TPP"	8	8	50.6693705193782	7	3.05e-10	2.78e-08	"****"
"91"	"AICc"	"NHPP"	"TPP"	8	8	51.1107974343099	7	2.87e-10	2.61e-08	"****"
