clade,species,ts,te,mid,bin,nb_occ
0,22,65.59,26.12,45.855000000000004,Ypresian,1
0,69,47.66,44.77,46.215,Ypresian,0
0,72,47.25,46.45,46.85,Ypresian,0
0,73,46.99,46.91,46.95,Ypresian,0
0,75,46.72,40.89,43.805,Ypresian,0
0,77,46.39,42.76,44.575,Ypresian,0
0,82,45.7,44.71,45.205,Ypresian,0
0,68,47.85,35.45,41.650000000000006,Ypresian,0
0,83,45.6,39.72,42.66,Ypresian,1
0,88,44.87,38.53,41.7,Ypresian,0
0,91,44.62,38.29,41.455,Ypresian,1
0,93,44.17,43.71,43.94,Ypresian,0
0,95,43.62,42.6,43.11,Ypresian,0
0,97,42.92,42.5,42.71,Ypresian,0
0,99,42.72,39.72,41.22,Ypresian,0
0,84,45.46,37.87,41.665,Ypresian,1
0,67,48.0,44.84,46.42,Ypresian,1
0,90,44.62,39.75,42.185,Ypresian,0
0,65,48.82,39.82,44.32,Ypresian,2
0,66,48.39,37.28,42.835,Ypresian,0
0,33,62.04,25.88,43.96,Ypresian,1
0,35,61.62,31.88,46.75,Ypresian,2
0,51,52.23,40.22,46.224999999999994,Ypresian,0
0,53,51.81,31.78,41.795,Ypresian,0
0,54,51.59,43.98,47.785,Ypresian,1
0,55,50.74,40.37,45.555,Ypresian,1
0,58,49.91,43.41,46.66,Ypresian,0
0,30,63.07,30.61,46.84,Ypresian,0
0,63,49.13,43.88,46.505,Ypresian,1
0,59,49.86,43.96,46.91,Ypresian,0
0,64,49.05,39.62,44.334999999999994,Ypresian,3
0,60,49.84,43.42,46.63,Ypresian,0
0,103,42.16,39.49,40.825,Lutetian,1
0,106,41.94,37.16,39.55,Lutetian,1
0,107,41.93,36.93,39.43,Lutetian,0
0,100,42.53,37.91,40.22,Lutetian,5
0,98,42.83,39.39,41.11,Lutetian,1
0,70,47.45,28.88,38.165,Lutetian,0
0,113,40.75,37.18,38.965,Lutetian,0
0,71,47.31,34.95,41.13,Lutetian,0
0,94,44.12,32.69,38.405,Lutetian,7
0,48,52.83,27.94,40.385,Lutetian,3
0,115,40.49,37.75,39.120000000000005,Lutetian,4
0,76,46.41,30.85,38.629999999999995,Lutetian,0
0,129,39.35,36.38,37.865,Lutetian,8
0,87,45.03,35.06,40.045,Lutetian,0
0,86,45.04,30.93,37.985,Lutetian,5
0,123,39.61,35.83,37.72,Lutetian,1
0,110,41.32,37.67,39.495000000000005,Lutetian,1
0,125,39.47,38.03,38.75,Lutetian,1
0,126,39.45,38.87,39.16,Lutetian,0
0,111,41.25,39.17,40.21,Lutetian,0
0,116,40.35,40.24,40.295,Lutetian,2
0,108,41.81,35.56,38.685,Lutetian,0
