clade	species	ts	te
0	1	100.0	76.33
0	2	98.32	96.96
0	3	91.19	78.51
0	4	88.06	63.36
0	5	87.28	64.94
0	6	86.57	84.22
0	7	85.31	62.33
0	8	83.64	82.59
0	9	82.52	64.96
0	10	81.03	57.17
0	11	76.77	76.36
0	12	76.52	73.16
0	13	75.96	65.27
0	14	74.78	53.1
0	15	72.1	63.42
0	16	70.97	65.36
0	17	70.48	61.9
0	18	69.75	65.79
0	19	69.58	67.62
0	20	69.51	61.84
0	21	69.07	55.0
0	22	68.17	60.89
0	23	67.89	66.12
0	24	66.92	52.0
0	25	66.48	27.11
0	26	66.28	66.26
0	27	65.91	25.72
0	28	65.43	62.76
0	29	64.53	43.28
0	30	64.4	54.61
0	31	64.27	57.37
0	32	62.55	27.8
0	33	61.66	59.76
0	34	60.01	32.99
0	35	59.86	59.63
0	36	59.59	43.84
0	37	58.83	41.04
0	38	58.52	46.99
0	39	57.48	54.45
0	40	57.31	50.92
0	41	57.18	55.54
0	42	56.98	51.39
0	43	56.57	55.53
0	44	56.5	24.79
0	45	56.23	45.36
0	46	55.64	37.48
0	47	55.6	35.72
0	48	55.36	50.18
0	49	55.18	45.56
0	50	54.98	54.36
0	51	54.49	42.94
0	52	54.42	32.9
0	53	54.37	42.63
0	54	53.73	43.69
0	55	53.67	52.31
0	56	53.54	49.65
0	57	53.46	53.37
0	58	53.17	39.39
0	59	53.12	48.5
0	60	53.08	51.01
0	61	52.79	49.95
0	62	52.66	34.98
0	63	51.76	50.74
0	64	51.63	48.27
0	65	51.6	35.44
0	66	51.48	51.41
0	67	51.47	38.32
0	68	51.16	50.23
0	69	50.27	48.65
0	70	50.1	45.75
0	71	49.97	38.36
0	72	49.95	46.63
0	73	49.85	24.78
0	74	49.65	33.54
0	75	49.57	49.0
0	76	49.18	42.82
0	77	48.78	8.33
0	78	48.57	37.31
0	79	48.07	44.57
0	80	47.99	43.35
0	81	47.92	44.93
0	82	47.71	45.18
0	83	47.2	36.97
0	84	47.18	45.08
0	85	46.74	40.22
0	86	46.56	34.32
0	87	46.0	33.04
0	88	45.82	42.91
0	89	45.81	40.43
0	90	45.71	9.84
0	91	45.55	38.15
0	92	44.98	38.64
0	93	44.86	35.03
0	94	44.48	25.83
0	95	44.44	43.88
0	96	44.07	43.88
0	97	43.88	41.76
0	98	43.63	40.59
0	99	43.13	42.66
0	100	42.7	32.4
0	101	42.56	26.01
0	102	42.53	36.35
0	103	42.48	40.78
0	104	42.41	39.88
0	105	42.15	39.23
0	106	41.94	41.47
0	107	41.73	37.09
0	108	41.55	40.14
0	109	41.55	37.5
0	110	41.44	40.62
0	111	41.34	30.25
0	112	41.13	27.67
0	113	41.09	33.01
0	114	40.9	36.38
0	115	40.79	29.75
0	116	40.54	40.21
0	117	40.26	27.7
0	118	40.21	25.81
0	119	40.01	32.12
0	120	39.87	20.93
0	121	39.84	34.94
0	122	39.6	31.03
0	123	39.51	33.05
0	124	39.47	34.71
0	125	39.23	33.95
0	126	39.23	39.1
0	127	39.23	36.66
0	128	38.99	38.02
0	129	38.46	24.0
0	130	38.18	29.72
0	131	38.07	29.59
0	132	37.94	35.36
0	133	37.26	33.64
0	134	37.24	0.0
0	135	36.92	32.61
0	136	36.51	10.41
0	137	36.45	0.0
0	138	36.43	33.16
0	139	36.32	33.36
0	140	36.21	25.6
0	141	36.05	10.8
0	142	35.73	35.35
0	143	35.65	35.63
0	144	35.6	32.63
0	145	35.57	31.51
0	146	35.51	32.79
0	147	35.46	19.16
0	148	35.3	34.98
0	149	35.3	4.77
0	150	35.29	20.34
0	151	35.06	25.75
0	152	34.95	34.05
0	153	34.89	33.04
0	154	34.67	14.24
0	155	34.65	26.55
0	156	34.64	20.63
0	157	34.54	33.01
0	158	34.49	27.22
0	159	34.41	0.0
0	160	34.13	31.58
0	161	33.89	25.02
0	162	33.8	5.83
0	163	33.76	26.47
0	164	33.39	0.0
0	165	33.33	25.65
0	166	33.33	28.38
0	167	33.29	32.44
0	168	33.28	27.23
0	169	33.28	15.25
0	170	33.19	22.96
0	171	33.14	0.0
0	172	33.08	24.55
0	173	32.81	30.49
0	174	32.78	29.83
0	175	32.67	21.51
0	176	32.65	8.67
0	177	32.47	0.0
0	178	32.25	7.87
0	179	32.18	23.97
0	180	31.99	12.32
0	181	31.9	15.22
0	182	31.89	29.41
0	183	31.88	27.85
0	184	31.83	27.58
0	185	31.75	12.61
0	186	31.7	22.2
0	187	31.69	27.96
0	188	31.53	0.0
0	189	31.41	18.05
0	190	31.37	0.0
0	191	31.13	27.42
0	192	31.12	0.0
0	193	31.03	11.58
0	194	30.92	3.39
0	195	30.92	29.64
0	196	30.59	12.73
0	197	30.58	9.23
0	198	30.46	9.94
0	199	30.36	12.7
0	200	30.33	3.66
0	201	30.27	30.09
0	202	30.2	24.7
0	203	30.16	22.41
0	204	30.15	27.32
0	205	30.15	10.94
0	206	30.14	18.21
0	207	30.1	25.24
0	208	29.99	22.4
0	209	29.97	24.64
0	210	29.97	22.25
0	211	29.93	9.52
0	212	29.91	14.04
0	213	29.83	28.47
0	214	29.7	25.94
0	215	29.54	28.66
0	216	29.53	18.24
0	217	29.52	22.83
0	218	29.51	18.44
0	219	29.4	24.94
0	220	29.37	21.0
0	221	29.33	20.19
0	222	29.22	16.02
0	223	29.2	27.3
0	224	29.18	9.35
0	225	29.06	21.12
0	226	29.06	16.23
0	227	28.93	24.07
0	228	28.91	21.39
0	229	28.91	27.86
0	230	28.85	15.26
0	231	28.77	18.85
0	232	28.63	20.57
0	233	28.61	14.53
0	234	28.58	23.68
0	235	28.41	5.08
0	236	28.34	8.02
0	237	28.25	0.0
0	238	28.22	18.61
0	239	28.04	22.34
0	240	27.96	4.82
0	241	27.96	16.21
0	242	27.95	25.54
0	243	27.93	0.0
0	244	27.9	16.34
0	245	27.86	0.0
0	246	27.83	3.42
0	247	27.74	8.59
0	248	27.7	25.64
0	249	27.69	22.82
0	250	27.63	27.32
0	251	27.6	27.27
0	252	27.57	23.16
0	253	27.41	23.15
0	254	27.38	19.87
0	255	27.33	5.73
0	256	27.3	19.08
0	257	27.12	19.54
0	258	26.97	0.0
0	259	26.96	23.43
0	260	26.94	22.55
0	261	26.9	24.78
0	262	26.88	25.61
0	263	26.86	17.98
0	264	26.79	6.87
0	265	26.71	20.95
0	266	26.44	17.53
0	267	26.39	10.3
0	268	26.38	14.07
0	269	26.26	21.0
0	270	26.17	23.0
0	271	26.12	5.97
0	272	26.11	17.9
0	273	26.1	15.16
0	274	25.96	23.28
0	275	25.94	21.36
0	276	25.82	16.65
0	277	25.81	16.13
0	278	25.79	23.99
0	279	25.78	15.03
0	280	25.77	18.73
0	281	25.75	25.31
0	282	25.68	24.2
0	283	25.54	10.68
0	284	25.44	0.0
0	285	25.42	13.11
0	286	25.35	21.23
0	287	25.31	20.32
0	288	25.29	21.32
0	289	25.26	24.72
0	290	25.25	23.9
0	291	25.21	22.71
0	292	25.18	0.0
0	293	25.17	8.12
0	294	25.17	6.99
0	295	25.16	8.45
0	296	25.12	23.37
0	297	24.97	19.27
0	298	24.93	20.84
0	299	24.93	12.05
0	300	24.93	19.0
0	301	24.78	23.91
0	302	24.74	0.0
0	303	24.67	20.38
0	304	24.65	20.64
0	305	24.64	11.46
0	306	24.4	0.0
0	307	24.36	13.76
0	308	24.34	14.34
0	309	24.34	23.22
0	310	24.34	16.53
0	311	24.3	17.91
0	312	24.29	1.1
0	313	24.26	21.23
0	314	24.24	16.99
0	315	24.17	21.37
0	316	24.15	0.31
0	317	24.08	11.95
0	318	23.87	23.59
0	319	23.84	17.03
0	320	23.84	18.94
0	321	23.8	22.68
0	322	23.79	23.55
0	323	23.79	9.84
0	324	23.78	21.91
0	325	23.76	6.14
0	326	23.74	7.68
0	327	23.71	16.6
0	328	23.67	3.22
0	329	23.62	16.0
0	330	23.6	8.26
0	331	23.54	22.02
0	332	23.53	11.28
0	333	23.47	0.0
0	334	23.46	16.03
0	335	23.45	21.51
0	336	23.45	10.39
0	337	23.43	21.83
0	338	23.43	15.5
0	339	23.41	22.65
0	340	23.4	22.19
0	341	23.39	22.61
0	342	23.39	12.93
0	343	23.37	20.91
0	344	23.36	17.85
0	345	23.35	20.73
0	346	23.33	9.24
0	347	23.33	18.28
0	348	23.31	0.0
0	349	23.27	0.0
0	350	23.12	7.63
0	351	23.06	6.3
0	352	23.04	21.74
0	353	23.02	11.15
0	354	23.01	0.0
0	355	22.97	21.63
0	356	22.95	21.48
0	357	22.78	21.76
0	358	22.77	0.0
0	359	22.74	11.33
0	360	22.69	8.83
0	361	22.68	20.44
0	362	22.67	14.73
0	363	22.49	4.0
0	364	22.45	20.02
0	365	22.38	19.87
0	366	22.33	21.27
0	367	22.33	0.0
0	368	22.3	19.02
0	369	22.26	20.35
0	370	22.24	1.18
0	371	22.22	16.11
0	372	22.19	22.09
0	373	22.12	11.86
0	374	22.04	0.0
0	375	21.97	16.07
0	376	21.93	20.71
0	377	21.89	7.48
0	378	21.86	2.39
0	379	21.85	0.0
0	380	21.7	19.88
0	381	21.66	0.6
0	382	21.58	0.0
0	383	21.54	11.25
0	384	21.51	19.34
0	385	21.47	17.61
0	386	21.45	19.5
0	387	21.45	0.64
0	388	21.37	19.76
0	389	21.33	19.79
0	390	21.26	12.71
0	391	21.2	18.21
0	392	21.19	0.0
0	393	21.16	8.95
0	394	21.15	6.0
0	395	21.14	14.97
0	396	21.13	13.57
0	397	20.99	18.12
0	398	20.99	13.71
0	399	20.97	12.83
0	400	20.93	12.57
0	401	20.92	3.17
0	402	20.9	16.64
0	403	20.89	0.34
0	404	20.88	7.49
0	405	20.86	0.0
0	406	20.83	6.14
0	407	20.82	6.84
0	408	20.81	16.19
0	409	20.81	20.74
0	410	20.78	6.93
0	411	20.77	0.0
0	412	20.76	13.75
0	413	20.72	0.0
0	414	20.58	0.0
0	415	20.55	15.54
0	416	20.53	18.25
0	417	20.49	14.98
0	418	20.47	1.5
0	419	20.46	0.0
0	420	20.4	17.57
0	421	20.33	0.0
0	422	20.31	16.53
0	423	20.21	14.26
0	424	20.2	19.6
0	425	20.19	0.0
0	426	20.17	17.88
0	427	20.13	0.0
0	428	20.12	12.15
0	429	20.11	15.47
0	430	20.07	0.66
0	431	20.03	15.5
0	432	19.96	0.0
0	433	19.95	10.38
0	434	19.95	19.48
0	435	19.94	18.74
0	436	19.89	14.36
0	437	19.89	0.0
0	438	19.76	10.0
0	439	19.65	12.02
0	440	19.6	16.01
0	441	19.6	14.26
0	442	19.58	8.71
0	443	19.57	19.05
0	444	19.56	0.0
0	445	19.49	17.79
0	446	19.48	0.0
0	447	19.48	2.22
