"","Order","Family","Genus","Species"
"102","Notoungulata","Acoelodidae","Paginula","parca"
"103","Notoungulata","Acoelodidae","Paginula","parca"
"104","Notoungulata","Acoelodidae","Paginula","parca"
"105","Notoungulata","Acoelodidae","Paginula","parca"
"106","Notoungulata","Acoelodidae","Paginula","parca"
"107","Notoungulata","Acoelodidae","Suniodon","catamarcensis"
"108","Notoungulata","Acoelodidae","Suniodon","NA"
"109","Notoungulata","Acoelodidae","Tsamnichoria","cabrerai"
"110","Notoungulata","Acoelodidae","Ultrapithecus","rutilans"
"111","Notoungulata","Acoelodidae","Ultrapithecus","rutilans"
"112","Notoungulata","Acoelodidae","Ultrapithecus","rutilans"
"113","Notoungulata","Acoelodidae","Ultrapithecus","rutilans"
"114","Notoungulata","Acoelodidae","Ultrapithecus","rutilans"
"115","Notoungulata","Acoelodidae","Ultrapithecus","rutilans"
"116","Notoungulata","Acoelodidae","Ultrapithecus","rutilans"
"117","Notoungulata","Acoelodidae","Xenostephanus","chiottii"
"118","Primates","Aotidae","Aotus","dindensis"
"119","Primates","Aotidae","Aotus","dindensis"
"120","Primates","Aotidae","Aotus","trivirgatus"
"121","Primates","Aotidae","Aotus","trivirgatus"
"122","NA","Acaremyidae","Acaremys","major"
"123","NA","Acaremyidae","Acaremys","messor"
"124","NA","Acaremyidae","Acaremys","murinus"
"125","NA","Acaremyidae","Acaremys","murinus"
"126","NA","Acaremyidae","Acaremys","murinus"
"127","NA","Acaremyidae","Acaremys","murinus"
"128","NA","Acaremyidae","Acaremys","murinus"
"129","NA","Acaremyidae","Acaremys","murinus"
"130","NA","Acaremyidae","Acaremys","murinus"
"131","NA","Acaremyidae","Acaremys","murinus"
"132","NA","Acaremyidae","Acaremys","murinus"
"133","NA","Acaremyidae","Acaremys","murinus"
"134","NA","Acaremyidae","Acaremys","murinus"
"135","NA","Acaremyidae","Acaremys","preminutus"
"136","NA","Acaremyidae","Acaremys","NA"
"137","NA","Acaremyidae","Acaremys","NA"
"138","NA","Acaremyidae","Acaremys","NA"
"139","NA","Acaremyidae","Acaremys","tricarinatus"
"140","NA","Acaremyidae","Acaremys","tricarinatus"
"141","NA","Acaremyidae","Acaremys","tricarinatus"
"142","NA","Acaremyidae","Galileomys","antelucanus"
"143","NA","Acaremyidae","Galileomys","antelucanus"
"144","NA","Acaremyidae","Galileomys","baios"
"145","NA","Acaremyidae","Galileomys","colloncurensis"
"146","NA","Acaremyidae","Galileomys","eurygnathus"
"147","NA","Acaremyidae","Galileomys","eurygnathus"
"148","NA","Acaremyidae","Galileomys","eurygnathus"
"149","NA","Acaremyidae","Galileomys","eurygnathus"
"150","NA","Acaremyidae","Galileomys","eurygnathus"
"151","NA","Acaremyidae","Galileomys","eurygnathus"
"152","NA","Acaremyidae","Galileomys","eurygnathus"
"153","NA","Acaremyidae","Platypittamys","brachyodon"
"154","NA","Acaremyidae","Pseudoacaremys","kramarzi"
"155","NA","Acaremyidae","Pseudoacaremys","kramarzi"
"156","NA","Acaremyidae","Pseudoacaremys","kramarzi"
"157","Liptoterna","Adianthidae","Adianthus","buccatus"
"158","Liptoterna","Adianthidae","Adianthus","godoyi"
"159","Liptoterna","Adianthidae","Adiantoides","leali"
"160","Liptoterna","Adianthidae","Adiantoides","magnus"
"161","Liptoterna","Adianthidae","Indalecia","grandensis"
"162","Liptoterna","Adianthidae","Proadiantus","excavatus"
"163","Liptoterna","Adianthidae","Proadiantus","excavatus"
"164","Liptoterna","Adianthidae","Proadiantus","excavatus"
"165","Liptoterna","Adianthidae","Proheptaconus","patagonicus"
"166","Liptoterna","Adianthidae","Proheptaconus","patagonicus"
"167","Liptoterna","Adianthidae","Thadanius","hoffstetteri"
"168","Liptoterna","Adianthidae","Thadanius","hoffstetteri"
"169","Liptoterna","Adianthidae","Tricoelodus","bicuspidatus"
"170","Liptoterna","Adianthidae","Tricoelodus","bicuspidatus"
"171","Liptoterna","Adianthidae","Tricoelodus","boliviensis"
"172","Liptoterna","Adianthidae","Tricoelodus","boliviensis"
"173","Rodentia","Agoutidae","Eoincamys","ameghinoi"
"174","Rodentia","Agoutidae","Eoincamys","parvus"
"175","Rodentia","Agoutidae","Eoincamys","parvus"
"176","Rodentia","Agoutidae","Eoincamys","parvus"
"177","Rodentia","Agoutidae","Eoincamys","pascuali"
"178","Rodentia","Agoutidae","Eoincamys","pascuali"
"179","Rodentia","Agoutidae","Eoincamys","pascuali"
"180","Rodentia","Agoutidae","Eoincamys","valverdei"
"181","Rodentia","Agoutidae","Eoincamys","valverdei"
"182","Rodentia","Agoutidae","Eoincamys","valverdei"
"183","Rodentia","Agoutidae","Eoincamys","valverdei"
"184","Rodentia","Agoutidae","Eoincamys","NA"
"185","Rodentia","Agoutidae","Eoincamys","NA"
"186","Rodentia","Agoutidae","Eopicure","kraglievichi"
"187","NA","Alcidedorbignyidae","Alcidedorbignya","inopinata"
"188","NA","Alcidedorbignyidae","Alcidedorbignya","inopinata"
"189","NA","Ameghinichnidae","Ameghinichnus","manantialensis"
"190","NA","Ameghinichnidae","Ameghinichnus","patagonicus"
"191","NA","Amphicyonidae","Daphoenodon","NA"
"192","NA","Anthracotheriidae","Arretotherium","meridionale"
"193","NA","Archaeohyracidae","Archaeohyrax","patagonicus"
"194","NA","Archaeohyracidae","Archaeohyrax","patagonicus"
"195","NA","Archaeohyracidae","Archaeohyrax","patagonicus"
"196","NA","Archaeohyracidae","Archaeohyrax","patagonicus"
"197","NA","Archaeohyracidae","Archaeohyrax","patagonicus"
"198","NA","Archaeohyracidae","Archaeohyrax","patagonicus"
"199","NA","Archaeohyracidae","Archaeohyrax","patagonicus"
"200","NA","Archaeohyracidae","Archaeohyrax","patagonicus"
"201","NA","Archaeohyracidae","Archaeohyrax","patagonicus"
"202","NA","Archaeohyracidae","Archaeohyrax","patagonicus"
"203","NA","Archaeohyracidae","Archaeohyrax","patagonicus"
"204","NA","Archaeohyracidae","Archaeohyrax","NA"
"205","NA","Archaeohyracidae","Archaeohyrax","NA"
"206","NA","Archaeohyracidae","Archaeohyrax","NA"
"207","NA","Archaeohyracidae","Archaeohyrax","suniensis"
"208","NA","Archaeohyracidae","Archaeohyrax","suniensis"
"209","NA","Archaeohyracidae","Archaeohyrax","suniensis"
"210","NA","Archaeohyracidae","Archaeohyrax","suniensis"
"211","NA","Archaeohyracidae","Archaeotypotherium","pattersoni"
"212","NA","Archaeohyracidae","Archaeotypotherium","propheticus"
"213","NA","Archaeohyracidae","Archaeotypotherium","propheticus"
"214","NA","Archaeohyracidae","Archaeotypotherium","propheticus"
"215","NA","Archaeohyracidae","Archaeotypotherium","propheticus"
"216","NA","Archaeohyracidae","Archaeotypotherium","propheticus"
"217","NA","Archaeohyracidae","Archaeotypotherium","propheticus"
"218","NA","Archaeohyracidae","Archaeotypotherium","propheticus"
"219","NA","Archaeohyracidae","Archaeotypotherium","NA"
"220","NA","Archaeohyracidae","Archaeotypotherium","tinguiriricaense"
"221","NA","Archaeohyracidae","Bryanpattersonia","nesodontoides"
"222","NA","Archaeohyracidae","Bryanpattersonia","nesodontoides"
"223","NA","Archaeohyracidae","Bryanpattersonia","sulcidens"
"224","NA","Archaeohyracidae","Bryanpattersonia","sulcidens"
"225","NA","Archaeohyracidae","Bryanpattersonia","sulcidens"
"226","NA","Archaeohyracidae","Bryanpattersonia","sulcidens"
"227","NA","Archaeohyracidae","Bryanpattersonia","sulcidens"
"228","NA","Archaeohyracidae","Bryanpattersonia","sulcidens"
"229","NA","Archaeohyracidae","Bryanpattersonia","sulcidens"
"230","NA","Archaeohyracidae","Eohyrax","isotemnoides"
