"Order","Family","Genus","Species","Status","Country","State","Period","Epoch","overlap_percentage","Min age","Max age","Collection number","Collection authorizer","Reference","Note"
"Paucituberculata","Abderitidae","Abderites","meridionalis","extinct","Argentina","Chubut","Neogene","Miocene",100,17.5,21,176205,"J. Zijlstra","NA",
"Paucituberculata","Abderitidae","Abderites","meridionalis","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,11.63,15.97,27313,"J. Head","NA",
"Paucituberculata","Abderitidae","Abderites","meridionalis","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176565,"J. Zijlstra","NA",
"Paucituberculata","Abderitidae","Abderites","meridionalis","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176570,"J. Zijlstra","NA",
"Paucituberculata","Abderitidae","Abderites","meridionalis","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,176594,"J. Zijlstra","NA",
"Paucituberculata","Abderitidae","Abderites","meridionalis","extinct","Chile","Aisén","Neogene","Miocene",100,15.5,16.3,139845,"C. Jaramillo","NA",
"Paucituberculata","Abderitidae","Abderites","meridionalis","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,210638,"P. Mannion","L. Chornogubsky, M. A. Abello, and G. D. Barmak. 2019. The Metatheria from the Río Santa Cruz (Santa Cruz Formation, Early-Middle Miocene, Argentina): History and new records.  In J. C. Fernicola, M. S. Bargo, S. F. Vizcaíno, R. F. Kay (eds.), Early–Middle Miocene Paleontology in the Río Santa Cruz, Southern Patagonia, Argentina. 130 years since Ameghino, 1887. Publicación Electrónica de la Asociación Paleontológica Argentina. 19(2):62-68",
"Paucituberculata","Abderitidae","Abderites","meridionalis","extinct","Argentina","Santa Cruz","Neogene","Miocene",100,16.3,17.5,210786,"P. Mannion","L. Chornogubsky, M. A. Abello, and G. D. Barmak. 2019. The Metatheria from the Río Santa Cruz (Santa Cruz Formation, Early-Middle Miocene, Argentina): History and new records.  In J. C. Fernicola, M. S. Bargo, S. F. Vizcaíno, R. F. Kay (eds.), Early–Middle Miocene Paleontology in the Río Santa Cruz, Southern Patagonia, Argentina. 130 years since Ameghino, 1887. Publicación Electrónica de la Asociación Paleontológica Argentina. 19(2):62-68",
"Paucituberculata","Abderitidae","Abderites",,"extinct","Argentina","Neuquén","Neogene","Miocene",100,17.5,21,89029,"D. Croft","NA",
"Paucituberculata","Abderitidae","Abderites",,"extinct","Peru","Loreto","Paleogene","Oligocene",100,23.03,28.4,176130,"J. Zijlstra","NA",
"Paucituberculata","Abderitiidae","Pitheculites","chenche","extinct","Colombia","NA","Neogene","Miocene",100,15.5,16.3,13750,"J. Alroy","https://www.jstor.org/stable/1306970",
"Paucituberculata","Abderitidae","Pitheculites","rothi","extinct","Chile","Aisén","Neogene","Miocene",100,15.5,16.3,139845,"C. Jaramillo","NA",
"Paucituberculata","Abderitidae","Pitheculites",,"extinct","Argentina","Neuquén","Neogene","Miocene",100,17.5,21,89029,"D. Croft","NA",
"Rodentia","Abrocomidae","Abrocoma","antiqua","extinct","Argentina","La Pampa","Neogene","Miocene",100,6.8,9,87198,"J. Alroy","NA",
"Rodentia","Abrocomidae","Abrocoma","antiqua","extinct","Argentina","La Pampa","Neogene","Miocene",100,6.8,9,204598,"P. Mannion","NA",
"Rodentia","Abrocomidae","Abrocoma","boliviensis","extinct","Argentina","Catamarca","Neogene","Miocene",100,7.14,7.7,198543,"P. Mannion","NA",
"Rodentia","Abrocomidae","Abrocoma","boliviensis","extinct","Argentina","Catamarca","Neogene","Miocene",100,6.8,9,198546,"P. Mannion","NA",
"Rodentia","Abrocomidae","Abrocoma","boliviensis","extinct","Argentina","Catamarca","Neogene","Miocene",100,7.14,8,198547,"P. Mannion","NA",
"Rodentia","Abrocomidae","Abrocoma",,,"Chile","O'Higgins","Quaternary","Pleistocene",100,0.0117,0.129,71280,"P. Mannion","R. Labarca, E. González-Guarda, and Á. Lizama-Catalán, N. A. Villavicencio, J. Alarcón-Muñoz, F. Suazo-Lara, P. Oyanadel-Urbina, P. Soto-Huenchuman, C. Salazar, S. Soto-Acuña, K. E. Buldrini. 2020. Taguatagua 1: New insights into the late Pleistocene fauna, paleoenvironment, and human subsistence in a unique lacustrine context in central Chile. Quaternary Science Reviews 238(106282):1-24",
