Order,Family,Genus
Didelphimorphia,Didelphidae,"Caluromys
"
Didelphimorphia,Didelphidae,"Caluromysiops
"
Didelphimorphia,Didelphidae,"Glironia
"
Didelphimorphia,Didelphidae,"Hyladelphys
"
Didelphimorphia,Didelphidae,"Chironectes
"
Didelphimorphia,Didelphidae,"Didelphis
"
Didelphimorphia,Didelphidae,"Gracilinanus
"
Didelphimorphia,Didelphidae,"Lestodelphys
"
Didelphimorphia,Didelphidae,"Lutreolina
"
Didelphimorphia,Didelphidae,"Marmosa
"
Didelphimorphia,Didelphidae,"Marmosops
"
Didelphimorphia,Didelphidae,"Metachirus
"
Didelphimorphia,Didelphidae,"Monodelphis
"
Didelphimorphia,Didelphidae,"Philander
"
Didelphimorphia,Didelphidae,"Thylamys
"
Paucituberculata,"Caenolestidae
","Caenolestes
"
Paucituberculata,"Caenolestidae
","Lestoros
"
Paucituberculata,"Caenolestidae
","Rhyncholestes
"
Microbiotheria,"Microbiotheriidae
","Dromiciops
"
Sirenia,"Trichechidae
","Trichechus
"
Cingulata,Dasypodidae,"Dasypus
"
Cingulata,Chlamyphoridae,"Calyptophractus
"
Cingulata,Chlamyphoridae,"Chlamyphorus
"
Cingulata,Chlamyphoridae,"Chaetophractus
"
Cingulata,Chlamyphoridae,"Euphractus
"
Cingulata,Chlamyphoridae,"Zaedyus
"
Cingulata,Chlamyphoridae,"Cabassous
"
Cingulata,Chlamyphoridae,"Priodontes
"
Cingulata,Chlamyphoridae,"Tolypeutes
"
Pilosa,Bradypodidae,"Bradypus
"
Pilosa,Choloepodidae,"Choloepus
"
Pilosa,"Cyclopedidae
",Cyclopes
Pilosa,Myrmecophagidae,"Myrmecophaga
"
Pilosa,Myrmecophagidae,"Tamandua
"
"Primates
",Aotidae,"Aotus
"
"Primates
","Callitrichidae
","Callibella
"
"Primates
","Callitrichidae
","Cebuella
"
"Primates
","Callitrichidae
","Callithrix
"
"Primates
","Callitrichidae
","Mico
"
"Primates
","Callitrichidae
","Callimico
"
"Primates
","Callitrichidae
","Leontopithecus
"
"Primates
","Callitrichidae
","Saguinus
"
"Primates
","Cebidae
","Cebus
"
"Primates
","Cebidae
","Sapajus
"
"Primates
","Cebidae
","Saimiri
"
"Primates
","Atelidae
","Alouatta
"
"Primates
","Atelidae
","Ateles
"
"Primates
","Atelidae
","Brachyteles
"
"Primates
","Atelidae
","Lagothrix
"
"Primates
","Atelidae
","Oreonax
"
"Primates
","Pitheciidae
","Cheracebus
"
"Primates
","Pitheciidae
","Callicebus
"
"Primates
","Pitheciidae
","Plecturocebus
"
"Primates
","Pitheciidae
","Pithecia
"
"Primates
","Pitheciidae
","Chiropotes
"
"Primates
","Pitheciidae
","Cacajao
"
Rodentia,Erethizontidae,"Chaetomys
"
Rodentia,Erethizontidae,"Coendou
"
Rodentia,Chinchillidae,"Chinchilla
"
Rodentia,Chinchillidae,"Lagidium
"
Rodentia,Chinchillidae,"Lagostomus
"
Rodentia,Dinomyidae,"Dinomys
"
Rodentia,Caviidae,"Cavia
"
Rodentia,Caviidae,"Galea
"
Rodentia,Caviidae,"Microcavia
"
Rodentia,Caviidae,"Dolichotis
"
Rodentia,Caviidae,"Hydrochoerus
"
Rodentia,Caviidae,"Kerodon
"
Rodentia,Dasyproctidae,"Dasyprocta
"
Rodentia,Dasyproctidae,"Myoprocta
"
Rodentia,"Cuniculidae
","Cuniculus
"
Rodentia,Ctenomyidae,"Ctenomys
"
Rodentia,"Octodontidae
","Aconaemys
"
Rodentia,"Octodontidae
","Octodon
"
Rodentia,"Octodontidae
","Octodontomys
"
Rodentia,"Octodontidae
","Octomys
"
Rodentia,"Octodontidae
","Pipanacoctomys
"
Rodentia,"Octodontidae
","Spalacopus
"
Rodentia,"Octodontidae
","Tympanoctomys
"
Rodentia,"Abrocomidae
","Abrocoma
"
Rodentia,Echimyidae,"Kannabateomys
"
Rodentia,Echimyidae,"Dactylomys
"
Rodentia,Echimyidae,"Olallamys
"
Rodentia,Echimyidae,"Callistomys
"
Rodentia,Echimyidae,"Diplomys
"
Rodentia,Echimyidae,"Echimys
"
Rodentia,Echimyidae,"Isothrix
"
Rodentia,Echimyidae,"Makalata
"
Rodentia,Echimyidae,"Pattonomys
"
Rodentia,Echimyidae,"Phyllomys
"
Rodentia,Echimyidae,"Santamartamys
"
Rodentia,Echimyidae,"Toromys
"
Rodentia,Echimyidae,"Carterodon
"
Rodentia,Echimyidae,"Clyomys
"
Rodentia,Echimyidae,"Euryzygomatomys
"
Rodentia,Echimyidae,"Hoplomys
"
Rodentia,Echimyidae,"Lonchothrix
"
Rodentia,Echimyidae,"Mesomys
"
Rodentia,Echimyidae,"Proechimys
"
Rodentia,Echimyidae,"Thrichomys
"
Rodentia,Echimyidae,"Trinomys
"
Rodentia,Myocastoridae,"Myocastor
"
Rodentia,Sciuridae,"Sciurillus
"
Rodentia,Sciuridae,"Microsciurus
"
Rodentia,Sciuridae,"Sciurus
"
Rodentia,"Geomyidae
","Orthogeomys
"
Rodentia,"Heteromyidae
","Heteromys
"
Rodentia,"Cricetidae
","Tylomys
"
Rodentia,"Cricetidae
","Reithrodontomys
"
Rodentia,"Cricetidae
","Abrawayaomys
"
Rodentia,"Cricetidae
","Abrothrix
"
Rodentia,"Cricetidae
","Aepeomys
"
Rodentia,"Cricetidae
","Aegialomys
"
Rodentia,"Cricetidae
","Akodon
"
Rodentia,"Cricetidae
","Amphinectomys
"
Rodentia,"Cricetidae
","Andalgalomys
"
Rodentia,"Cricetidae
","Andinomys
"
Rodentia,"Cricetidae
","Anotomys
"
Rodentia,"Cricetidae
","Auliscomys
"
Rodentia,"Cricetidae
","Bibimys
"
Rodentia,"Cricetidae
","Blarinomys
"
Rodentia,"Cricetidae
","Brucepattersonius
"
Rodentia,"Cricetidae
","Calomys
"
Rodentia,"Cricetidae
","Cerradomys
"
Rodentia,"Cricetidae
","Chelemys
"
Rodentia,"Cricetidae
","Chibchanomys
"
Rodentia,"Cricetidae
","Chilomys
"
Rodentia,"Cricetidae
","Chinchillula
"
Rodentia,"Cricetidae
","Delomys
"
Rodentia,"Cricetidae
","Deltamys
"
Rodentia,"Cricetidae
","Drymoreomys
"
Rodentia,"Cricetidae
","Eligmodontia
"
Rodentia,"Cricetidae
","Eremoryzomys
"
Rodentia,"Cricetidae
","Euneomys
"
Rodentia,"Cricetidae
","Euryoryzomys
"
Rodentia,"Cricetidae
","Galenomys
"
Rodentia,"Cricetidae
","Geoxus
"
Rodentia,"Cricetidae
","Graomys
"
Rodentia,"Cricetidae
","Gyldenstolpia
"
Rodentia,"Cricetidae
","Handleyomys
"
Rodentia,"Cricetidae
","Holochilus
"
Rodentia,"Cricetidae
","Hylaeamys
"
Rodentia,"Cricetidae
","Ichthyomys
"
Rodentia,"Cricetidae
","Irenomys
"
Rodentia,"Cricetidae
","Juliomys
"
Rodentia,"Cricetidae
","Juscelinomys
"
Rodentia,"Cricetidae
","Kunsia
"
Rodentia,"Cricetidae
","Lenoxus
"
Rodentia,"Cricetidae
","Loxodontomys
"
Rodentia,"Cricetidae
","Lundomys
"
Rodentia,"Cricetidae
","Megaoryzomys
"
Rodentia,"Cricetidae
","Melanomys
"
Rodentia,"Cricetidae
","Microakodontomys
"
Rodentia,"Cricetidae
","Microryzomys
"
Rodentia,"Cricetidae
","Mindomys
"
Rodentia,"Cricetidae
","Neacomys
"
Rodentia,"Cricetidae
","Necromys
"
Rodentia,"Cricetidae
","Nectomys
"
Rodentia,"Cricetidae
","Neotomys
"
Rodentia,"Cricetidae
","Nephelomys
"
Rodentia,"Cricetidae
","Nesoryzomys
"
Rodentia,"Cricetidae
","Neusticomys
"
Rodentia,"Cricetidae
","Noronhomys
"
Rodentia,"Cricetidae
","Notiomys
"
Rodentia,"Cricetidae
","Oecomys
"
Rodentia,"Cricetidae
","Oligoryzomys
"
Rodentia,"Cricetidae
","Oreoryzomys
"
Rodentia,"Cricetidae
","Oryzomys
"
Rodentia,"Cricetidae
","Oxymycterus
"
Rodentia,"Cricetidae
","Paralomys
"
Rodentia,"Cricetidae
","Pearsonomys
"
Rodentia,"Cricetidae
","Phaenomys
"
Rodentia,"Cricetidae
","Phyllotis
"
Rodentia,"Cricetidae
","Podoxymys
"
Rodentia,"Cricetidae
","Pseudoryzomys
"
Rodentia,"Cricetidae
","Punomys
"
Rodentia,"Cricetidae
","Reithrodon
"
Rodentia,"Cricetidae
","Rhagomys
"
Rodentia,"Cricetidae
","Rhipidomys
"
Rodentia,"Cricetidae
","Salinomys
"
Rodentia,"Cricetidae
","Scapteromys
"
Rodentia,"Cricetidae
","Scolomys
"
Rodentia,"Cricetidae
","Sigmodon
"
Rodentia,"Cricetidae
","Sigmodontomys
"
Rodentia,"Cricetidae
","Sooretamys
"
Rodentia,"Cricetidae
","Tapecomys
"
Rodentia,"Cricetidae
","Thalpomys
"
Rodentia,"Cricetidae
","Thaptomys
"
Rodentia,"Cricetidae
","Thomasomys
"
Rodentia,"Cricetidae
","Transandinomys
"
Rodentia,"Cricetidae
","Wiedomys
"
Rodentia,"Cricetidae
","Wilfredomys
"
Rodentia,"Cricetidae
","Zygodontomys
"
Lagomorpha,Leporidae,"Sylvilagus
"
Eulipotyphla,Soricidae,"Cryptotis
"
Chiroptera,Noctilionidae,"Noctilio
"
Chiroptera,"Vespertilionidae
","Myotis
"
Chiroptera,"Vespertilionidae
","Eptesicus
"
Chiroptera,"Vespertilionidae
","Histiotus
"
Chiroptera,"Vespertilionidae
","Lasiurus
"
Chiroptera,"Vespertilionidae
","Rhogeessa
"
Chiroptera,"Vespertilionidae
","Tomopeas
"
Chiroptera,Molossidae,"Cynomops
"
