"Order","Family","Genus","Species","Status","Country","State","Period","Epoch","overlap_percentage","Min age","Max age","Collection number","Collection authorizer","Reference","Note"
"Notoungulata","Acoelodidae","Colbertia",NA,"extinct","Argentina","Catamarca","Paleogene","Eocene",100,33.9,37.2,41608,"D. Croft","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Colbertia",NA,"extinct","Argentina","Chubut","Paleogene","Paleocene",100,57,59,133040,"P. Mannion","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Dolichostylodon","saltensis","extinct","Argentina","Salta","Paleogene","Eocene",100,37.2,48.6,132937,"P. Mannion","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoealodidae","Isotypotherium","annulatum","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176168,"J. Zijlstra","https://en.wikipedia.org/wiki/Oldfieldthomasiidae","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Itaboraitherium",NA,"extinct","Argentina","Chubut","Paleogene","Paleocene",100,57,59,133040,"P. Mannion","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Kibenikhoria","get","extinct","Argentina","Chubut","Paleogene","Eocene",100,48.6,55.8,14205,"J. Alroy","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Kibenikhoria",NA,"extinct","Argentina","Chubut","Paleogene","Paleocene",100,57,59,133040,"P. Mannion","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","anatoma","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176164,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","consumata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,13779,"J. Alroy","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","consumata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,44956,"D. Croft","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","consumata","extinct","Argentina","Chubut","Paleogene","Eocene",100,40.4,48.6,176165,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
"Notoungulata","Acoelodidae","Maxschlosseria","consumata","extinct","Argentina","Chubut","Paleogene","Eocene",100,37.2,48.6,176170,"J. Zijlstra","NA","nb: Syn of Oldfieldthomasiidae"
