Age	fragmentation.index
0	0.390019097
0.5	0.420694855
1	0.451370613
1.5	0.451323759
2	0.451276905
2.5	0.4509562065
3	0.450635508
3.5	0.4564659135
4	0.462296319
4.5	0.458836935
5	0.455377551
5.5	0.455739281
6	0.456101011
6.5	0.4567644845
7	0.457427958
7.5	0.4646530095
8	0.471878061
8.5	0.471848313
9	0.471818565
9.5	0.4719556995
10	0.472092834
10.5	0.481557378
11	0.491021922
11.5	0.4972435205
12	0.503465119
12.5	0.508598948
13	0.513732777
13.5	0.513920344
14	0.514107911
14.5	0.5092811315
15	0.504454352
15.5	0.504442853
16	0.504431354
16.5	0.5044587195
17	0.504486085
17.5	0.5044690645
18	0.504452044
18.5	0.5021762095
19	0.499900375
19.5	0.4996688935
20	0.499437412
20.5	0.499477812
21	0.499518212
21.5	0.4994934475
22	0.499468683
22.5	0.499405643
23	0.499342603
23.5	0.499120903
24	0.498899203
24.5	0.4988018075
25	0.498704412
25.5	0.498687925
26	0.498671438
26.5	0.504911611
27	0.511151784
27.5	0.5112818795
28	0.511411975
28.5	0.503314404
29	0.495216833
29.5	0.4971533765
30	0.49908992
30.5	0.499827165
31	0.50056441
31.5	0.501116749
32	0.501669088
32.5	0.5019595045
33	0.502249921
33.5	0.502627513
34	0.503005105
34.5	0.507201311
35	0.511397517
35.5	0.512842218
36	0.514286919
36.5	0.515053757
37	0.515820595
37.5	0.5167104915
38	0.517600388
38.5	0.5181925115
39	0.518784635
39.5	0.5196662465
40	0.520547858
40.5	0.5211051585
41	0.521662459
41.5	0.5218052985
42	0.521948138
42.5	0.5220226095
43	0.522097081
43.5	0.5221589365
44	0.522220792
44.5	0.522341507
45	0.522462222
45.5	0.52272054
46	0.522978858
46.5	0.5233662735
47	0.523753689
47.5	0.522799049
48	0.521844409
48.5	0.521693387
49	0.521542365
49.5	0.524466794
50	0.527391223
50.5	0.527472012
51	0.527552801
51.5	0.527614561
52	0.527676321
52.5	0.5276803855
53	0.52768445
53.5	0.527669686
54	0.527654922
54.5	0.531883332
55	0.536111742
55.5	0.5355760525
56	0.535040363
56.5	0.533890252
57	0.532740141
57.5	0.532604362
58	0.532468583
58.5	0.532080404
59	0.531692225
59.5	0.5332445575
60	0.53479689
60.5	0.53499782
61	0.53519875
61.5	0.535355457
62	0.535512164
62.5	0.5356667995
63	0.535821435
63.5	0.5347914825
64	0.53376153
64.5	0.5334623265
65	0.533163123
65.5	0.5333765275
66	0.533589932
