occurrence_no	record_type	reid_no	flags	collection_no	identified_name	identified_rank	identified_no	difference	accepted_name	accepted_rank	accepted_no	early_interval	late_interval	max_ma	min_ma	reference_no
212867	occ			21686	Tayassu tajacu	species	52101	recombined as	Pecari tajacu	species	51899	Holocene		0.0117	0	4785
212868	occ			21686	Felis pardalis	species	46525	recombined as	Leopardus pardalis	species	46525	Holocene		0.0117	0	4785
212869	occ			21686	Felis yagouaroundi	species	46533	recombined as	Puma yagouaroundi	species	46533	Holocene		0.0117	0	4785
212870	occ			21686	Conepatus semistriatus	species	232922		Conepatus semistriatus	species	232921	Holocene		0.0117	0	4785
212871	occ			21686	Eira barbara	species	232924		Eira barbara	species	104166	Holocene		0.0117	0	4785
212872	occ			21686	Galictis vittata	species	232912		Galictis vittata	species	232911	Holocene		0.0117	0	4785
212873	occ			21686	Procyon cancrivorus	species	232926		Procyon cancrivorus	species	232925	Holocene		0.0117	0	4785
212874	occ			21686	Saccopteryx bilineata	species	425214		Saccopteryx bilineata	species	425214	Holocene		0.0117	0	4785
212875	occ			21686	Saccopteryx canescens	species	425213	species not entered	Saccopteryx	genus	425213	Holocene		0.0117	0	4785
212876	occ			21686	Saccopteryx leptura	species	425213	species not entered	Saccopteryx	genus	425213	Holocene		0.0117	0	4785
212877	occ			21686	Eumops dabbenei	species	40694	species not entered	Eumops	genus	40694	Holocene		0.0117	0	4785
212878	occ			21686	Eumops hansae	species	40694	species not entered	Eumops	genus	40694	Holocene		0.0117	0	4785
212879	occ			21686	Molossops greenhalli	species	279373	species not entered	Molossops	genus	279373	Holocene		0.0117	0	4785
212880	occ			21686	Molossus molossus	species	434335		Molossus molossus	species	434335	Holocene		0.0117	0	4785
212882	occ			21686	Artibeus jamaicensis	species	160956	recombined as	Artibeus (Artibeus) jamaicensis	species	160956	Holocene		0.0117	0	4785
212883	occ			21686	Carollia perspicillata	species	159133	species not entered	Carollia	genus	159133	Holocene		0.0117	0	4785
212884	occ			21686	Desmodus rotundus	species	235348		Desmodus rotundus	species	235347	Holocene		0.0117	0	4785
212885	occ			21686	Glossophaga longirostris	species	103143	species not entered	Glossophaga	genus	103143	Holocene		0.0117	0	4785
212886	occ			21686	Glossophaga soricina	species	103143	species not entered	Glossophaga	genus	103143	Holocene		0.0117	0	4785
212887	occ			21686	Micronycteris nicefori	species	117402	species not entered	Micronycteris	genus	117402	Holocene		0.0117	0	4785
212888	occ			21686	Mimon crenulatum	species	424042	species not entered	Mimon	genus	424042	Holocene		0.0117	0	4785
212889	occ			21686	Phyllostomus discolor	species	103136	species not entered	Phyllostomus	genus	103136	Holocene		0.0117	0	4785
212890	occ			21686	Phyllostomus hastatus	species	103136	species not entered	Phyllostomus	genus	103136	Holocene		0.0117	0	4785
212892	occ			21686	Sturnira lilium	species	159135	species not entered	Sturnira	genus	159135	Holocene		0.0117	0	4785
212893	occ			21686	Sturnira ludovici	species	159135	species not entered	Sturnira	genus	159135	Holocene		0.0117	0	4785
212894	occ			21686	Trachops cirrhosus	species	117401		Trachops cirrhosus	species	117399	Holocene		0.0117	0	4785
212895	occ			21686	Uroderma magnirostrum	species	424044	species not entered	Uroderma	genus	424044	Holocene		0.0117	0	4785
212896	occ			21686	Eptesicus furinalis	species	40671	species not entered	Eptesicus	genus	40671	Holocene		0.0117	0	4785
212897	occ			21686	Lasiurus ega	species	40675	species not entered	Lasiurus	genus	40675	Holocene		0.0117	0	4785
212898	occ			21686	Myotis nigricans	species	40678	species not entered	Myotis	genus	40678	Holocene		0.0117	0	4785
212899	occ			21686	Rhogeessa tumida	species	117403	species not entered	Rhogeessa	genus	117403	Holocene		0.0117	0	4785
212900	occ			21686	Alouatta seniculus	species	232537		Alouatta seniculus	species	232536	Holocene		0.0117	0	4785
212901	occ			21686	Agouti paca	species	233833	recombined as	Cuniculus paca	species	233814	Holocene		0.0117	0	4785
212902	occ			21686	Rhynchonycteris naso	species	159127	species not entered	Rhynchonycteris	genus	159127	Holocene		0.0117	0	4785
212903	occ			21686	Noctilio leporinus	species	233610		Noctilio leporinus	species	104144	Holocene		0.0117	0	4785
212904	occ			21686	Noctilio albiventris	species	269558		Noctilio albiventris	species	269558	Holocene		0.0117	0	4785
212905	occ			21686	Micronycteris minuta	species	117402	species not entered	Micronycteris	genus	117402	Holocene		0.0117	0	4785
212906	occ			21686	Micronycteris megalotis	species	117402	species not entered	Micronycteris	genus	117402	Holocene		0.0117	0	4785
212907	occ			21686	Tonatia minuta	species	269559	species not entered	Tonatia	genus	269559	Holocene		0.0117	0	4785
212908	occ			21686	Tonatia venezuelae	species	269559	species not entered	Tonatia	genus	269559	Holocene		0.0117	0	4785
212909	occ			21686	Phyllostomus elongatus	species	103136	species not entered	Phyllostomus	genus	103136	Holocene		0.0117	0	4785
