occurrence_no	record_type	reid_no	flags	collection_no	identified_name	identified_rank	identified_no	difference	accepted_name	accepted_rank	accepted_no	early_interval	late_interval	max_ma	min_ma	reference_no
213073	occ			21689	Myoprocta pratti	species	234763		Myoprocta pratti	species	234763	Holocene		0.0117	0	4790
213074	occ			21689	Nectomys squamipes	species	236805		Nectomys squamipes	species	236804	Holocene		0.0117	0	4790
213075	occ			21689	Sciurus spadiceus	species	41525	species not entered	Sciurus	genus	41525	Holocene		0.0117	0	4790
213076	occ			21689	Oryzomys nitidus	species	41828	species not entered	Oryzomys	genus	41828	Holocene		0.0117	0	4790
213077	occ			21689	Proechimys steerei	species	159117	species not entered	Proechimys	genus	159117	Holocene		0.0117	0	4790
213078	occ			21689	Dasypus novemcinctus	species	45560	recombined as	Dasypus (Dasypus) novemcinctus	species	45560	Holocene		0.0117	0	4790
213079	occ			21689	Tamandua tetradactyla	species	233569		Tamandua tetradactyla	species	104151	Holocene		0.0117	0	4790
213080	occ			21689	Myrmecophaga tridactyla	species	48923		Myrmecophaga tridactyla	species	48923	Holocene		0.0117	0	4790
213081	occ			21689	Coendou prehensilis	species	233581		Coendou prehensilis	species	104190	Holocene		0.0117	0	4790
213082	occ			21689	Hydrochaeris hydrochaeris	species	159144	misspelling of, recombined as	Hydrochoerus hydrochaeris	species	128739	Holocene		0.0117	0	4790
213083	occ			21689	Cyclopes didactylus	species	83037	species not entered	Cyclopes	genus	83037	Holocene		0.0117	0	4790
213084	occ			21689	Priodontes maximus	species	233757		Priodontes maximus	species	233756	Holocene		0.0117	0	4790
213085	occ			21689	Oryzomys capito	species	41828	species not entered	Oryzomys	genus	41828	Holocene		0.0117	0	4790
213086	occ			21689	Oryzomys macconnelli	species	41828	species not entered	Oryzomys	genus	41828	Holocene		0.0117	0	4790
213087	occ			21689	Tayassu pecari	species	52099		Tayassu pecari	species	51898	Holocene		0.0117	0	4790
213088	occ			21689	Mazama americana	species	238326		Mazama americana	species	238325	Holocene		0.0117	0	4790
213089	occ			21689	Mazama gouazoubira	species	149410	recombined as	Cervus gouazoubira	species	149409	Holocene		0.0117	0	4790
213090	occ			21689	Micoureus cinerea	species	39972	species not entered	Micoureus	genus	39972	Holocene		0.0117	0	4790
213091	occ			21689	Marmosops noctiraga	species	234023	species not entered	Marmosops	genus	234023	Holocene		0.0117	0	4790
213092	occ			21689	Caluromysiops irrupta	species	284728		Caluromysiops irrupta	species	284728	Holocene		0.0117	0	4790
213093	occ			21689	Bradypus variegatus	species	426010		Bradypus variegatus	species	426010	Holocene		0.0117	0	4790
213094	occ			21689	Sciurus ignitus	species	41525	species not entered	Sciurus	genus	41525	Holocene		0.0117	0	4790
213095	occ			21689	Oecomys bicolor	species	104875	species not entered	Oecomys	genus	104875	Holocene		0.0117	0	4790
213096	occ			21689	Rhipidomys couesi	species	100635	species not entered	Rhipidomys	genus	100635	Holocene		0.0117	0	4790
213097	occ			21689	Proechimys simonsi	species	159117	species not entered	Proechimys	genus	159117	Holocene		0.0117	0	4790
213098	occ			21689	Procyon cancrivorous	species	41262	species not entered	Procyon	genus	41262	Holocene		0.0117	0	4790
213099	occ			21689	Cebuella pygmaea	species	236610		Cebuella pygmaea	species	236608	Holocene		0.0117	0	4790
213100	occ			21689	Dinomys brannicki	species	100797	species not entered	Dinomys	genus	100797	Holocene		0.0117	0	4790
213101	occ			21689	Felis concolor	species	46513	recombined as	Puma concolor	species	46513	Holocene		0.0117	0	4790
213102	occ			21689	Panthera onca	species	49735		Panthera onca	species	46524	Holocene		0.0117	0	4790
219906	occ	28233		22633	Stegomastodon waringi	species	252389	subjective synonym of	Notiomastodon platensis	species	117324	Pleistocene		2.588	0.0117	45412
220253	occ			22734	Dasypus sp.	genus	43535		Dasypus	genus	43535	Pleistocene		2.588	0.0117	5716
220254	occ			22734	Cuvieronius andium	species	43244	species not entered	Cuvieronius	genus	43244	Pleistocene		2.588	0.0117	5716
229395	occ			21686	Didelphis marsupialis	species	45701		Didelphis marsupialis	species	45701	Holocene		0.0117	0	4785
229396	occ			21686	Marmosa robinsoni	species	284738		Marmosa robinsoni	species	284738	Holocene		0.0117	0	4785
229397	occ			21686	Dasypus novemcinctus	species	45560	recombined as	Dasypus (Dasypus) novemcinctus	species	45560	Holocene		0.0117	0	4785
229398	occ			21686	Tamandua tetradactyla	species	233569		Tamandua tetradactyla	species	104151	Holocene		0.0117	0	4785
229399	occ			21686	Myrmecophaga tridactyla	species	48923		Myrmecophaga tridactyla	species	48923	Holocene		0.0117	0	4785
229400	occ			21686	Felis concolor	species	46513	recombined as	Puma concolor	species	46513	Holocene		0.0117	0	4785
230134	occ			23371	Pseudostylops subquadratus	species	314701	subjective synonym of	Eomorphippus obscurus	species	58196	Mustersan		48	42	6702
292995	occ			27906	Groeberia n. sp. pattersoni	species	331903		Groeberia pattersoni	species	331903	Divisaderan		42	36	7651
295233	occ			27905	Mesotherium cristatum	species	240035		Mesotherium cristatum	species	240035	Ensenadan		1.2	0.781	7716
295234	occ			28219	cf. Leontinia gaudryi	species	53688		Leontinia gaudryi	species	53688	Deseadan		29	21	7717
297497	occ			28513	Hippidion sp.	genus	43001		Hippidion	genus	43001	Pleistocene		2.588	0.0117	6187
297498	occ			28513	Glyptodon sp.	genus	43576		Glyptodon	genus	43576	Pleistocene		2.588	0.0117	6187
297499	occ			28513	Panochthus sp.	genus	43587		Panochthus	genus	43587	Pleistocene		2.588	0.0117	6187
297519	occ			28519	Toxodon sp.	genus	43405		Toxodon	genus	43405	Late Pleistocene		0.126	0.0117	6187
297520	occ			28519	Lestodon sp.	genus	43635		Lestodon	genus	43635	Late Pleistocene		0.126	0.0117	6187
297521	occ			28519	Megatherium sp.	genus	43616		Megatherium	genus	43616	Late Pleistocene		0.126	0.0117	6187
297522	occ			28519	Glyptodon sp.	genus	43576		Glyptodon	genus	43576	Late Pleistocene		0.126	0.0117	6187
