Age	Diversity
0	0
0.5	0.405683871082213
1	0.594316128917787
1.5	0.661641895892028
2	0.661641895892028
2.5	0.594316128917787
3	0.718565020789978
3.5	0.661641895892028
4	0.811367742164426
4.5	0.767874074429446
5	0.811367742164426
5.5	0.767874074429446
6	0.767874074429446
6.5	0.811367742164426
7	0.850274153727603
7.5	0.947157241183184
8	0.947157241183184
8.5	0.947157241183184
9	0.947157241183184
9.5	0.917599920701844
10	0.917599920701844
10.5	0.917599920701844
11	0.811367742164426
11.5	0.718565020789978
12	0.661641895892028
12.5	0.718565020789978
13	0.811367742164426
13.5	0.850274153727603
14	0.917599920701844
14.5	0.917599920701844
15	0.885469284071026
15.5	0.917599920701844
16	0.917599920701844
16.5	0.811367742164426
17	0.947157241183184
17.5	0.947157241183184
18	0.947157241183184
18.5	1
19	0.974523045599793
19.5	1
20	0.974523045599793
20.5	0.917599920701844
21	0.885469284071026
21.5	0.850274153727603
22	0.767874074429446
22.5	0.767874074429446
23	0.661641895892028
23.5	0.767874074429446
24	0.767874074429446
24.5	0.850274153727603
25	0.885469284071026
25.5	0.885469284071026
26	0.885469284071026
26.5	0.811367742164426
27	0.811367742164426
27.5	0.718565020789978
28	0.255958024809815
28.5	0
29	0
29.5	0
30	0
30.5	0
31	0
31.5	0
32	0
32.5	0
33	0
33.5	0.255958024809815
34	0.511916049619631
34.5	0.594316128917787
35	0.594316128917787
35.5	0.718565020789978
36	0.661641895892028
36.5	0.661641895892028
37	0.661641895892028
37.5	0.767874074429446
38	0.767874074429446
38.5	0.718565020789978
39	0.850274153727603
39.5	0.885469284071026
40	0.885469284071026
40.5	0.885469284071026
41	0.917599920701844
41.5	0.947157241183184
42	0.917599920701844
42.5	0.850274153727603
43	0.885469284071026
43.5	0.917599920701844
44	0.850274153727603
44.5	0.850274153727603
45	0.767874074429446
45.5	0.718565020789978
46	0.718565020789978
46.5	0.718565020789978
47	0.767874074429446
47.5	0.767874074429446
48	0.661641895892028
48.5	0.594316128917787
49	0.594316128917787
49.5	0.594316128917787
50	0.594316128917787
50.5	0.594316128917787
51	0.594316128917787
51.5	0.718565020789978
52	0.767874074429446
52.5	0.767874074429446
53	0.661641895892028
53.5	0.594316128917787
54	0.511916049619631
54.5	0.405683871082213
55	0
55.5	0
56	0
56.5	0
57	0
57.5	0
58	0
58.5	0
59	0
59.5	0
60	0
60.5	0
61	0
61.5	0
62	0
62.5	0.255958024809815
63	0.255958024809815
63.5	0.511916049619631
64	0.511916049619631
64.5	0.405683871082213
