Age	fragmentation.index
57	0.532740141
57.1	0.5327129852
57.2	0.5326858294
57.3	0.5326586736
57.4	0.5326315178
57.5	0.532604362
57.6	0.5325772062
57.7	0.5325500504
57.8	0.5325228946
57.9	0.5324957388
58	0.532468583
58.1	0.5323909472
58.2	0.5323133114
58.3	0.5322356756
58.4	0.5321580398
58.5	0.532080404
58.6	0.5320027682
58.7	0.5319251324
58.8	0.5318474966
58.9	0.5317698608
59	0.531692225
59.1	0.5320026915
59.2	0.532313158
59.3	0.5326236245
59.4	0.532934091
59.5	0.5332445575
59.6	0.533555024
59.7	0.5338654905
59.8	0.534175957
59.9	0.5344864235
60	0.53479689
60.1	0.534837076
60.2	0.534877262
60.3	0.534917448
60.4	0.534957634
60.5	0.53499782
60.6	0.535038006
60.7	0.535078192
60.8	0.535118378
60.9	0.535158564
61	0.53519875
61.1	0.5352300914
61.2	0.5352614328
61.3	0.5352927742
61.4	0.5353241156
61.5	0.535355457
61.6	0.5353867984
61.7	0.5354181398
61.8	0.5354494812
61.9	0.5354808226
62	0.535512164
62.1	0.5355430911
62.2	0.5355740182
62.3	0.5356049453
62.4	0.5356358724
62.5	0.5356667995
62.6	0.5356977266
62.7	0.5357286537
62.8	0.5357595808
62.9	0.5357905079
63	0.535821435
63.1	0.5356154445
63.2	0.535409454
63.3	0.5352034635
63.4	0.534997473
63.5	0.5347914825
63.6	0.534585492
63.7	0.5343795015
63.8	0.534173511
63.9	0.5339675205
64	0.53376153
64.1	0.5337016893
64.2	0.5336418486
64.3	0.5335820079
64.4	0.5335221672
64.5	0.5334623265
64.6	0.5334024858
64.7	0.5333426451
64.8	0.5332828044
64.9	0.5332229637
65	0.533163123
65.1	0.5332058039
65.2	0.5332484848
65.3	0.5332911657
65.4	0.5333338466
65.5	0.5333765275
65.6	0.5334192084
65.7	0.5334618893
65.8	0.5335045702
65.9	0.5335472511
66	0.533589932
