Age	d13C_organic
0	-22.05
0.5	-22.5716666666667
1	-21.132
1.5	-22.06
2	-22.4928571428571
2.5	-21.9642857142857
3	-22.092
3.5	-23.225
4	-21.7105882352941
4.5	-21.8288235294118
5	-23.16
5.5	-22.4147619047619
6	-22.5452380952381
6.5	-22.96
7	-23.5961904761905
7.5	-22.9312
8	-23.4046666666667
8.5	-23.6568181818182
9	-23.1235294117647
9.5	-23.4858823529412
10	-23.37
10.5	-22.8663636363636
11	-23.29
11.5	-24.058
12	-23.1241666666667
12.5	-22.7133333333333
13	-22.9085294117647
13.5	-22.351875
14	-23.87
14.5	-23.4692307692308
15	-22.6139130434783
15.5	-22.93
16	-23.42
16.5	-22.9867647058824
17	-23.1057894736842
17.5	-22.4745833333333
18	-22.8088
18.5	-22.8536956521739
19	-24.0836994219653
19.5	-23.7831213872832
20	-23.4825433526012
20.5	-23.2051923076923
21	-23.4648076923077
21.5	-23.6711538461538
22	-22.788
22.5	-22.5342857142857
23	-23.51
23.5	-23.0765517241379
24	-23.5175
24.5	-24.2696428571429
25	-24.507
25.5	-24.0682352941176
26	-24.6403409090909
26.5	-25.47
27	-24.4032558139535
27.5	-23.9489189189189
28	-24.7189743589744
28.5	-24.9714285714286
29	-24.847619047619
29.5	-24.6561764705882
30	-25.0605882352941
30.5	-24.9992307692308
31	-25.5984905660377
31.5	-26.0905982905983
32	-25.765811965812
32.5	-25.491914893617
33	-25.6408510638298
33.5	-25.7897872340426
34	-25.5082926829268
34.5	-24.539
35	-24.6449206349206
35.5	-23.875
36	-24.8
36.5	-26.2653846153846
37	-26.42
37.5	-26.2427659574468
38	-26.061914893617
38.5	-25.8810638297872
39	-25.7002127659574
39.5	-25.5193617021277
40	-24.8346153846154
40.5	-23.5031617647059
41	-22.2641911764706
41.5	-21.05
42	-24.9916176470588
42.5	-26.19
43	-26.2178409090909
43.5	-26.2662025316456
44	-26.4117721518987
44.5	-26.5573417721519
45	-26.7
45.5	-26.865
46	-27.03
46.5	-25.9540206185567
47	-24.9
47.5	-26.0465517241379
48	-26.0130508474576
48.5	-25.61
49	-25.29
49.5	-25.8033333333333
50	-25.18
50.5	-25.2194252873563
51	-25.4822033898305
51.5	-26.62
52	-25.8496391752577
52.5	-25.0635567010309
53	-24.2774742268041
53.5	-23.8592857142857
54	-26.0133333333333
54.5	-26.97
55	-25.2825
55.5	-25.184
56	-25.4766666666667
56.5	-26.5810526315789
57	-25.1127272727273
57.5	-25.7920833333333
58	-25.9275
58.5	-27.867868852459
59	-26.0645901639344
59.5	-26.5019230769231
60	-25.9361851015801
60.5	-25.9813318284424
61	-26.0264785553047
61.5	-26.071625282167
62	-26.1167720090293
62.5	-26.1619187358916
63	-26.2070654627539
63.5	-26.2522121896163
64	-26.2973589164786
64.5	-24.9419047619048
65	-26.3300000000001
65.5	-23.782
66	-24.342962962963
