Age	Temperature
0	13.458
0.1	11.0526666666667
0.2	12.2201333333333
0.3	10.5833333333333
0.4	11.6598666666667
0.5	11.0702666666667
0.6	10.9676
0.7	12.2318666666667
0.8	8.91133333333333
0.9	10.114
1	11.9678666666667
1.1	9.938
1.2	9.77666666666667
1.3	12.226
1.4	12.8566666666667
1.5	13.194
1.6	11.698
1.7	11.9326666666667
1.8	11.8886666666667
1.9	11.5333333333333
2	12.01
2.1	14.21
2.2	11.1483333333333
2.3	13.5133333333333
2.4	12.7983333333333
2.5	12.8716666666667
2.6	12.3033333333333
2.7	12.0356666666667
2.8	13.3116666666667
2.9	14.2283333333333
3	13.4583333333333
3.1	14.3016666666667
3.2	14.9066666666667
3.3	11.9733333333333
3.4	14.3016666666667
3.5	14.9433333333333
3.6	15.1633333333333
3.7	15.5833333333333
3.8	14.5166666666667
3.9	16.05
4	14.45
4.1	14.1166666666667
4.2	16.3833333333333
4.3	13.65
4.4	15.55
4.5	13.45
4.6	14.75
4.7	14.3833333333333
4.8	11.9833333333333
4.9	11.9833333333333
5	15.6833333333333
5.1	14.1833333333333
5.2	15.7166666666667
5.3	14.45
5.4	16.03
5.5	15.0966666666667
5.6	15.0433333333333
5.7	15.0166666666667
5.8	15.07
5.9	15.59
6	14.95
6.1	15.67
6.2	15.39
6.3	15.4433333333333
6.4	14.6433333333333
6.5	14.67
6.6	15.07
6.7	15.39
6.8	14.8566666666667
6.9	15.43
7	15.7366666666667
7.1	15.31
7.2	15.8166666666667
7.3	15.0966666666667
7.4	15.7633333333333
7.5	15.4433333333333
7.6	15.9766666666667
7.7	14.6966666666667
7.8	15.6566666666667
7.9	15.07
8	15.7633333333333
8.1	15.6033333333333
8.2	15.2566666666667
8.3	14.8833333333333
8.4	15.0966666666667
8.5	15.6566666666667
8.6	14.67
8.7	14.99
8.8	15.07
8.9	15.23
9	15.7366666666667
9.1	15.6566666666667
9.2	15.55
9.3	15.8966666666667
9.4	16.0033333333333
9.5	15.23
9.6	16.7233333333333
9.7	15.39
9.8	16.1366666666667
9.9	15.2033333333333
10	16.6166666666667
10.1	15.4966666666667
10.2	16.27
10.3	15.95
10.4	16.0833333333333
10.5	16.03
10.6	16.5633333333333
10.7	17.15
10.8	15.5233333333333
10.9	15.63
11	15.95
11.1	15.5766666666667
11.2	15.2566666666667
11.3	16.1366666666667
11.4	16.4033333333333
11.5	15.6833333333333
11.6	16.51
11.7	15.4433333333333
11.8	16.35
11.9	15.5233333333333
12	16.67
12.1	16.19
12.2	16.2966666666667
12.3	15.75
12.4	16.2166666666667
12.5	16.19
12.6	16.2433333333333
12.7	15.71
12.8	16.2166666666667
12.9	15.47
13	15.2566666666667
13.1	16.7233333333333
13.2	16.5366666666667
13.3	15.9233333333333
13.4	16.4566666666667
13.5	17.0166666666667
13.6	16.43
13.7	16.99
13.8	17.3633333333333
13.9	19.0033333333333
14	18.43
14.1	18.35
14.2	17.6566666666667
14.3	18.4433333333333
14.4	17.2833333333333
14.5	18.6433333333333
14.6	17.63
14.7	18.03
14.8	18.19
14.9	17.6566666666667
15	18.2166666666667
15.1	19.31
15.2	19.5233333333333
15.3	18.51
15.4	17.71
15.5	19.2833333333333
15.6	19.1446666666667
15.7	18.4033333333333
15.8	18.462
15.9	17.3713333333333
16	20.2353333333333
16.1	18.3393333333333
16.2	18.814
16.3	17.9953333333333
16.4	19.1126666666667
16.5	19.318
16.6	18.8833333333333
16.7	18.0006666666667
16.8	18.6566666666667
16.9	18.95
17	17.822
17.1	17.654
17.2	18.39
17.3	19.4966666666667
17.4	18.75
17.5	18.2513333333333
17.6	17.2833333333333
17.7	18.4833333333333
17.8	18.2433333333333
17.9	16.59
18	16.9366666666667
18.1	17.5713333333333
18.2	17.5686666666667
18.3	17.4406666666667
18.4	17.022
18.5	18.214
18.6	17.3073333333333
18.7	17.3446666666667
18.8	18.502
18.9	17.35
19	17.2086666666667
19.1	17.662
19.2	18.0353333333333
19.3	17.8166666666667
19.4	16.7526666666667
19.5	16.9633333333333
19.6	17.4886666666667
19.7	18.4566666666667
19.8	16.9233333333333
19.9	17.014
20	17.8166666666667
20.1	18.0086666666667
20.2	17.8833333333333
20.3	18.374
20.4	18.4833333333333
20.5	17.6566666666667
20.6	17.6033333333333
20.7	17.79
20.8	18.83
20.9	18.2966666666667
21	17.582
21.1	17.6433333333333
21.2	16.8806666666667
21.3	18.9793333333333
21.4	17.8806666666667
21.5	17.5073333333333
21.6	17.686
21.7	18.2966666666667
21.8	17.3366666666667
21.9	17.71
22	18.0833333333333
22.1	17.71
22.2	17.8433333333333
22.3	17.3153333333333
22.4	18.078
22.5	18.0006666666667
22.6	17.6033333333333
22.7	18.8833333333333
22.8	18.6433333333333
22.9	18.27
23	18.35
23.1	16.6726666666667
23.2	16.742
23.3	17.8966666666667
23.4	18.3633333333333
23.5	18.0273333333333
23.6	17.71
23.7	17.7366666666667
23.8	18.51
23.9	18.0833333333333
24	18.3766666666667
24.1	18.2273333333333
24.2	18.27
24.3	18.2113333333333
24.4	18.2006666666667
24.5	18.0033333333333
24.6	18.4566666666667
24.7	17.8966666666667
24.8	17.55
24.9	18.03
25	17.8166666666667
25.1	17.9766666666667
25.2	17.55
25.3	17.7366666666667
25.4	17.4966666666667
25.5	17.5233333333333
25.6	17.294
25.7	17.774
25.8	18.03
25.9	17.366
26	17.8646666666667
26.1	17.39
26.2	17.086
26.3	17.9393333333333
26.4	17.31
26.5	17.47
26.6	16.766
26.7	17.67
26.8	17.0006666666667
26.9	16.806
27	16.8646666666667
