Age	Diversity
17.7	0.903089986991944
17.8	0.903089986991944
17.9	0.903089986991944
18	0.903089986991944
18.1	0.903089986991944
18.2	0.903089986991944
18.3	0.903089986991944
18.4	0.903089986991944
18.5	0.954242509439325
18.6	0.954242509439325
18.7	0.954242509439325
18.8	0.954242509439325
18.9	0.954242509439325
19	0.903089986991944
19.1	0.903089986991944
19.2	0.903089986991944
19.3	0.903089986991944
19.4	0.903089986991944
19.5	0.903089986991944
19.6	0.903089986991944
19.7	0.903089986991944
19.8	0.903089986991944
19.9	0.903089986991944
20	0.954242509439325
20.1	0.954242509439325
20.2	0.954242509439325
20.3	0.954242509439325
20.4	0.954242509439325
20.5	1
20.6	1
20.7	1
20.8	0.954242509439325
20.9	0.954242509439325
21	0.954242509439325
21.1	0.954242509439325
21.2	0.954242509439325
21.3	0.954242509439325
21.4	0.954242509439325
21.5	0.903089986991944
21.6	0.903089986991944
21.7	0.903089986991944
21.8	0.903089986991944
21.9	0.903089986991944
22	0.903089986991944
22.1	0.903089986991944
22.2	0.903089986991944
22.3	0.903089986991944
22.4	0.903089986991944
22.5	0.845098040014257
22.6	0.845098040014257
22.7	0.845098040014257
22.8	0.845098040014257
22.9	0.845098040014257
23	0.845098040014257
23.1	0.845098040014257
23.2	0.845098040014257
23.3	0.778151250383644
23.4	0.778151250383644
23.5	0.778151250383644
23.6	0.778151250383644
23.7	0.778151250383644
23.8	0.845098040014257
23.9	0.845098040014257
24	0.845098040014257
24.1	0.903089986991944
24.2	0.903089986991944
24.3	0.903089986991944
24.4	0.903089986991944
24.5	0.903089986991944
24.6	0.903089986991944
24.7	0.903089986991944
24.8	0.903089986991944
24.9	0.903089986991944
25	0.903089986991944
25.1	0.903089986991944
25.2	0.903089986991944
25.3	0.903089986991944
25.4	0.903089986991944
25.5	0.954242509439325
25.6	0.954242509439325
25.7	0.954242509439325
25.8	0.954242509439325
25.9	0.954242509439325
26	0.954242509439325
26.1	0.954242509439325
26.2	0.954242509439325
26.3	0.954242509439325
26.4	0.954242509439325
26.5	0.903089986991944
26.6	0.903089986991944
26.7	0.903089986991944
26.8	0.903089986991944
26.9	0.903089986991944
27	0.903089986991944
27.1	0.845098040014257
27.2	0.845098040014257
27.3	0.778151250383644
27.4	0.778151250383644
27.5	0.698970004336019
27.6	0.698970004336019
27.7	0.698970004336019
27.8	0.698970004336019
27.9	0.698970004336019
28	0.698970004336019
28.1	0.698970004336019
28.2	0.698970004336019
28.3	0.698970004336019
28.4	0.698970004336019
28.5	0.602059991327962
28.6	0.602059991327962
28.7	0.602059991327962
28.8	0.602059991327962
28.9	0.602059991327962
29	0.698970004336019
29.1	0.602059991327962
29.2	0.602059991327962
29.3	0.602059991327962
29.4	0.602059991327962
29.5	0.602059991327962
29.6	0.602059991327962
29.7	0.602059991327962
29.8	0.602059991327962
29.9	0.602059991327962
30	0.602059991327962
30.1	0.602059991327962
30.2	0.602059991327962
30.3	0.602059991327962
30.4	0.602059991327962
30.5	0.698970004336019
30.6	0.698970004336019
30.7	0.698970004336019
30.8	0.778151250383644
30.9	0.778151250383644
31	0.778151250383644
31.1	0.778151250383644
31.2	0.778151250383644
31.3	0.778151250383644
31.4	0.778151250383644
31.5	0.778151250383644
31.6	0.778151250383644
31.7	0.778151250383644
31.8	0.778151250383644
31.9	0.778151250383644
32	0.778151250383644
32.1	0.778151250383644
32.2	0.778151250383644
32.3	0.778151250383644
32.4	0.698970004336019
32.5	0.698970004336019
32.6	0.602059991327962
32.7	0.602059991327962
32.8	0.602059991327962
32.9	0.477121254719662
33	0.477121254719662
33.1	0.477121254719662
33.2	0.477121254719662
33.3	0.477121254719662
33.4	0.301029995663981
33.5	0.301029995663981
33.6	0.301029995663981
33.7	0.301029995663981
33.8	0.301029995663981
33.9	0.301029995663981
34	0.301029995663981
34.1	0.301029995663981
34.2	0.301029995663981
34.3	0.301029995663981
34.4	0.301029995663981
34.5	0.301029995663981
34.6	0.301029995663981
34.7	0.301029995663981
34.8	0.301029995663981
34.9	0.301029995663981
35	0.301029995663981
35.1	0.301029995663981
35.2	0.301029995663981
35.3	0.301029995663981
35.4	0.301029995663981
35.5	0.301029995663981
35.6	0.301029995663981
35.7	0.301029995663981
35.8	0.301029995663981
35.9	0.301029995663981
36	0.301029995663981
36.1	0.301029995663981
36.2	0.301029995663981
36.3	0.301029995663981
36.4	0.301029995663981
36.5	0.301029995663981
36.6	0.301029995663981
36.7	0.301029995663981
