Age	Diversity
22.9	0
23	0
23.1	0
23.2	0
23.3	0
23.4	0
23.5	0
23.6	0
23.7	0
23.8	0
23.9	0
24	0
24.1	0
24.2	0
24.3	0
24.4	0
24.5	0
24.6	0
24.7	0
24.8	0
24.9	0
25	0
25.1	0
25.2	0
25.3	0
25.4	0
25.5	0
25.6	0
25.7	0
25.8	0
25.9	0
26	0
26.1	0
26.2	0
26.3	0
26.4	0
26.5	0
26.6	0
26.7	0
26.8	0
26.9	0
27	0
27.1	0
27.2	0
27.3	0
27.4	0
27.5	0
27.6	0
27.7	0
27.8	0
27.9	0
28	0.430676558073393
28.1	0.430676558073393
28.2	0.430676558073393
28.3	0.430676558073393
28.4	0.430676558073393
28.5	0.682606194485985
28.6	0.682606194485985
28.7	0.682606194485985
28.8	0.682606194485985
28.9	0.682606194485985
29	0.682606194485985
29.1	0.682606194485985
29.2	0.861353116146786
29.3	0.861353116146786
29.4	0.861353116146786
29.5	0.861353116146786
29.6	0.861353116146786
29.7	0.861353116146786
29.8	0.861353116146786
29.9	0.861353116146786
30	0.861353116146786
30.1	0.861353116146786
30.2	0.861353116146786
30.3	0.861353116146786
30.4	0.861353116146786
30.5	0.861353116146786
30.6	0.861353116146786
30.7	0.861353116146786
30.8	0.861353116146786
30.9	0.861353116146786
31	0.861353116146786
31.1	0.861353116146786
31.2	0.861353116146786
31.3	0.861353116146786
31.4	0.861353116146786
31.5	0.861353116146786
31.6	0.861353116146786
31.7	0.861353116146786
31.8	0.861353116146786
31.9	0.861353116146786
32	0.861353116146786
32.1	0.861353116146786
32.2	0.861353116146786
32.3	0.861353116146786
32.4	0.861353116146786
32.5	0.861353116146786
32.6	0.861353116146786
32.7	0.861353116146786
32.8	0.861353116146786
32.9	0.861353116146786
33	0.861353116146786
33.1	0.861353116146786
33.2	0.861353116146786
33.3	0.861353116146786
33.4	0.861353116146786
33.5	0.861353116146786
33.6	0.861353116146786
33.7	0.861353116146786
33.8	0.682606194485985
33.9	0.682606194485985
34	0.682606194485985
34.1	0.682606194485985
34.2	0.861353116146786
34.3	0.861353116146786
34.4	0.861353116146786
34.5	0.861353116146786
34.6	0.861353116146786
34.7	0.861353116146786
34.8	0.861353116146786
34.9	0.861353116146786
35	0.861353116146786
35.1	0.861353116146786
35.2	0.861353116146786
35.3	0.861353116146786
35.4	1
35.5	1
35.6	1
35.7	1
35.8	1
35.9	0.861353116146786
36	0.861353116146786
36.1	0.861353116146786
36.2	0.861353116146786
36.3	0.861353116146786
36.4	0.861353116146786
36.5	0.861353116146786
36.6	0.861353116146786
36.7	0.682606194485985
36.8	0.682606194485985
36.9	0.682606194485985
37	0.682606194485985
37.1	0.682606194485985
37.2	0.682606194485985
37.3	0.682606194485985
37.4	0.682606194485985
37.5	0.682606194485985
37.6	0.682606194485985
37.7	0.682606194485985
37.8	0.682606194485985
37.9	0.682606194485985
38	0.682606194485985
38.1	0.682606194485985
38.2	0.682606194485985
38.3	0.682606194485985
38.4	0.682606194485985
38.5	0.682606194485985
38.6	0.682606194485985
38.7	0.682606194485985
38.8	0.682606194485985
38.9	0.682606194485985
39	0.682606194485985
39.1	0.682606194485985
39.2	0.682606194485985
39.3	0.682606194485985
39.4	0.682606194485985
39.5	0.682606194485985
39.6	0.682606194485985
39.7	0.430676558073393
39.8	0.430676558073393
39.9	0.430676558073393
40	0.430676558073393
40.1	0.430676558073393
40.2	0.430676558073393
40.3	0.430676558073393
40.4	0.430676558073393
40.5	0.430676558073393
40.6	0.430676558073393
40.7	0.430676558073393
40.8	0.430676558073393
40.9	0.430676558073393
41	0.430676558073393
41.1	0.430676558073393
41.2	0.430676558073393
41.3	0.430676558073393
41.4	0.430676558073393
41.5	0.430676558073393
41.6	0.430676558073393
41.7	0.430676558073393
41.8	0.430676558073393
41.9	0.430676558073393
42	0.430676558073393
42.1	0.430676558073393
42.2	0.430676558073393
42.3	0.430676558073393
42.4	0.430676558073393
42.5	0.430676558073393
42.6	0.430676558073393
42.7	0.430676558073393
42.8	0.430676558073393
42.9	0.430676558073393
43	0.430676558073393
43.1	0.430676558073393
43.2	0.430676558073393
43.3	0.430676558073393
43.4	0.430676558073393
43.5	0.430676558073393
43.6	0.430676558073393
43.7	0.430676558073393
43.8	0.430676558073393
43.9	0.430676558073393
44	0.430676558073393
44.1	0.430676558073393
44.2	0.430676558073393
44.3	0.430676558073393
44.4	0.430676558073393
44.5	0.430676558073393
44.6	0.430676558073393
44.7	0.430676558073393
44.8	0.430676558073393
44.9	0.430676558073393
45	0.430676558073393
45.1	0.430676558073393
45.2	0.430676558073393
45.3	0.430676558073393
45.4	0.430676558073393
45.5	0.430676558073393
45.6	0.430676558073393
45.7	0.430676558073393
45.8	0
45.9	0
46	0
46.1	0
46.2	0
46.3	0
46.4	0
46.5	0
46.6	0
46.7	0
46.8	0
46.9	0
47	0
47.1	0
47.2	0
47.3	0
47.4	0
47.5	0
47.6	0
47.7	0
47.8	0
47.9	0
48	0
48.1	0
48.2	0
48.3	0
48.4	0
48.5	0
48.6	0
48.7	0
48.8	0
48.9	0
49	0
49.1	0
49.2	0
49.3	0
49.4	0
49.5	0
49.6	0
49.7	0
49.8	0
49.9	0
50	0
50.1	0
50.2	0
50.3	0
50.4	0
50.5	0
50.6	0
50.7	0
50.8	0
50.9	0
51	0
51.1	0
51.2	0
51.3	0
51.4	0
51.5	0
51.6	0
51.7	0
51.8	0
51.9	0
52	0
