Age	C13organic
38.4	-25.9172340425532
38.5	-25.8810638297872
38.6	-25.8448936170213
38.7	-25.8087234042553
38.8	-25.7725531914894
38.9	-25.7363829787234
39	-25.7002127659574
39.1	-25.6640425531915
39.2	-25.6278723404255
39.3	-25.5917021276596
39.4	-25.5555319148936
39.5	-25.5193617021277
39.6	-25.4831914893617
39.7	-25.4470212765957
39.8	-25.4108510638298
39.9	-25.2115384615385
40	-24.8346153846154
40.1	-24.4576923076923
40.2	-24.2465441176471
40.3	-23.99875
40.4	-23.7509558823529
40.5	-23.5031617647059
40.6	-23.2553676470588
40.7	-23.0075735294118
40.8	-22.7597794117647
40.9	-22.5119852941177
41	-22.2641911764706
41.1	-22.0163970588235
41.2	-21.7686029411765
41.3	-21.5208088235294
41.4	-21.2730147058824
41.5	-21.05
41.6	-21.7739705882353
41.7	-22.5783823529412
41.8	-23.382794117647
41.9	-24.187205882353
42	-24.9916176470588
42.1	-25.7960294117647
42.2	-26.52
42.3	-26.4139285714286
42.4	-26.2960714285714
42.5	-26.19
42.6	-26.1951136363636
42.7	-26.2007954545455
42.8	-26.2064772727273
42.9	-26.2121590909091
43	-26.2178409090909
43.1	-26.2235227272727
43.2	-26.2292045454545
43.3	-26.2348863636364
43.4	-26.24
43.5	-26.2662025316456
43.6	-26.2953164556962
43.7	-26.3244303797468
43.8	-26.3535443037975
43.9	-26.3826582278481
44	-26.4117721518987
44.1	-26.4408860759494
44.2	-26.47
44.3	-26.4991139240506
44.4	-26.5282278481013
44.5	-26.5573417721519
44.6	-26.5864556962025
44.7	-26.6155696202532
44.8	-26.6446835443038
44.9	-26.6737974683544
45	-26.7
45.1	-26.730306122449
45.2	-26.7639795918367
45.3	-26.7976530612245
45.4	-26.8313265306122
45.5	-26.865
45.6	-26.8986734693878
45.7	-26.9323469387755
45.8	-26.9660204081633
45.9	-26.999693877551
46	-27.03
46.1	-26.8323711340206
46.2	-26.6127835051546
46.3	-26.3931958762887
46.4	-26.1736082474227
46.5	-25.9540206185567
46.6	-25.7344329896907
46.7	-25.5148453608247
46.8	-25.2952577319588
46.9	-25.0756701030928
47	-24.9
47.1	-25.1293103448276
47.2	-25.3586206896552
47.3	-25.5879310344828
47.4	-25.8172413793103
47.5	-26.0465517241379
47.6	-26.23
47.7	-26.1757627118644
47.8	-26.1215254237288
47.9	-26.0672881355932
48	-26.0130508474576
48.1	-25.958813559322
48.2	-25.91
48.3	-25.8135714285714
48.4	-25.7064285714286
48.5	-25.61
48.6	-25.4818181818182
48.7	-25.3393939393939
48.8	-25.1969696969697
48.9	-25.3
49	-25.29
49.1	-25.14
49.2	-24.99
49.3	-24.84
49.4	-24.72
49.5	-25.8033333333333
49.6	-25.972
49.7	-25.9
49.8	-25.9039130434783
49.9	-25.9082608695652
50	-25.18
50.1	-25.1872413793103
50.2	-25.1952873563218
50.3	-25.2033333333333
50.4	-25.2113793103448
50.5	-25.2194252873563
50.6	-25.2274712643678
50.7	-25.2355172413793
50.8	-25.2435632183908
50.9	-25.25
51	-25.4822033898305
51.1	-25.714406779661
51.2	-25.9466101694915
51.3	-26.178813559322
51.4	-26.4110169491525
51.5	-26.62
51.6	-26.4785051546392
51.7	-26.3212886597938
51.8	-26.1640721649485
51.9	-26.0068556701031
52	-25.8496391752577
52.1	-25.6924226804124
52.2	-25.535206185567
52.3	-25.3779896907217
52.4	-25.2207731958763
52.5	-25.0635567010309
52.6	-24.9063402061856
52.7	-24.7491237113402
52.8	-24.5919072164948
52.9	-24.4346907216495
53	-24.2774742268041
53.1	-24.1202577319588
53.2	-23.9630412371134
53.3	-23.805824742268
53.4	-23.6486082474227
53.5	-23.8592857142857
53.6	-24.8235714285714
53.7	-25.7878571428571
53.8	-26.237
53.9	-26.1466666666667
54	-26.0133333333333
54.1	-26.2672727272727
54.2	-26.5844444444444
54.3	-26.815
54.4	-26.89
54.5	-26.97
54.6	-26.97
54.7	-25.57
54.8	-25.462
54.9	-25.342
55	-25.2825
55.1	-25.345
55.2	-25.4352631578947
55.3	-25.5984210526316
55.4	-25.485
55.5	-25.184
55.6	-25.2988235294117
55.7	-25.8870588235294
55.8	-26.064
55.9	-25.36
56	-25.4766666666667
56.1	-25.5933333333333
56.2	-25.71
56.3	-26.0377777777777
56.4	-26.9073684210526
56.5	-26.5810526315789
56.6	-26.2547368421053
56.7	-25.9284210526316
56.8	-25.6021052631579
56.9	-25.2757894736842
57	-25.1127272727273
57.1	-25.2763636363636
57.2	-25.44
57.3	-25.5566666666667
57.4	-25.7025
57.5	-25.7920833333333
57.6	-25.8025
57.7	-25.8129166666667
57.8	-25.8233333333333
57.9	-25.83375
58	-25.9275
58.1	-26.365
58.2	-26.8025
58.3	-27.24
58.4	-27.6775
58.5	-27.867868852459
58.6	-27.5072131147541
58.7	-27.1465573770492
58.8	-26.7859016393443
58.9	-26.4252459016393
59	-26.0645901639344
59.1	-25.74
59.2	-26.034
59.3	-26.3606666666667
59.4	-26.6873333333333
59.5	-26.5019230769231
59.6	-26.1903846153846
59.7	-25.91
59.8	-25.9181264108352
59.9	-25.9271557562077
60	-25.9361851015801
60.1	-25.9452144469526
60.2	-25.9542437923251
60.3	-25.9632731376975
60.4	-25.97230248307
60.5	-25.9813318284424
60.6	-25.9903611738149
60.7	-25.9993905191874
60.8	-26.0084198645598
60.9	-26.0174492099323
61	-26.0264785553047
61.1	-26.0355079006772
61.2	-26.0445372460497
61.3	-26.0535665914221
61.4	-26.0625959367946
61.5	-26.071625282167
61.6	-26.0806546275395
61.7	-26.089683972912
61.8	-26.0987133182844
61.9	-26.1077426636569
62	-26.1167720090293
62.1	-26.1258013544018
62.2	-26.1348306997743
62.3	-26.1438600451467
62.4	-26.1528893905192
62.5	-26.1619187358916
62.6	-26.1709480812641
62.7	-26.1799774266366
62.8	-26.189006772009
62.9	-26.1980361173815
63	-26.2070654627539
63.1	-26.2160948081264
63.2	-26.2251241534989
63.3	-26.2341534988713
63.4	-26.2431828442438
63.5	-26.2522121896163
63.6	-26.2612415349887
63.7	-26.2702708803612
63.8	-26.2793002257336
63.9	-26.2883295711061
64	-26.2973589164786
64.1	-26.306388261851
64.2	-26.1490476190476
64.3	-25.7466666666667
64.4	-25.3442857142857
64.5	-24.9419047619048
64.6	-24.62
64.7	-24.8433333333333
64.8	-25.0666666666667
64.9	-25.29
65	-26.3300000000001
65.1	-24.6033333333334
65.2	-24.11
65.3	-24.022
65.4	-23.902
65.5	-23.782
65.6	-23.940625
65.7	-24.184375
65.8	-24.428125
65.9	-24.5022222222222
66	-24.342962962963
