Age	Altitude
0	1922.33333333333
0.1	1918.36666666667
0.2	1914.4
0.3	1910.43333333333
0.4	1906.46666666667
0.5	1902.5
0.6	1898.53333333333
0.7	1894.56666666667
0.8	1890.6
0.9	1886.63333333333
1	1882.66666666667
1.1	1879.03333333333
1.2	1875.4
1.3	1871.76666666667
1.4	1868.13333333333
1.5	1864.5
1.6	1860.86666666667
1.7	1857.23333333333
1.8	1853.6
1.9	1849.96666666667
2	1846.33333333333
2.1	1842.66666666667
2.2	1839
2.3	1835.33333333333
2.4	1831.66666666667
2.5	1828
2.6	1824.33333333333
2.7	1820.66666666667
2.8	1817
2.9	1813.33333333333
3	1809.66666666667
3.1	1805.36666666667
3.2	1801.06666666667
3.3	1796.76666666667
3.4	1792.46666666667
3.5	1788.16666666667
3.6	1783.86666666667
3.7	1779.56666666667
3.8	1775.26666666667
3.9	1770.96666666667
4	1766.66666666667
4.1	1762.53333333333
4.2	1758.4
4.3	1754.26666666667
4.4	1750.13333333333
4.5	1746
4.6	1741.86666666667
4.7	1737.73333333333
4.8	1733.6
4.9	1729.46666666667
5	1725.33333333333
5.1	1721.36666666667
5.2	1717.4
5.3	1713.43333333333
5.4	1709.46666666667
5.5	1705.5
5.6	1701.53333333333
5.7	1697.56666666667
5.8	1693.6
5.9	1689.63333333333
6	1685.66666666667
6.1	1680.43333333333
6.2	1675.2
6.3	1669.96666666667
6.4	1664.73333333333
6.5	1659.5
6.6	1654.26666666667
6.7	1649.03333333333
6.8	1643.8
6.9	1638.56666666667
7	1633.33333333333
7.1	1627.03333333333
7.2	1620.73333333333
7.3	1614.43333333333
7.4	1608.13333333333
7.5	1601.83333333333
7.6	1595.53333333333
7.7	1589.23333333333
7.8	1582.93333333333
7.9	1576.63333333333
8	1570.33333333333
8.1	1564.3
8.2	1558.26666666667
8.3	1552.23333333333
8.4	1546.2
8.5	1540.16666666667
8.6	1534.13333333333
8.7	1528.1
8.8	1522.06666666667
8.9	1516.03333333333
9	1510
9.1	1502.83333333333
9.2	1495.66666666667
9.3	1488.5
9.4	1481.33333333333
9.5	1474.16666666667
9.6	1467
9.7	1459.83333333333
9.8	1452.66666666667
9.9	1445.5
10	1438.33333333333
10.1	1433.13333333333
10.2	1427.93333333333
10.3	1422.73333333333
10.4	1417.53333333333
10.5	1412.33333333333
10.6	1407.13333333333
10.7	1401.93333333333
10.8	1396.73333333333
10.9	1391.53333333333
11	1386.33333333333
11.1	1381.23333333333
11.2	1376.13333333333
11.3	1371.03333333333
11.4	1365.93333333333
11.5	1360.83333333333
11.6	1355.73333333333
11.7	1350.63333333333
11.8	1345.53333333333
11.9	1340.43333333333
12	1335.33333333333
12.1	1332.03333333333
12.2	1328.73333333333
12.3	1325.43333333333
12.4	1322.13333333333
12.5	1318.83333333333
12.6	1315.53333333333
12.7	1312.23333333333
12.8	1308.93333333333
12.9	1305.63333333333
13	1302.33333333333
13.1	1299.23333333333
13.2	1296.13333333333
13.3	1293.03333333333
13.4	1289.93333333333
13.5	1286.83333333333
13.6	1283.73333333333
13.7	1280.63333333333
13.8	1277.53333333333
13.9	1274.43333333333
14	1271.33333333333
14.1	1268.46666666667
14.2	1265.6
14.3	1262.73333333333
14.4	1259.86666666667
14.5	1257
14.6	1254.13333333333
14.7	1251.26666666667
14.8	1248.4
14.9	1245.53333333333
15	1242.66666666667
15.1	1239.5
15.2	1236.33333333333
