Age	C13organic
111.69	-23.58
111.90	-24.21
112.17	-23.70
112.40	-23.34
112.72	-23.68
113.42	-23.74
113.80	-22.54
113.98	-22.82
114.12	-23.20
114.48	-23.90
115.30	-23.15
116.47	-23.87
117.55	-23.66
118.48	-24.99
119.52	-26.54
120.40	-26.70
121.47	-24.06
122.68	-22.15
121.93	-27.04
122.18	-26.65
122.44	-28.45
122.67	-28.13
122.71	-28.17
122.97	-27.63
123.23	-26.53
123.48	-26.23
123.76	-26.32
124.28	-27.07
124.56	-26.23
124.82	-26.49
125.05	-26.38
125.34	-25.45
125.48	-25.72
125.86	-26.37
126.05	-25.58
126.38	-25.81
126.49	-26.54
127.42	-25.42
127.68	-26.65
127.95	-26.55
128.18	-25.01
128.46	-24.03
128.81	-25.56	
128.99	-25.41
129.21	-24.12
129.59	-25.42
129.98	-24.52
130.17	-24.28
130.36	-24.26
130.56	-24.10
130.75	-24.59
130.93	-23.86
131.15	-23.75
131.28	-23.97
131.29	-23.45
131.39	-25.37
131.52	-25.56
131.62	-25.35
131.75	-22.75
131.86	-26.70
131.97	-24.32
132.08	-26.55
132.20	-26.65
132.30	-23.10
132.45	-22.76
132.54	-24.56
132.68	-23.66
132.78	-24.99
132.89	-26.03
133.01	-26.35
133.14	-25.59
133.36	-27.29
133.59	-26.64
133.81	-27.10
133.83	-26.56
134.08	-26.91
134.30	-26.20
134.51	-28.15
134.78	-28.02
134.97	-27.51
135.21	-27.74
135.46	-27.74
135.75	-27.92
135.80	-27.93
136.20	-27.94
136.51	-27.43
136.80	-26.03
137.26	-26.48
137.73	-28.59
138.08	-25.93
138.49	-25.62
138.82	-26.48
139.18	-25.94	
139.57	-25.76
140.29	-26.15
140.64	-25.59
140.94	-25.93
141.27	-25.59
141.90	-23.64
142.16	-25.08
142.39	-25.02
142.66	-24.66
143.03	-24.81
143.25	-24.96
143.28	-24.11
143.86	-24.26
144.16	-23.92
144.46	-23.80
145.98	-24.24
146.28	-25.03
147.35	-22.90
147.65	-24.59
147.76	-22.88
148.06	-23.27
148.38	-23.56
148.72	-22.83
149.04	-22.42
149.34	-22.34
149.68	-23.81
150.32	-23.04
150.64	-22.84
150.92	-22.66
150.99	-25.71
151.45	-24.81
151.53	-24.88
152.06	-25.97
152.24	-25.61
153.30	-25.40
153.82	-25.35
154.36	-24.63
154.92	-23.14
155.48	-23.97
155.55	-23.49
156.02	-24.61
156.59	-23.31
157.12	-24.71
158.28	-26.15
158.50	-23.95
159.04	-25.97
159.75	-24.93
159.81	-25.38
159.90	-25.31
159.94	-25.11	
160.16	-26.15
160.25	-27.07
160.29	-27.18
160.37	-27.26
160.45	-26.81
160.52	-25.82
160.60	-25.99
160.67	-26.41
160.69	-27.62
161.11	-26.12
161.14	-26.44
161.18	-27.80
161.99	-29.51
162.15	-26.15
162.22	-27.57
162.29	-27.52
162.38	-27.07
162.45	-27.16
162.52	-27.66
162.59	-27.68
162.67	-27.16
162.71	-27.04
162.78	-27.85
162.90	-27.38
163.35	-26.15
163.79	-26.15
164.10	-26.15
180.18	-26.63
180.66	-26.79
181.41	-27.42
181.93	-27.59
182.35	-27.85
182.82	-27.04
183.29	-27.61
183.91	-28.21
184.57	-27.70
185.60	-25.52
185.92	-26.00
186.45	-25.40
187.11	-26.15
187.73	-31.06
188.04	-26.15
188.36	-25.10
188.65	-23.80
189.01	-24.81
189.67	-26.30
189.89	-26.00
190.09	-29.02
190.31	-26.69
190.56	-24.00	
190.93	-25.62
190.97	-25.20
191.13	-24.80
191.96	-26.30
192.29	-25.10
192.55	-26.10
193.08	-27.81
193.37	-27.40
193.68	-27.30
193.94	-25.90
194.62	-28.00
194.87	-27.40
195.15	-26.90
195.41	-25.87
195.64	-26.00
195.87	-25.00
196.11	-26.15
196.22	-25.16
196.33	-24.56
196.46	-25.65
196.57	-25.02
196.68	-26.15
196.79	-24.67
196.91	-26.91
197.04	-24.60
197.15	-23.98
197.27	-26.15
197.38	-25.10
197.51	-26.15
197.62	-25.04
197.74	-24.82
197.85	-24.13
198.06	-23.90
198.44	-24.16
198.84	-24.99
199.18	-24.50
199.42	-25.10
199.77	-24.60
200.25	-23.92
200.71	-25.20
201.21	-26.30
201.68	-25.21
201.94	-26.65
203.18	-27.28
203.60	-27.10
204.33	-26.20
205.08	-28.15
205.65	-26.86
