".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"df"	"p"	"p.adj"	"p.adj.signif"
"1"	"AICc"	"27.82"	"33.9"	6	6	-0.958324981910935	5	0.382	1	"ns"
"2"	"AICc"	"27.82"	"37.71"	6	6	-15.8114517050472	5	1.84e-05	0.000662	"***"
"3"	"AICc"	"27.82"	"41.2"	6	6	-16.012569012444	5	1.73e-05	0.000623	"***"
"4"	"AICc"	"27.82"	"47.8"	6	6	-13.4158868283231	5	4.12e-05	0.001	"**"
"5"	"AICc"	"27.82"	"56.0"	6	6	8.23298359999726	5	0.000431	0.016	"*"
"6"	"AICc"	"27.82"	"HPP"	6	6	-38.4103220735643	5	2.25e-07	8.1e-06	"****"
"7"	"AICc"	"27.82"	"NHPP"	6	6	-40.6047892914386	5	1.71e-07	6.16e-06	"****"
"8"	"AICc"	"27.82"	"TPP"	6	6	8.51402169621684	5	0.000368	0.013	"*"
"9"	"AICc"	"33.9"	"37.71"	6	6	-31.6786720952985	5	5.89e-07	2.12e-05	"****"
"10"	"AICc"	"33.9"	"41.2"	6	6	-20.2683374899352	5	5.41e-06	0.000195	"***"
"11"	"AICc"	"33.9"	"47.8"	6	6	-13.5880768646274	5	3.87e-05	0.001	"**"
"12"	"AICc"	"33.9"	"56.0"	6	6	11.6926833922401	5	8.04e-05	0.003	"**"
"13"	"AICc"	"33.9"	"HPP"	6	6	-37.5481491240805	5	2.52e-07	9.07e-06	"****"
"14"	"AICc"	"33.9"	"NHPP"	6	6	-42.2544733708615	5	1.4e-07	5.04e-06	"****"
"15"	"AICc"	"33.9"	"TPP"	6	6	17.4922087455657	5	1.12e-05	0.000403	"***"
"16"	"AICc"	"37.71"	"41.2"	6	6	-9.84324189641972	5	0.000184	0.007	"**"
"17"	"AICc"	"37.71"	"47.8"	6	6	9.2586637989407	5	0.000247	0.009	"**"
"18"	"AICc"	"37.71"	"56.0"	6	6	37.7499871662718	5	2.46e-07	8.86e-06	"****"
"19"	"AICc"	"37.71"	"HPP"	6	6	-32.0760228970152	5	5.53e-07	1.99e-05	"****"
"20"	"AICc"	"37.71"	"NHPP"	6	6	-41.280614125216	5	1.57e-07	5.65e-06	"****"
"21"	"AICc"	"37.71"	"TPP"	6	6	37.2087927496652	5	2.64e-07	9.5e-06	"****"
"22"	"AICc"	"41.2"	"47.8"	6	6	14.5775318054152	5	2.74e-05	0.000986	"***"
"23"	"AICc"	"41.2"	"56.0"	6	6	27.7703496004444	5	1.13e-06	4.07e-05	"****"
"24"	"AICc"	"41.2"	"HPP"	6	6	-29.0432786131121	5	9.07e-07	3.27e-05	"****"
"25"	"AICc"	"41.2"	"NHPP"	6	6	-46.1602912568022	5	9.01e-08	3.24e-06	"****"
"26"	"AICc"	"41.2"	"TPP"	6	6	25.7073840466222	5	1.66e-06	5.98e-05	"****"
"27"	"AICc"	"47.8"	"56.0"	6	6	30.9299910833289	5	6.63e-07	2.39e-05	"****"
"28"	"AICc"	"47.8"	"HPP"	6	6	-41.8002153682717	5	1.48e-07	5.33e-06	"****"
"29"	"AICc"	"47.8"	"NHPP"	6	6	-45.6650734009674	5	9.51e-08	3.42e-06	"****"
"30"	"AICc"	"47.8"	"TPP"	6	6	32.2787582320792	5	5.36e-07	1.93e-05	"****"
"31"	"AICc"	"56.0"	"HPP"	6	6	-57.8824199692311	5	2.91e-08	1.05e-06	"****"
"32"	"AICc"	"56.0"	"NHPP"	6	6	-57.8124473083062	5	2.93e-08	1.05e-06	"****"
"33"	"AICc"	"56.0"	"TPP"	6	6	0.709214060604969	5	0.51	1	"ns"
"34"	"AICc"	"HPP"	"NHPP"	6	6	-37.7821317937583	5	2.45e-07	8.82e-06	"****"
"35"	"AICc"	"HPP"	"TPP"	6	6	49.9478533197124	5	6.08e-08	2.19e-06	"****"
"36"	"AICc"	"NHPP"	"TPP"	6	6	52.4454307574349	5	4.77e-08	1.72e-06	"****"
