Age	Diversity
23	1.17578665746562
23.5	0.990970381614708
24	1.17578665746562
24.5	1.33588179763435
25	1.33588179763435
25.5	1.47709571918709
26	1.47709571918709
26.5	1.33588179763435
27	1.33588179763435
27.5	0.772379122907584
28	0.772379122907584
28.5	0.504845044042323
29	0.772379122907584
29.5	0.504845044042323
30	0.504845044042323
30.5	0.772379122907584
31	0.990970381614708
31.5	0.990970381614708
32	0.990970381614708
32.5	0.772379122907584
33	0.15993362802268
33.5	-0.326191709549703
34	-0.326191709549703
34.5	-0.326191709549703
35	-0.326191709549703
35.5	-0.326191709549703
36	-0.326191709549703
36.5	-0.326191709549703
37	-0.326191709549703
37.5	-0.326191709549703
38	-0.326191709549703
38.5	-0.326191709549703
39	0.15993362802268
39.5	0.15993362802268
40	0.15993362802268
40.5	0.504845044042323
41	0.15993362802268
41.5	0.15993362802268
42	0.15993362802268
42.5	-0.326191709549703
43	-0.326191709549703
43.5	-0.326191709549703
44	-0.326191709549703
44.5	-0.326191709549703
45	-0.326191709549703
45.5	-1.15722846314173
46	-1.15722846314173
46.5	-1.15722846314173
47	-1.15722846314173
47.5	-1.15722846314173
48	-1.15722846314173
48.5	-1.15722846314173
49	-1.15722846314173
49.5	-1.15722846314173
50	-1.15722846314173
50.5	-1.15722846314173
51	-0.326191709549703
51.5	-0.326191709549703
