Age	d13C_atmospheric
23	0.56418204360254
23.5	0.459710190796196
24	-0.39347660712228
24.5	-0.0626490732355236
25	-0.30641672978366
25.5	-0.30641672978366
26	-0.201944876977316
26.5	-0.672068214605864
27	-0.410888582590004
27.5	0.250766485183508
28	-0.811364018347656
28.5	-1.08995562583124
29	-0.0104131468323516
29.5	0.111470681441716
30	-1.08995562583124
30.5	0.00699882863537242
31	0.686065871876608
31.5	0.442298215328472
32	0.459710190796196
32.5	0.30300241158668
33	0.599005994537988
33.5	1.46960476792419
34	0.99948143029564
34.5	0.3900622889253
35	0.00699882863537242
35.5	0.65124192094116
36	0.663430303768567
36.5	1.13007124630357
37	0.96988107200051
37.5	0.329120374788266
38	-0.156499621006556
38.5	-0.275771652960465
39	0.208803624306294
39.5	-0.00745311100283865
40	0.959259766965198
40.5	0.431851030047838
41	-0.130555777559647
41.5	-0.875091848559525
42	-0.452677323712541
42.5	-0.487501274647989
43	-0.104437814358061
43.5	-0.800916833067021
44	-0.389994212028735
44.5	-0.398700199762597
45	-0.417853372777093
45.5	-0.367358643920694
46	-0.527026458959723
46.5	-0.335842968324113
47	-0.0917270722666228
47.5	0.0202319299908426
48	-0.151450148120916
48.5	-0.107571969942252
49	0.45570543643862
49.5	-0.523021704602146
50	-0.142744160387054
50.5	-1.07776724300383
51	0.417921449673659
51.5	-1.33372328237938
52	-0.69818617780745
52.5	-1.05513167489579
53	-1.02030772396034
53.5	-1.03771969942807
54	-1.2776567213733
54.5	-1.14045035468764
55	0.402250671752707
55.5	0.319892027790373
56	0.467197340247318
