Age	d13C_organic
23	0.673656887740945
23.5	0.960103136817572
24	0.668700478896543
24.5	0.171643477643398
25	0.0147849386914698
25.5	0.304744574537867
26	-0.0733340027937341
26.5	-0.621617956930038
27	0.0833447521949903
27.5	0.38359533951348
28	-0.125299272989548
28.5	-0.292134778511563
29	-0.210314696000711
29.5	-0.0837990050685783
30	-0.351056344717841
30.5	-0.31050798638899
31	-0.706531527320941
31.5	-1.03174313777585
32	-0.817106629414199
32.5	-0.636100513269702
33	-0.734525653442292
33.5	-0.832950793614881
34	-0.646923849241287
34.5	-0.00636240571132177
35	-0.0763605352747037
35.5	0.432444990646605
36	-0.17884543349659
36.5	-1.14725146924942
37	-1.24942974388791
37.5	-1.13230382708255
38	-1.01278758544443
38.5	-0.893271343806303
39	-0.773755102168175
39.5	-0.654238860530116
40	-0.20172116662462
40.5	0.678175966393185
41	1.49695527059135
41.5	2.29935898870555
42	-0.305476820246746
42.5	-1.09743320599285
43	-1.1158319964001
43.5	-1.14779199290142
44	-1.24399233334129
44.5	-1.34019267378123
45	-1.43446900741234
45.5	-1.54351000198923
46	-1.65255099656613
46.5	-0.9414851668885
47	-0.244930884755312
47.5	-1.00263476556652
48	-0.980495560036716
48.5	-0.714137588692251
49	-0.502664144664335
49.5	-0.841902794459095
50	-0.42997014827974
50.5	-0.4560245273392
51	-0.629682622168385
51.5	-1.38160064640536
52	-0.872504219053986
52.5	-0.353018068695466
53	0.166468081663057
53.5	0.442829847272984
54	-0.980682242102415
54.5	-1.61289972581089
55	-0.497707735819931
55.5	-0.432613566330089
56	-0.626023653680641
