Age	Sea_level
23	-1.77106163225949
23.5	-0.459150852539513
24	0.542226016972917
24.5	-0.285749269753987
25	-0.0460267628751923
25.5	-1.09369011066105
26	-0.00768497863377124
26.5	0.339118186937281
27	-0.0353186970059666
27.5	-1.59869631391292
28	-1.25120230538256
28.5	-0.676420963240899
29	-0.913380098282475
29.5	-1.16139272067293
30	-0.982464394212963
30.5	-0.766230547950534
31	-2.15309778875509
31.5	-0.769339341267406
32	-0.741014779935906
32.5	-0.603191609554582
33	-1.1216692505129
33.5	-1.35206537744108
34	1.00198200639032
34.5	0.578149850856771
35	0.945332883727317
35.5	0.827198737686182
36	0.768131664665614
36.5	0.198186223239084
37	0.578149850856771
37.5	0.0182216323401619
38	0.275906056160884
38.5	-0.219082924181066
39	0.527372893347862
39.5	0.768131664665614
40	0.340845294335543
40.5	0.578149850856771
41	0.277633163559146
41.5	0.34464493061172
42	0.577804429377119
42.5	0.928752652704
43	0.677976658476327
43.5	0.555697454679362
44	0.808200556305297
44.5	0.677976658476327
45	0.3418815587745
45.5	0.345681195050677
46	0.636871502397686
46.5	0.75051516920334
47	0.126338555471376
47.5	0.439290416036489
48	1.37296467553704
48.5	1.5795267203692
49	1.63410331415429
49.5	1.95465444727175
50	1.72494916330288
50.5	1.42512331896456
51	1.60094285210765
51.5	0.413383805062556
52	0.588857916725997
52.5	1.25863016577208
53	1.89006063057675
53.5	1.12253410278902
54	0.531863372583343
54.5	0.363297690512952
55	0.171934190785499
55.5	0.0786703912793393
56	-0.516490818161819
