clade	species	ts	te
0	1	100.0	75.54
0	2	91.75	82.11
0	3	91.54	84.89
0	4	87.31	83.45
0	5	85.39	80.0
0	6	80.51	68.79
0	7	78.75	76.9
0	8	78.12	74.12
0	9	77.79	74.74
0	10	76.58	56.8
0	11	75.75	70.16
0	12	75.67	48.81
0	13	75.35	66.47
0	14	74.18	70.75
0	15	73.01	34.27
0	16	71.74	54.26
0	17	71.29	67.09
0	18	71.06	59.41
0	19	70.28	60.44
0	20	70.02	58.99
0	21	69.69	65.85
0	22	68.91	68.2
0	23	68.83	67.52
0	24	67.72	65.61
0	25	67.4	66.62
0	26	67.24	57.49
0	27	67.15	44.06
0	28	66.64	55.61
0	29	65.96	61.44
0	30	65.85	59.24
0	31	63.68	62.73
0	32	63.46	44.07
0	33	63.12	61.88
0	34	62.88	35.43
0	35	62.84	51.98
0	36	62.48	51.7
0	37	61.85	13.83
0	38	61.44	55.32
0	39	60.86	33.45
0	40	59.63	46.36
0	41	59.46	58.71
0	42	58.13	44.15
0	43	57.76	43.89
0	44	57.63	40.75
0	45	56.74	48.01
0	46	56.7	51.39
0	47	56.69	56.38
0	48	56.35	41.0
0	49	55.78	39.27
0	50	55.49	53.84
0	51	54.98	0.0
0	52	54.36	42.34
0	53	54.33	42.01
0	54	53.7	53.42
0	55	53.34	51.59
0	56	53.11	18.07
0	57	52.86	17.87
0	58	52.19	45.47
0	59	52.08	38.92
0	60	51.46	33.09
0	61	51.23	49.56
0	62	50.88	46.63
0	63	50.81	21.51
0	64	50.36	49.57
0	65	49.75	20.86
0	66	49.49	37.49
0	67	49.17	36.51
0	68	48.83	42.35
0	69	48.71	47.34
0	70	48.38	44.21
0	71	48.35	48.0
0	72	47.74	38.14
0	73	47.6	14.81
0	74	47.46	32.67
0	75	47.43	36.11
0	76	47.26	37.87
0	77	47.11	45.38
0	78	47.02	34.01
0	79	47.02	43.69
0	80	46.8	30.59
0	81	46.78	45.94
0	82	46.75	39.71
0	83	46.38	40.34
0	84	46.3	34.62
0	85	46.29	22.75
0	86	46.21	0.0
0	87	46.12	40.78
0	88	45.93	40.77
0	89	45.76	45.4
0	90	45.4	14.4
0	91	44.58	34.28
0	92	44.46	6.79
0	93	44.3	12.37
0	94	43.93	42.38
0	95	43.76	33.84
0	96	43.62	42.44
0	97	43.51	41.37
0	98	43.07	14.07
0	99	43.03	39.48
0	100	42.92	34.48
0	101	42.86	12.61
0	102	42.84	42.61
0	103	42.77	41.23
0	104	42.76	33.88
0	105	42.57	24.63
0	106	42.14	28.8
0	107	42.06	39.15
0	108	42.06	25.18
0	109	41.91	22.28
0	110	41.85	38.53
0	111	41.85	40.33
0	112	41.83	33.44
0	113	41.81	33.24
0	114	41.6	36.03
0	115	41.53	28.2
0	116	41.4	40.86
0	117	41.34	28.74
0	118	41.15	22.71
0	119	40.8	36.28
0	120	40.64	32.63
0	121	40.63	26.51
0	122	40.37	38.53
0	123	40.23	40.06
0	124	40.09	30.53
0	125	39.74	21.35
0	126	39.63	38.61
0	127	39.58	31.74
0	128	39.54	38.11
0	129	39.51	28.59
0	130	39.27	36.58
0	131	39.24	31.52
0	132	39.13	34.15
0	133	39.1	25.08
0	134	39.03	25.97
0	135	38.94	35.49
0	136	38.7	30.11
0	137	38.55	31.45
0	138	38.32	34.25
0	139	38.12	1.8
0	140	38.08	33.56
0	141	37.89	32.0
0	142	37.86	30.8
0	143	37.85	35.99
0	144	37.81	30.1
0	145	37.64	33.9
0	146	37.57	16.93
0	147	37.54	33.33
0	148	37.54	34.78
0	149	37.53	36.6
0	150	37.51	26.11
0	151	37.16	23.62
0	152	37.14	8.27
0	153	36.98	33.86
0	154	36.95	18.52
0	155	36.65	19.99
0	156	36.64	28.84
0	157	36.58	17.78
0	158	36.5	20.46
0	159	36.49	9.37
0	160	36.43	36.03
0	161	36.4	31.38
0	162	36.34	27.82
0	163	36.13	30.66
0	164	36.1	34.14
0	165	36.04	35.17
0	166	35.96	33.89
0	167	35.84	14.72
0	168	35.76	19.51
0	169	35.68	22.96
0	170	35.63	25.13
0	171	35.57	29.25
0	172	35.54	25.78
0	173	35.33	28.17
0	174	35.26	34.16
0	175	35.21	15.81
0	176	35.03	29.6
0	177	35.02	34.46
0	178	35.0	19.38
0	179	34.74	24.9
0	180	34.72	24.95
0	181	34.65	33.56
0	182	34.62	31.68
0	183	34.62	12.59
0	184	34.46	26.47
0	185	34.31	31.16
0	186	34.28	33.7
0	187	34.27	26.44
0	188	34.26	33.0
0	189	33.94	18.58
0	190	33.89	2.22
0	191	33.89	0.0
0	192	33.83	2.97
0	193	33.83	29.64
0	194	33.79	26.05
0	195	33.77	14.67
0	196	33.58	33.51
0	197	33.55	32.17
0	198	33.53	12.29
0	199	33.49	32.96
0	200	33.42	33.4
0	201	33.41	32.67
0	202	33.24	19.55
0	203	33.16	32.27
0	204	33.09	8.39
0	205	32.91	14.93
0	206	32.78	32.31
0	207	32.72	32.13
0	208	32.45	27.22
0	209	32.42	32.32
0	210	32.37	20.0
0	211	32.36	27.15
0	212	32.3	29.49
0	213	32.29	31.83
0	214	32.29	27.11
0	215	32.15	25.37
0	216	31.97	25.9
0	217	31.93	29.21
0	218	31.83	17.15
0	219	31.82	17.16
0	220	31.77	28.1
0	221	31.54	22.4
0	222	31.54	23.99
0	223	31.5	30.12
0	224	31.31	14.52
0	225	31.27	15.3
0	226	31.24	24.53
0	227	31.21	29.7
0	228	31.17	19.95
0	229	31.13	10.66
0	230	31.08	9.04
0	231	31.07	27.0
0	232	30.83	14.05
0	233	30.8	26.94
0	234	30.7	19.24
0	235	30.67	29.93
0	236	30.64	14.85
0	237	30.53	20.67
0	238	30.39	5.03
0	239	30.39	19.51
0	240	30.37	23.95
0	241	30.33	15.4
0	242	30.32	29.11
0	243	30.29	28.44
0	244	30.23	11.05
0	245	30.22	28.25
0	246	30.22	23.85
0	247	30.13	21.98
0	248	30.08	29.99
0	249	29.98	25.08
0	250	29.93	27.38
0	251	29.89	3.99
0	252	29.88	0.0
0	253	29.86	18.78
0	254	29.78	7.95
0	255	29.76	0.0
0	256	29.69	29.47
0	257	29.59	27.5
0	258	29.54	28.28
0	259	29.52	25.8
0	260	29.46	19.69
0	261	29.45	26.86
0	262	29.42	28.29
0	263	29.4	21.71
0	264	29.4	24.79
0	265	29.37	19.26
0	266	29.31	24.87
0	267	29.31	25.52
0	268	29.24	23.94
0	269	29.24	25.92
0	270	29.22	26.72
0	271	29.12	0.0
0	272	29.06	23.07
0	273	29.03	1.21
0	274	28.94	16.77
0	275	28.84	23.75
0	276	28.82	27.97
0	277	28.78	23.7
0	278	28.71	25.29
0	279	28.63	19.82
0	280	28.56	26.03
0	281	28.54	13.92
0	282	28.51	18.81
0	283	28.48	21.22
0	284	28.45	28.14
0	285	28.4	2.06
0	286	28.37	23.27
0	287	28.36	26.72
0	288	28.2	28.1
0	289	28.2	0.0
0	290	28.18	24.05
0	291	28.17	17.88
0	292	27.96	12.78
0	293	27.94	12.04
0	294	27.86	0.0
0	295	27.84	21.59
0	296	27.83	16.76
0	297	27.69	15.9
0	298	27.66	25.29
0	299	27.66	23.95
0	300	27.64	8.98
0	301	27.62	25.49
0	302	27.61	23.87
0	303	27.58	2.73
0	304	27.5	26.54
0	305	27.48	23.46
0	306	27.45	23.82
0	307	27.25	21.86
0	308	27.13	0.0
0	309	27.11	23.67
0	310	27.11	19.95
0	311	27.04	25.71
0	312	27.02	17.97
0	313	27.0	19.33
0	314	26.99	21.48
0	315	26.95	0.0
0	316	26.9	24.22
0	317	26.67	26.24
0	318	26.6	7.94
0	319	26.58	16.96
0	320	26.52	2.7
0	321	26.5	22.23
0	322	26.42	21.51
0	323	26.42	6.92
0	324	26.4	1.06
0	325	26.38	0.0
0	326	26.32	20.17
0	327	26.27	5.77
0	328	26.27	20.17
0	329	26.26	18.56
0	330	26.25	25.51
0	331	26.21	21.45
0	332	26.21	22.44
0	333	26.2	17.8
0	334	26.17	15.3
0	335	26.16	24.24
0	336	26.12	0.0
0	337	26.1	23.66
0	338	26.06	9.56
0	339	26.03	21.2
0	340	25.9	18.06
0	341	25.88	24.8
0	342	25.78	21.11
0	343	25.72	23.76
0	344	25.7	0.0
0	345	25.62	23.39
0	346	25.51	0.0
0	347	25.45	0.0
0	348	25.43	0.2
0	349	25.37	17.54
0	350	25.36	22.81
0	351	25.36	16.46
0	352	25.08	9.36
0	353	25.02	20.21
0	354	24.98	23.86
0	355	24.95	22.7
0	356	24.95	10.5
0	357	24.94	22.16
0	358	24.9	19.77
0	359	24.89	22.6
0	360	24.85	15.0
0	361	24.83	15.58
0	362	24.79	23.04
0	363	24.75	23.09
0	364	24.75	17.63
0	365	24.73	14.94
0	366	24.68	13.01
0	367	24.67	21.88
0	368	24.67	22.96
0	369	24.53	24.51
0	370	24.51	11.95
0	371	24.42	18.54
0	372	24.38	0.0
0	373	24.37	20.05
0	374	24.35	17.53
0	375	24.29	19.0
0	376	24.27	16.18
0	377	24.25	22.85
0	378	24.21	20.45
0	379	24.19	1.39
0	380	24.1	11.06
0	381	23.97	10.67
0	382	23.96	15.56
0	383	23.95	21.81
0	384	23.95	10.2
0	385	23.92	1.3
0	386	23.86	8.24
0	387	23.77	21.33
0	388	23.7	21.66
0	389	23.68	23.23
0	390	23.64	0.0
0	391	23.52	22.25
0	392	23.48	19.2
0	393	23.45	7.14
0	394	23.38	21.62
0	395	23.36	21.99
0	396	23.35	11.13
0	397	23.34	15.38
0	398	23.31	22.34
0	399	23.3	19.84
0	400	23.27	3.92
0	401	23.26	20.1
0	402	23.25	21.7
0	403	23.22	22.46
0	404	23.21	18.7
0	405	23.12	10.88
0	406	23.12	13.73
0	407	23.08	19.71
0	408	23.07	6.33
0	409	23.07	21.47
0	410	23.06	9.23
0	411	23.03	0.0
0	412	22.99	22.53
0	413	22.94	0.0
0	414	22.92	15.89
0	415	22.88	22.69
0	416	22.86	14.7
0	417	22.82	21.94
0	418	22.71	3.59
0	419	22.59	18.18
0	420	22.57	20.96
0	421	22.55	0.0
0	422	22.55	22.39
0	423	22.54	14.65
0	424	22.47	6.84
0	425	22.38	21.86
0	426	22.33	11.03
0	427	22.31	12.84
0	428	22.26	15.63
0	429	22.25	0.0
0	430	22.25	0.0
0	431	22.24	20.2
0	432	22.23	20.19
0	433	22.19	20.6
0	434	22.18	5.53
0	435	22.16	6.11
0	436	22.15	17.21
0	437	22.04	20.53
0	438	22.04	11.11
0	439	21.98	11.43
0	440	21.86	9.27
0	441	21.83	20.6
0	442	21.81	17.62
0	443	21.8	21.12
0	444	21.78	0.0
0	445	21.76	0.0
0	446	21.73	8.43
0	447	21.64	5.41
0	448	21.62	16.63
0	449	21.6	7.87
0	450	21.6	21.53
0	451	21.59	0.5
0	452	21.58	18.79
0	453	21.55	21.3
0	454	21.51	16.53
0	455	21.44	20.13
