clade	species	ts	te
0	1	100.0	72.37
0	2	88.89	86.17
0	3	87.68	83.77
0	4	87.63	75.67
0	5	87.51	86.05
0	6	85.8	70.3
0	7	83.5	79.87
0	8	80.9	73.04
0	9	78.61	73.66
0	10	77.12	64.59
0	11	76.99	71.96
0	12	76.48	59.04
0	13	74.96	63.47
0	14	74.6	68.74
0	15	73.09	63.7
0	16	71.9	54.64
0	17	71.83	64.02
0	18	69.67	69.57
0	19	69.66	24.35
0	20	69.36	53.09
0	21	68.89	54.08
0	22	68.24	65.47
0	23	68.07	55.97
0	24	67.68	67.63
0	25	66.3	52.8
0	26	66.18	64.54
0	27	65.58	61.56
0	28	65.13	46.74
0	29	64.88	63.37
0	30	64.55	59.28
0	31	64.27	37.28
0	32	63.4	61.49
0	33	63.22	42.48
0	34	62.79	61.17
0	35	62.58	54.23
0	36	62.54	56.91
0	37	62.29	50.56
0	38	61.05	50.69
0	39	60.57	52.95
0	40	60.11	53.25
0	41	60.03	56.62
0	42	59.6	42.93
0	43	58.76	58.0
0	44	58.19	53.69
0	45	58.0	55.71
0	46	57.95	35.63
0	47	57.72	50.3
0	48	57.53	25.15
0	49	56.98	49.44
0	50	56.47	44.85
0	51	56.27	48.48
0	52	55.21	42.9
0	53	55.09	45.26
0	54	55.01	48.05
0	55	54.83	38.07
0	56	54.69	39.42
0	57	54.66	51.9
0	58	54.48	48.15
0	59	54.17	52.81
0	60	54.07	45.5
0	61	53.67	28.93
0	62	53.61	45.84
0	63	53.56	50.78
0	64	53.37	44.2
0	65	52.9	52.55
0	66	52.5	37.28
0	67	52.46	52.04
0	68	51.69	32.22
0	69	51.13	49.65
0	70	50.93	41.61
0	71	50.87	49.02
0	72	50.81	44.4
0	73	50.69	35.19
0	74	50.67	47.17
0	75	50.61	40.97
0	76	50.37	48.6
0	77	50.26	47.66
0	78	50.18	42.6
0	79	49.92	39.73
0	80	49.64	49.44
0	81	49.28	42.6
0	82	49.26	39.51
0	83	48.8	43.25
0	84	48.42	43.92
0	85	48.03	41.85
0	86	47.88	16.01
0	87	47.88	31.64
0	88	47.78	41.13
0	89	47.65	45.19
0	90	47.49	38.26
0	91	47.37	33.5
0	92	47.19	46.2
0	93	46.8	45.91
0	94	46.8	45.89
0	95	46.56	42.59
0	96	46.45	13.38
0	97	46.08	36.92
0	98	45.93	7.68
0	99	45.77	43.59
0	100	45.7	36.76
0	101	45.67	37.08
0	102	45.53	19.17
0	103	45.49	35.0
0	104	45.13	35.11
0	105	45.06	14.9
0	106	45.01	39.13
0	107	44.94	34.67
0	108	44.83	25.98
0	109	44.82	31.3
0	110	44.79	31.3
0	111	44.78	43.33
0	112	44.36	44.14
0	113	44.24	42.2
0	114	42.82	37.38
0	115	42.47	41.34
0	116	42.42	36.78
0	117	42.37	35.13
0	118	42.36	41.38
0	119	42.27	28.49
0	120	42.21	14.46
0	121	41.93	38.96
0	122	41.38	24.94
0	123	41.21	37.92
0	124	41.17	36.41
0	125	41.06	0.0
0	126	41.04	40.21
0	127	40.97	23.08
0	128	40.93	21.5
0	129	40.92	37.26
0	130	40.8	30.62
0	131	40.58	39.08
0	132	40.38	38.25
0	133	40.31	30.93
0	134	40.2	26.08
0	135	39.94	38.41
0	136	39.82	17.82
0	137	39.74	27.68
0	138	39.71	38.7
0	139	39.62	31.99
0	140	39.55	25.71
0	141	39.53	31.9
0	142	39.38	38.21
0	143	39.3	35.3
0	144	39.21	32.19
0	145	39.1	30.59
0	146	39.09	35.94
0	147	39.02	25.09
0	148	38.9	34.33
0	149	38.79	15.2
0	150	38.78	36.8
0	151	38.7	16.74
0	152	38.62	35.4
0	153	38.56	24.09
0	154	38.49	32.0
0	155	38.49	31.18
0	156	38.45	27.96
0	157	38.4	35.51
0	158	38.23	12.48
0	159	38.12	37.77
0	160	38.1	36.2
0	161	38.08	26.21
0	162	38.06	13.14
0	163	37.98	32.74
0	164	37.81	31.38
0	165	37.74	27.97
0	166	37.7	5.03
0	167	37.62	36.52
0	168	37.59	0.0
0	169	37.55	32.42
0	170	37.51	33.63
0	171	37.5	32.03
0	172	37.41	36.37
0	173	37.4	33.45
0	174	37.38	24.86
0	175	37.36	29.84
0	176	37.36	34.01
0	177	37.27	30.3
0	178	37.21	37.04
0	179	37.01	20.19
0	180	36.99	25.11
0	181	36.94	30.76
0	182	36.87	28.12
0	183	36.85	11.23
0	184	36.81	12.23
0	185	36.73	28.54
0	186	36.65	36.55
0	187	36.61	27.25
0	188	36.61	4.0
0	189	36.41	0.0
0	190	36.37	10.12
0	191	36.33	35.2
0	192	36.31	25.38
0	193	36.29	14.04
0	194	36.28	31.34
0	195	36.13	28.35
0	196	36.12	21.21
0	197	36.11	28.48
0	198	35.86	33.3
0	199	35.82	23.42
0	200	35.82	25.97
0	201	35.65	21.14
0	202	35.51	34.94
0	203	35.5	31.25
0	204	35.32	24.67
0	205	35.17	28.01
0	206	35.12	15.2
0	207	35.1	21.52
0	208	35.06	34.81
0	209	34.99	20.16
0	210	34.83	31.84
0	211	34.68	31.12
0	212	34.57	32.02
0	213	34.55	20.31
0	214	34.3	11.6
0	215	34.25	33.67
0	216	34.24	31.43
0	217	34.02	28.16
0	218	34.0	28.4
0	219	33.97	0.09
0	220	33.82	25.98
0	221	33.77	25.54
0	222	33.72	20.66
0	223	33.68	18.88
0	224	33.59	26.46
0	225	33.58	28.27
0	226	33.55	25.17
0	227	33.45	12.85
0	228	33.26	29.7
0	229	33.22	8.43
0	230	33.22	33.02
0	231	33.2	32.86
0	232	33.2	10.45
0	233	32.95	31.09
0	234	32.93	25.38
0	235	32.87	31.27
0	236	32.84	26.16
0	237	32.66	30.71
0	238	32.64	32.62
0	239	32.55	27.0
0	240	32.42	24.42
0	241	32.38	16.82
0	242	32.3	15.89
0	243	32.29	26.1
0	244	32.17	0.0
0	245	32.16	26.1
0	246	32.15	21.02
0	247	32.11	30.1
0	248	32.11	31.89
0	249	32.1	18.21
0	250	32.06	5.69
0	251	31.98	31.45
0	252	31.98	6.56
0	253	31.9	30.75
0	254	31.84	13.71
0	255	31.83	27.9
0	256	31.82	9.21
0	257	31.69	29.89
0	258	31.64	23.62
0	259	31.55	30.68
0	260	31.52	22.46
0	261	31.48	26.22
0	262	31.45	24.2
0	263	31.45	21.52
0	264	31.45	8.09
0	265	31.41	27.69
0	266	31.39	17.89
0	267	31.36	0.0
0	268	31.32	30.69
0	269	31.29	26.8
0	270	31.22	10.36
0	271	31.19	30.7
0	272	31.18	30.61
0	273	31.16	11.9
0	274	30.98	20.59
0	275	30.96	29.66
0	276	30.96	29.89
0	277	30.92	29.8
0	278	30.9	25.04
0	279	30.87	29.82
0	280	30.86	0.0
0	281	30.84	30.05
0	282	30.82	30.59
0	283	30.79	25.36
0	284	30.74	21.45
0	285	30.71	9.39
0	286	30.67	23.97
0	287	30.67	24.61
0	288	30.66	7.84
0	289	30.61	28.1
0	290	30.6	28.74
0	291	30.56	18.83
0	292	30.54	29.5
0	293	30.43	24.16
0	294	30.42	19.92
0	295	30.37	19.55
0	296	30.36	18.86
0	297	30.32	18.5
0	298	30.31	26.82
0	299	30.27	20.96
0	300	30.24	22.74
0	301	30.18	15.39
0	302	30.15	23.53
0	303	30.07	21.96
0	304	30.07	0.0
0	305	30.06	14.81
0	306	29.97	25.21
0	307	29.84	26.65
0	308	29.74	22.07
0	309	29.73	25.35
0	310	29.73	23.97
0	311	29.7	28.9
0	312	29.61	27.17
0	313	29.57	13.49
0	314	29.48	23.8
0	315	29.37	28.66
0	316	29.34	13.95
0	317	29.34	27.56
0	318	29.33	12.7
0	319	29.25	12.52
