clade	species	ts	te
0	266	29.8	15.14
0	267	29.78	20.38
0	268	29.63	27.69
0	269	29.59	18.04
0	270	29.59	28.7
0	271	29.57	12.05
0	272	29.52	9.39
0	273	29.42	29.02
0	274	29.42	22.45
0	275	29.39	16.48
0	276	29.33	11.0
0	277	29.28	24.69
0	278	29.25	19.51
0	279	29.22	28.94
0	280	29.1	1.14
0	281	29.01	14.07
0	282	29.0	23.06
0	283	28.96	25.58
0	284	28.79	17.53
0	285	28.71	0.0
0	286	28.65	26.22
0	287	28.59	27.09
0	288	28.54	3.93
0	289	28.42	23.39
0	290	28.39	26.71
0	291	28.35	24.18
0	292	28.34	3.56
0	293	28.19	24.06
0	294	28.08	16.82
0	295	28.05	16.01
0	296	28.04	12.14
0	297	28.03	24.74
0	298	27.99	23.84
0	299	27.95	27.1
0	300	27.89	25.16
0	301	27.88	22.09
0	302	27.84	23.45
0	303	27.8	22.89
0	304	27.76	25.75
0	305	27.76	27.26
0	306	27.73	9.94
0	307	27.62	17.69
0	308	27.55	10.57
0	309	27.36	26.39
0	310	27.36	25.13
0	311	27.26	23.92
0	312	27.26	12.43
0	313	27.21	0.0
0	314	26.84	13.09
0	315	26.7	24.85
0	316	26.69	24.78
0	317	26.59	21.02
0	318	26.57	24.73
0	319	26.5	25.1
0	320	26.33	6.8
0	321	26.31	26.12
0	322	26.03	15.46
0	323	25.99	17.84
0	324	25.97	22.12
0	325	25.96	8.51
0	326	25.92	25.18
0	327	25.9	25.03
0	328	25.83	25.31
0	329	25.74	23.14
0	330	25.73	23.83
0	331	25.7	1.41
0	332	25.45	20.75
0	333	25.39	6.63
0	334	25.38	16.01
0	335	25.34	23.92
0	336	25.27	24.83
0	337	25.22	7.62
0	338	25.22	17.14
0	339	25.21	22.31
0	340	25.19	23.29
0	341	25.18	22.19
0	342	25.06	19.3
0	343	25.05	7.57
0	344	25.04	23.27
0	345	25.03	12.72
0	346	24.98	22.32
0	347	24.91	13.81
0	348	24.91	19.3
0	349	24.8	0.0
0	350	24.77	13.95
0	351	24.77	12.8
0	352	24.74	19.81
0	353	24.72	23.69
0	354	24.7	13.4
0	355	24.67	18.98
0	356	24.61	21.58
0	357	24.54	0.0
0	358	24.43	21.2
0	359	24.42	0.0
0	360	24.38	10.24
0	361	24.35	6.68
0	362	24.35	18.25
0	363	24.34	19.7
0	364	24.32	22.59
0	365	24.27	16.8
0	366	24.17	9.88
0	367	24.13	14.81
0	368	24.11	0.0
0	369	24.1	21.29
0	370	23.98	15.27
0	371	23.83	14.41
0	372	23.62	6.16
0	373	23.55	11.11
0	374	23.54	14.27
0	375	23.53	12.64
0	376	23.5	21.67
0	377	23.45	10.88
0	378	23.44	14.04
