Age	Diversity
11.5	0
12	0.613147192765458
12.5	0.613147192765458
13	0.773705614469083
13.5	0.773705614469083
14	0.773705614469083
14.5	0.773705614469083
15	0.773705614469083
15.5	0.773705614469083
16	0.773705614469083
16.5	0.773705614469083
17	0.898244401703927
17.5	0.898244401703927
18	0.898244401703927
18.5	1
19	0.898244401703927
19.5	0.773705614469083
20	0.773705614469083
20.5	0.773705614469083
21	0.613147192765458
21.5	0.613147192765458
22	0.613147192765458
22.5	0.613147192765458
23	0.613147192765458
23.5	0.613147192765458
24	0.386852807234542
24.5	0.386852807234542
25	0.613147192765458
25.5	0.773705614469083
26	0.773705614469083
26.5	0.613147192765458
27	0.613147192765458
27.5	0
28	0
28.5	0
29	0
29.5	0
30	0
30.5	0
31	0
31.5	0
32	0
32.5	0
33	0
33.5	0
34	0
34.5	0
35	0
35.5	0.386852807234542
36	0.386852807234542
36.5	0.613147192765458
37	0.613147192765458
37.5	0.613147192765458
38	0.613147192765458
38.5	0.613147192765458
39	0.773705614469083
39.5	0.773705614469083
40	0.773705614469083
40.5	0.773705614469083
41	0.898244401703927
41.5	0.898244401703927
42	0.898244401703927
42.5	0.898244401703927
43	0.773705614469083
43.5	0.773705614469083
44	0.773705614469083
44.5	0.773705614469083
45	0.613147192765458
45.5	0.613147192765458
46	0.613147192765458
46.5	0.613147192765458
47	0.613147192765458
47.5	0.613147192765458
48	0.613147192765458
48.5	0.613147192765458
49	0.613147192765458
49.5	0.613147192765458
50	0.613147192765458
50.5	0.613147192765458
51	0.386852807234542
51.5	0.386852807234542
52	0.386852807234542
52.5	0.386852807234542
53	0.386852807234542
53.5	0.386852807234542
54	0.386852807234542
54.5	0.386852807234542
55	0
55.5	0
56	0
56.5	0
57	0
57.5	0
