Age	Altitude
0	1922.33333333333
0.5	1902.5
1	1882.66666666667
1.5	1864.5
2	1846.33333333333
2.5	1828
3	1809.66666666667
3.5	1788.16666666667
4	1766.66666666667
4.5	1746
5	1725.33333333333
5.5	1705.5
6	1685.66666666667
6.5	1659.5
7	1633.33333333333
7.5	1601.83333333333
8	1570.33333333333
8.5	1540.16666666667
9	1510
9.5	1474.16666666667
10	1438.33333333333
10.5	1412.33333333333
11	1386.33333333333
11.5	1360.83333333333
12	1335.33333333333
12.5	1318.83333333333
13	1302.33333333333
13.5	1286.83333333333
14	1271.33333333333
14.5	1257
15	1242.66666666667
15.5	1226.83333333333
16	1211
16.5	1193.16666666667
17	1175.33333333333
17.5	1161.83333333333
18	1148.33333333333
18.5	1130.83333333333
19	1113.33333333333
19.5	1097.83333333333
20	1082.33333333333
20.5	1066.16666666667
21	1050
21.5	1036.33333333333
22	1022.66666666667
22.5	1012.16666666667
23	1001.66666666667
23.5	994.166666666667
24	986.666666666667
24.5	979.5
25	972.333333333333
25.5	968.5
26	964.666666666667
26.5	957.833333333333
27	951
27.5	948.333333333333
28	945.666666666667
28.5	942.833333333333
29	940
29.5	936.166666666667
30	932.333333333333
30.5	926.333333333333
31	920.333333333333
31.5	916
32	911.666666666667
32.5	903.666666666667
33	895.666666666667
33.5	890.5
34	885.333333333333
34.5	876.666666666667
35	868
35.5	857.5
36	847
36.5	840.666666666667
37	834.333333333333
37.5	828
38	821.666666666667
38.5	811
39	800.333333333333
39.5	791.666666666667
40	783
40.5	771.833333333333
41	760.666666666667
41.5	747.166666666667
42	733.666666666667
42.5	721.5
43	709.333333333333
43.5	699
44	688.666666666667
44.5	678.166666666667
45	667.666666666667
45.5	660.833333333333
46	654
46.5	647
47	640
47.5	633.833333333333
48	627.666666666667
48.5	620.666666666667
49	613.666666666667
49.5	607.666666666667
50	601.666666666667
50.5	594.166666666667
51	586.666666666667
51.5	578.833333333333
52	571
52.5	563.333333333333
53	555.666666666667
53.5	548.166666666667
54	540.666666666667
54.5	530.833333333333
55	521
55.5	512.666666666667
56	504.333333333333
56.5	494.5
57	484.666666666667
57.5	474.666666666667
58	464.666666666667
58.5	455.5
59	446.333333333333
59.5	434.833333333333
60	423.333333333333
60.5	408.833333333333
61	394.333333333333
61.5	378
62	361.666666666667
62.5	341
63	320.333333333333
63.5	309.666666666667
64	299
64.5	291.666666666667
65	284.333333333333
65.5	280
66	275.666666666667
