Species	Status	MinT	MaxT
28	extinct	38.05	60.92
28	extinct	54.83	59.36
103	extinct	42.6	43.34
93	extinct	45.74	45.84
93	extinct	45.78	45.8
93	extinct	45.78	45.83
106	extinct	42.25	43.21
88	extinct	46.62	46.85
110	extinct	41.83	42.3
81	extinct	46.94	48.32
81	extinct	47.03	49.28
71	extinct	44.08	50.34
71	extinct	48.24	49.14
71	extinct	49.56	50.87
71	extinct	47.31	48.24
71	extinct	46.98	49.33
60	extinct	50.95	51.11
82	extinct	47.69	48.87
99	extinct	42.82	44.54
99	extinct	43.06	43.35
111	extinct	37.24	39.56
108	extinct	41.75	42.42
105	extinct	39.92	41.61
100	extinct	38.67	42.86
100	extinct	39.18	40.65
100	extinct	40.92	40.96
96	extinct	41.09	42.69
73	extinct	36.24	41.05
95	extinct	37.78	39.13
97	extinct	39.94	42.73
74	extinct	27.6	30.95
128	extinct	36.3	38.0
128	extinct	32.41	34.43
134	extinct	33.8	37.26
137	extinct	36.54	37.81
137	extinct	36.58	36.75
137	extinct	35.72	36.27
137	extinct	35.54	37.74
137	extinct	36.88	37.79
124	extinct	35.14	39.25
124	extinct	34.69	36.47
124	extinct	32.26	34.2
124	extinct	37.24	37.52
172	extinct	33.62	33.89
142	extinct	34.99	36.03
142	extinct	35.33	36.26
142	extinct	35.05	35.2
142	extinct	35.23	35.33
142	extinct	35.39	36.67
142	extinct	35.31	36.19
142	extinct	35.66	35.7
148	extinct	34.15	35.45
148	extinct	33.45	35.54
145	extinct	32.23	32.57
145	extinct	32.32	35.8
146	extinct	33.05	35.93
146	extinct	34.31	34.56
146	extinct	33.59	34.4
146	extinct	33.33	35.97
138	extinct	37.09	37.38
154	extinct	33.92	34.27
165	extinct	33.37	33.82
165	extinct	33.15	34.11
86	extinct	32.33	36.97
86	extinct	40.13	43.94
86	extinct	33.09	38.06
86	extinct	39.8	41.01
112	extinct	33.37	38.32
112	extinct	35.62	41.61
87	extinct	39.0	40.05
87	extinct	46.36	47.57
87	extinct	28.29	37.87
84	extinct	26.71	38.73
84	extinct	40.76	41.82
84	extinct	28.66	41.23
107	extinct	29.51	30.5
107	extinct	35.52	39.35
107	extinct	31.02	36.08
107	extinct	27.41	31.11
119	extinct	33.55	33.81
119	extinct	35.39	37.76
231	extinct	27.94	28.49
231	extinct	27.96	28.27
181	extinct	32.1	32.56
181	extinct	31.03	31.32
186	extinct	28.57	31.97
176	extinct	31.44	32.38
175	extinct	32.11	33.38
217	extinct	29.01	29.87
223	extinct	27.61	29.33
215	extinct	29.02	29.44
194	extinct	28.9	29.73
192	extinct	30.91	31.54
228	extinct	27.96	28.46
188	extinct	30.86	31.55
184	extinct	30.95	31.91
135	extinct	30.4	31.59
116	extinct	22.48	39.96
129	extinct	32.98	34.52
117	extinct	38.42	40.1
117	extinct	38.91	39.27
147	extinct	34.19	35.93
144	extinct	33.97	34.53
151	extinct	33.73	34.97
114	extinct	24.33	29.41
114	extinct	37.98	40.58
114	extinct	28.31	33.9
161	extinct	30.11	31.2
160	extinct	32.11	35.04
158	extinct	34.03	34.13
158	extinct	33.79	35.01
251	extinct	26.72	27.56
251	extinct	27.02	27.32
251	extinct	27.06	27.57
251	extinct	26.8	27.52
251	extinct	27.04	27.24
251	extinct	26.82	27.47
251	extinct	27.11	27.64
251	extinct	27.06	27.17
250	extinct	26.66	27.51
254	extinct	24.13	26.5
249	extinct	25.55	26.46
249	extinct	25.22	26.93
260	extinct	26.17	26.21
265	extinct	24.22	25.03
324	extinct	22.93	23.24
324	extinct	22.48	23.29
324	extinct	22.53	23.22
324	extinct	22.97	23.15
304	extinct	23.33	23.51
304	extinct	23.73	23.96
302	extinct	23.7	24.77
302	extinct	23.45	24.59
300	extinct	23.85	24.54
300	extinct	23.85	24.13
300	extinct	23.87	24.96
300	extinct	23.88	24.59
298	extinct	23.9	24.95
298	extinct	23.95	24.5
298	extinct	23.85	24.14
297	extinct	24.12	24.24
297	extinct	24.11	24.76
296	extinct	24.14	24.8
296	extinct	24.22	24.87
296	extinct	24.26	25.1
296	extinct	24.2	24.97
292	extinct	23.47	24.27
292	extinct	23.45	24.59
292	extinct	23.05	23.21
288	extinct	25.19	25.75
288	extinct	25.37	25.51
288	extinct	25.09	25.51
288	extinct	24.82	25.65
284	extinct	25.88	25.94
276	extinct	25.53	26.17
276	extinct	25.64	25.91
276	extinct	25.49	26.11
273	extinct	22.34	23.33
266	extinct	25.6	26.12
266	extinct	24.29	26.66
242	extinct	24.98	27.98
201	extinct	22.93	27.91
201	extinct	28.22	29.16
201	extinct	21.13	26.38
201	extinct	25.57	28.81
132	extinct	15.33	29.26
214	extinct	25.75	30.02
214	extinct	27.72	28.59
214	extinct	20.24	29.09
214	extinct	19.75	22.56
153	extinct	30.01	35.23
174	extinct	32.58	33.7
216	extinct	20.45	21.57
220	extinct	26.8	28.52
220	extinct	28.43	28.89
230	extinct	24.91	28.68
230	extinct	27.69	28.99
224	extinct	27.61	28.52
222	extinct	21.03	24.41
222	extinct	22.89	28.74
307	extinct	18.42	23.65
235	extinct	22.21	26.4
311	extinct	22.0	22.59
311	extinct	17.97	19.42
311	extinct	18.83	21.04
311	extinct	21.19	23.84
311	extinct	17.23	22.25
316	extinct	20.6	22.71
319	extinct	18.98	21.59
321	extinct	20.97	22.91
321	extinct	21.06	21.7
321	extinct	19.11	20.92
321	extinct	20.96	21.49
321	extinct	21.65	23.14
306	extinct	20.85	22.82
306	extinct	22.79	23.87
326	extinct	21.64	22.5
329	extinct	22.26	22.57
329	extinct	22.1	22.55
332	extinct	21.12	22.27
332	extinct	21.52	22.49
332	extinct	21.67	21.75
332	extinct	21.64	22.4
332	extinct	21.68	22.48
332	extinct	21.43	21.7
332	extinct	21.54	21.73
333	extinct	21.85	22.53
333	extinct	22.0	22.46
333	extinct	22.26	22.42
333	extinct	21.91	22.54
333	extinct	21.76	22.41
333	extinct	22.31	22.6
341	extinct	19.57	20.96
344	extinct	20.95	21.62
344	extinct	20.65	21.44
350	extinct	20.12	20.49
350	extinct	19.72	21.67
350	extinct	20.43	21.5
350	extinct	20.43	21.7
350	extinct	20.47	21.69
350	extinct	20.66	21.81
353	extinct	19.82	20.43
353	extinct	19.75	20.83
243	extinct	20.96	23.58
