Species	Status	MinT	MaxT
19	extinct	42.59	42.91
19	extinct	36.33	46.18
19	extinct	39.6	42.26
57	extinct	41.62	42.45
57	extinct	41.65	42.48
41	extinct	46.54	47.27
41	extinct	46.52	47.32
41	extinct	46.73	47.3
35	extinct	48.2	48.98
35	extinct	39.87	40.54
34	extinct	36.85	40.04
33	extinct	46.49	48.4
33	extinct	45.25	46.16
33	extinct	44.96	45.82
33	extinct	45.69	46.02
29	extinct	48.13	50.76
29	extinct	49.24	50.64
64	extinct	40.85	41.59
31	extinct	38.63	41.11
31	extinct	36.65	48.76
31	extinct	44.24	48.26
62	extinct	37.65	39.24
62	extinct	37.15	39.28
62	extinct	38.62	41.43
61	extinct	40.74	41.42
61	extinct	40.66	40.97
61	extinct	39.59	40.24
60	extinct	40.6	41.65
60	extinct	40.69	40.92
60	extinct	40.52	40.6
60	extinct	40.45	41.04
65	extinct	39.74	41.63
74	extinct	39.63	39.82
86	extinct	37.81	38.48
86	extinct	37.93	37.98
55	extinct	39.57	42.31
55	extinct	39.67	40.07
55	extinct	40.02	40.47
54	extinct	38.84	41.79
52	extinct	37.66	42.46
63	extinct	40.66	41.28
63	extinct	40.29	40.72
63	extinct	40.73	40.78
45	extinct	32.86	39.22
43	extinct	44.3	44.85
40	extinct	35.87	40.56
96	extinct	31.99	35.8
96	extinct	37.22	38.23
96	extinct	34.6	36.31
96	extinct	34.0	36.83
91	extinct	33.27	33.77
94	extinct	34.17	37.9
101	extinct	32.63	36.39
102	extinct	35.2	36.07
103	extinct	36.11	37.24
103	extinct	36.25	36.93
103	extinct	36.07	37.24
103	extinct	36.16	36.75
108	extinct	35.79	36.59
108	extinct	35.89	36.86
120	extinct	32.94	34.42
120	extinct	34.08	35.51
120	extinct	34.02	35.73
98	extinct	35.78	37.3
85	extinct	37.94	39.19
83	extinct	36.87	39.08
81	extinct	37.33	39.68
81	extinct	34.92	35.28
50	extinct	42.74	43.55
66	extinct	36.54	41.35
156	extinct	32.25	32.86
154	extinct	29.78	31.59
154	extinct	24.15	27.54
219	extinct	27.93	28.15
161	extinct	30.82	31.09
138	extinct	25.76	29.63
138	extinct	31.66	33.83
134	extinct	33.37	33.82
134	extinct	25.93	27.83
134	extinct	25.55	29.51
193	extinct	28.61	29.69
182	extinct	28.67	30.5
182	extinct	29.23	29.41
179	extinct	27.74	28.82
207	extinct	28.25	28.49
173	extinct	30.4	30.75
212	extinct	28.41	29.15
122	extinct	28.3	29.81
122	extinct	30.56	35.34
109	extinct	30.91	36.61
93	extinct	32.03	37.28
82	extinct	24.31	39.52
112	extinct	27.76	28.65
118	extinct	33.87	33.88
126	extinct	30.77	31.58
223	extinct	27.71	28.28
129	extinct	30.42	34.81
129	extinct	32.83	34.92
127	extinct	32.78	33.93
240	extinct	26.36	26.37
240	extinct	26.37	26.52
240	extinct	22.3	25.64
228	extinct	26.55	26.97
228	extinct	24.08	26.63
228	extinct	24.53	25.95
227	extinct	26.77	27.79
326	extinct	23.84	23.96
232	extinct	26.83	27.13
232	extinct	26.47	27.45
232	extinct	26.47	26.66
237	extinct	26.76	27.56
233	extinct	24.95	27.37
233	extinct	26.09	27.17
236	extinct	27.15	27.58
236	extinct	27.18	27.56
236	extinct	27.1	27.75
333	extinct	22.86	23.71
235	extinct	27.71	27.78
235	extinct	27.37	27.78
231	extinct	23.97	25.81
231	extinct	24.48	25.54
231	extinct	26.22	27.14
294	extinct	24.07	24.65
248	extinct	25.9	27.0
248	extinct	25.82	26.61
299	extinct	24.02	24.88
299	extinct	23.71	23.88
291	extinct	24.44	25.12
286	extinct	23.89	25.65
286	extinct	23.42	24.11
286	extinct	20.84	21.83
286	extinct	22.38	24.65
286	extinct	21.7	23.71
284	extinct	23.7	25.62
283	extinct	22.76	23.74
305	extinct	24.06	24.68
305	extinct	23.96	24.38
305	extinct	23.79	23.92
281	extinct	24.22	25.76
314	extinct	23.61	24.24
257	extinct	26.17	26.41
255	extinct	22.96	25.99
298	extinct	24.74	25.02
254	extinct	25.14	25.74
254	extinct	24.54	26.16
252	extinct	25.76	26.24
252	extinct	25.07	26.21
252	extinct	25.18	26.25
250	extinct	24.8	26.78
170	extinct	25.45	28.97
222	extinct	27.44	28.59
222	extinct	25.2	27.56
222	extinct	26.37	28.51
222	extinct	24.75	27.94
222	extinct	25.69	27.71
222	extinct	24.87	27.35
172	extinct	22.73	28.58
172	extinct	23.02	28.35
172	extinct	29.35	30.44
166	extinct	19.71	22.86
163	extinct	24.07	24.64
163	extinct	28.25	30.94
145	extinct	18.67	31.65
224	extinct	27.11	27.92
141	extinct	29.7	30.1
141	extinct	23.96	29.83
140	extinct	19.95	24.01
140	extinct	31.83	33.45
140	extinct	18.25	28.62
140	extinct	16.97	31.19
140	extinct	23.28	25.66
140	extinct	18.7	33.23
135	extinct	30.43	33.36
135	extinct	19.95	20.97
135	extinct	32.68	33.99
135	extinct	22.62	33.48
130	extinct	19.71	25.92
130	extinct	27.7	30.95
121	extinct	23.88	31.78
114	extinct	17.51	26.18
114	extinct	33.07	34.4
114	extinct	29.25	29.32
114	extinct	15.96	25.74
114	extinct	32.96	33.74
72	extinct	28.25	40.78
72	extinct	8.67	15.16
51	extinct	20.53	34.86
181	extinct	24.56	25.23
144	extinct	26.35	30.21
144	extinct	22.53	30.7
144	extinct	29.98	32.59
218	extinct	26.67	26.77
218	extinct	24.53	27.36
218	extinct	24.53	25.25
218	extinct	25.57	25.92
217	extinct	23.68	25.97
217	extinct	26.8	28.61
217	extinct	27.07	27.92
214	extinct	18.81	24.99
214	extinct	23.5	26.09
214	extinct	21.21	28.68
214	extinct	22.94	24.31
210	extinct	23.19	24.16
210	extinct	26.15	26.36
205	extinct	26.24	26.98
195	extinct	25.28	28.32
195	extinct	26.03	26.75
188	extinct	23.85	28.55
188	extinct	25.3	27.22
211	extinct	26.06	29.0
211	extinct	24.47	26.56
211	extinct	27.58	27.97
186	extinct	19.9	29.58
187	extinct	25.3	30.17
321	extinct	22.92	23.03
321	extinct	20.03	21.43
321	extinct	20.23	21.4
229	extinct	26.73	27.47
229	extinct	23.03	24.7
327	extinct	21.93	22.6
327	extinct	21.36	21.57
327	extinct	22.45	22.57
327	extinct	20.95	21.13
327	extinct	21.62	22.13
59	extinct	19.83	26.43
59	extinct	8.17	12.06
253	extinct	24.5	26.44
253	extinct	18.65	26.93
253	extinct	19.86	24.1
253	extinct	21.87	21.91
337	extinct	21.7	22.01
337	extinct	22.19	22.27
337	extinct	20.57	21.6
338	extinct	22.44	23.05
338	extinct	20.46	21.81
341	extinct	20.81	21.93
341	extinct	22.3	22.57
341	extinct	20.48	22.3
341	extinct	20.8	22.96
341	extinct	21.84	22.82
271	extinct	25.19	25.33
271	extinct	22.88	24.27
271	extinct	22.29	23.84
271	extinct	21.84	23.49
271	extinct	18.42	26.02
271	extinct	21.29	24.57
271	extinct	18.65	20.48
345	extinct	20.59	21.21
348	extinct	22.06	22.48
350	extinct	21.81	22.69
350	extinct	21.93	22.66
350	extinct	21.85	22.12
350	extinct	21.84	22.34
350	extinct	21.99	22.72
350	extinct	21.86	22.78
350	extinct	21.89	22.07
352	extinct	21.8	22.71
352	extinct	22.18	22.73
357	extinct	20.37	21.85
357	extinct	19.96	21.89
357	extinct	19.08	22.34
357	extinct	19.42	20.87
357	extinct	21.47	21.53
364	extinct	20.82	21.91
364	extinct	20.96	21.04
364	extinct	20.87	21.7
380	extinct	20.87	21.36
380	extinct	21.17	21.51
380	extinct	21.08	21.33
380	extinct	21.3	21.36
380	extinct	20.7	21.35
380	extinct	21.24	21.46
386	extinct	20.45	20.73
386	extinct	20.52	20.71
386	extinct	20.6	20.99
389	extinct	20.18	20.26
389	extinct	20.17	20.99
80	extinct	15.95	30.64
80	extinct	8.57	9.04
344	extinct	22.23	23.09
344	extinct	22.66	22.72
315	extinct	23.27	23.94
315	extinct	20.48	24.33
276	extinct	22.75	23.79
276	extinct	23.71	24.14
276	extinct	24.31	25.95
276	extinct	23.93	24.61
276	extinct	24.19	24.27
157	extinct	16.67	28.33
157	extinct	14.59	22.22
157	extinct	22.03	23.29
285	extinct	22.11	23.6
264	extinct	21.9	26.13
264	extinct	17.82	25.38
264	extinct	17.5	18.42
264	extinct	20.61	21.27
264	extinct	17.19	23.5
164	extinct	29.66	30.96
164	extinct	18.92	20.88
164	extinct	25.24	28.51
288	extinct	20.0	23.27
288	extinct	20.05	21.16
288	extinct	18.47	20.2
288	extinct	24.59	25.41
288	extinct	19.48	23.43
289	extinct	20.77	25.45
289	extinct	21.96	24.12
139	extinct	19.66	31.62
296	extinct	23.98	24.64
297	extinct	23.31	25.06
132	extinct	16.86	29.8
245	extinct	23.42	27.3
245	extinct	22.18	22.68
300	extinct	23.48	25.02
300	extinct	21.76	22.95
399	extinct	20.0	20.53
308	extinct	21.08	24.62
310	extinct	22.31	24.63
209	extinct	19.48	25.52
403	extinct	20.25	20.62
403	extinct	20.04	20.62
403	extinct	20.08	20.54
