Species	Status	MinT	MaxT
300	extinct	25.46	26.11
300	extinct	23.49	23.97
299	extinct	26.84	26.89
299	extinct	26.0	26.86
299	extinct	26.66	26.91
299	extinct	25.96	26.92
293	extinct	26.19	27.16
218	extinct	24.63	29.08
116	extinct	38.5	39.28
116	extinct	31.83	32.24
221	extinct	19.55	20.93
215	extinct	24.76	27.81
215	extinct	21.12	23.86
210	extinct	26.17	26.86
261	extinct	23.48	26.04
163	extinct	34.5	35.55
163	extinct	21.27	34.2
163	extinct	31.15	33.87
164	extinct	30.62	35.62
164	extinct	25.91	29.97
172	extinct	31.88	35.26
183	extinct	28.64	33.76
227	extinct	15.59	16.14
227	extinct	16.74	23.23
227	extinct	18.27	21.79
237	extinct	24.05	26.62
237	extinct	26.85	28.58
237	extinct	28.01	30.53
231	extinct	29.37	30.36
247	extinct	27.59	28.58
245	extinct	24.4	26.1
245	extinct	26.34	28.91
240	extinct	28.88	29.61
240	extinct	27.33	30.27
240	extinct	27.91	29.1
250	extinct	22.41	23.79
235	extinct	28.84	30.56
235	extinct	25.55	26.96
233	extinct	19.39	22.1
360	extinct	21.14	22.91
360	extinct	20.82	21.33
360	extinct	21.48	22.84
360	extinct	21.7	23.44
354	extinct	19.99	20.1
354	extinct	18.67	22.34
354	extinct	18.77	23.59
353	extinct	18.29	22.36
365	extinct	20.83	22.95
365	extinct	21.93	22.01
365	extinct	21.78	22.25
365	extinct	20.96	21.62
365	extinct	21.69	22.46
361	extinct	21.37	21.43
379	extinct	21.95	22.53
379	extinct	21.76	22.18
379	extinct	21.68	22.11
370	extinct	22.0	22.81
370	extinct	21.93	22.86
370	extinct	21.96	22.03
374	extinct	20.49	21.49
412	extinct	20.83	21.48
412	extinct	20.84	21.4
412	extinct	20.82	21.46
412	extinct	20.69	21.27
412	extinct	21.13	21.35
412	extinct	21.09	21.44
412	extinct	21.14	21.28
388	extinct	20.78	21.7
388	extinct	20.86	21.41
388	extinct	20.62	20.64
388	extinct	20.93	21.46
388	extinct	21.14	22.22
388	extinct	21.24	21.24
388	extinct	20.58	21.78
388	extinct	20.47	20.77
394	extinct	21.13	21.29
394	extinct	21.08	21.92
394	extinct	21.04	21.79
349	extinct	20.15	23.36
349	extinct	21.17	23.69
349	extinct	22.52	23.1
349	extinct	23.13	23.66
398	extinct	21.49	21.91
404	extinct	20.27	21.42
404	extinct	20.05	20.13
404	extinct	20.3	21.01
367	extinct	20.68	20.83
367	extinct	18.99	21.85
367	extinct	18.72	19.05
367	extinct	21.14	22.98
260	extinct	27.86	28.76
260	extinct	26.02	28.31
260	extinct	21.94	28.89
323	extinct	23.39	24.29
323	extinct	24.08	24.11
323	extinct	19.37	23.24
323	extinct	21.87	24.96
323	extinct	19.16	23.72
346	extinct	22.96	23.16
242	extinct	18.64	25.39
242	extinct	16.29	23.6
276	extinct	15.87	18.67
276	extinct	22.08	26.05
288	extinct	25.88	26.45
295	extinct	21.78	23.79
295	extinct	20.56	23.27
297	extinct	18.99	24.57
298	extinct	21.1	25.46
306	extinct	23.9	24.4
306	extinct	24.73	26.13
306	extinct	24.06	25.01
213	extinct	27.59	29.37
347	extinct	22.51	23.73
420	extinct	20.58	21.22
420	extinct	21.02	21.22
328	extinct	23.19	24.22
328	extinct	21.06	21.88
332	extinct	21.03	21.44
333	extinct	20.06	22.26
333	extinct	21.04	21.36
333	extinct	21.93	24.08
333	extinct	20.13	24.84
333	extinct	19.92	23.56
334	extinct	21.08	24.01
334	extinct	21.99	23.12
166	extinct	34.87	35.39
166	extinct	15.03	30.83
166	extinct	21.67	24.46
166	extinct	11.16	30.37
166	extinct	27.33	33.91
166	extinct	13.19	17.87
338	extinct	20.53	22.89
338	extinct	21.58	22.41
339	extinct	18.05	22.48
339	extinct	18.45	24.11
343	extinct	20.33	20.87
343	extinct	21.66	23.29
343	extinct	22.54	23.41
343	extinct	19.53	21.9
343	extinct	21.56	21.6
344	extinct	21.99	23.05
344	extinct	22.77	23.74
321	extinct	22.33	24.81
434	extinct	20.07	20.8
