Species	Status	MinT	MaxT
119	extinct	44.46	45.21
123	extinct	44.33	47.43
123	extinct	46.1	46.27
124	extinct	46.17	46.98
124	extinct	45.45	45.64
124	extinct	45.46	45.87
124	extinct	46.16	46.9
127	extinct	42.91	46.32
127	extinct	45.95	46.1
127	extinct	42.12	43.18
128	extinct	43.84	46.33
128	extinct	43.49	45.53
129	extinct	44.49	44.7
129	extinct	44.99	45.41
129	extinct	42.6	44.44
129	extinct	45.4	45.84
132	extinct	41.25	44.5
132	extinct	39.67	43.77
134	extinct	44.94	44.97
134	extinct	44.8	46.06
149	extinct	41.18	42.37
149	extinct	41.3	43.0
149	extinct	41.41	43.47
149	extinct	40.47	42.3
149	extinct	42.13	43.38
146	extinct	43.02	43.27
146	extinct	42.75	43.43
146	extinct	43.05	43.18
146	extinct	43.05	43.95
146	extinct	42.81	43.08
146	extinct	42.92	43.46
146	extinct	43.02	43.96
141	extinct	39.16	39.91
141	extinct	40.84	44.14
133	extinct	44.69	46.25
133	extinct	43.66	44.81
133	extinct	44.06	44.11
118	extinct	42.44	46.66
143	extinct	41.04	44.13
113	extinct	46.66	47.83
113	extinct	46.31	47.76
71	extinct	43.98	51.69
110	extinct	44.83	46.75
104	extinct	47.58	48.41
104	extinct	44.56	48.88
76	extinct	47.54	49.43
90	extinct	39.97	48.97
169	extinct	38.18	39.02
152	extinct	38.66	41.97
152	extinct	41.18	42.88
152	extinct	38.57	42.23
167	extinct	38.72	39.66
58	extinct	54.24	58.68
58	extinct	36.63	44.55
126	extinct	34.76	44.7
126	extinct	38.31	39.28
109	extinct	37.9	39.2
92	extinct	44.14	45.07
92	extinct	36.09	42.98
131	extinct	38.15	42.52
131	extinct	37.33	42.27
170	extinct	33.67	34.13
171	extinct	33.4	33.66
171	extinct	38.09	38.7
171	extinct	34.55	36.64
179	extinct	37.3	37.82
180	extinct	35.0	35.35
180	extinct	36.57	37.31
180	extinct	34.83	35.91
182	extinct	36.92	37.26
185	extinct	33.87	38.14
185	extinct	34.85	37.08
185	extinct	31.59	35.14
199	extinct	35.04	36.34
208	extinct	34.5	35.31
203	extinct	35.2	35.7
203	extinct	35.2	35.73
203	extinct	34.94	35.88
203	extinct	35.03	35.81
203	extinct	35.37	35.83
205	extinct	33.62	33.75
139	extinct	43.08	43.92
139	extinct	37.41	37.76
100	extinct	37.48	43.55
150	extinct	38.63	41.5
150	extinct	41.96	42.75
135	extinct	42.31	44.21
168	extinct	37.86	38.64
125	extinct	30.32	42.93
281	extinct	28.65	29.84
237	extinct	29.96	30.05
253	extinct	30.88	31.94
254	extinct	28.69	30.98
254	extinct	28.02	32.43
290	extinct	27.23	28.98
290	extinct	28.7	29.01
258	extinct	29.77	30.97
257	extinct	31.08	31.86
252	extinct	29.18	31.92
121	extinct	21.77	26.19
206	extinct	33.3	35.58
162	extinct	39.34	39.77
211	extinct	28.0	29.99
211	extinct	29.05	32.54
82	extinct	41.13	45.86
82	extinct	50.23	51.82
221	extinct	33.66	33.77
220	extinct	32.88	34.55
218	extinct	33.48	34.27
216	extinct	31.52	32.49
155	extinct	39.24	40.51
155	extinct	18.93	36.07
212	extinct	31.91	32.16
330	extinct	26.06	26.45
406	extinct	22.63	23.28
327	extinct	26.56	27.53
327	extinct	23.77	23.78
327	extinct	24.23	27.02
327	extinct	23.61	24.89
318	extinct	25.36	27.94
312	extinct	24.48	26.84
312	extinct	26.96	27.13
312	extinct	23.89	24.78
312	extinct	27.32	28.28
312	extinct	24.11	25.77
322	extinct	26.23	27.79
320	extinct	26.81	28.16
320	extinct	25.15	27.37
320	extinct	25.73	25.91
320	extinct	25.56	27.99
311	extinct	23.3	28.58
311	extinct	27.59	27.97
345	extinct	21.84	23.08
345	extinct	22.41	24.15
345	extinct	23.2	26.14
345	extinct	24.93	26.24
345	extinct	23.27	24.98
334	extinct	23.4	24.81
334	extinct	22.39	26.45
370	extinct	21.67	23.39
370	extinct	23.08	23.66
378	extinct	23.23	23.77
378	extinct	23.75	24.57
365	extinct	23.94	24.62
365	extinct	23.38	23.57
390	extinct	22.87	23.98
390	extinct	23.03	23.57
392	extinct	22.25	23.23
392	extinct	22.18	23.62
359	extinct	25.01	25.57
359	extinct	25.01	25.49
359	extinct	25.12	25.3
359	extinct	25.03	25.61
359	extinct	25.02	25.56
357	extinct	25.21	25.54
357	extinct	25.11	25.9
357	extinct	25.09	25.56
353	extinct	24.77	25.78
353	extinct	24.82	25.08
352	extinct	21.73	23.88
352	extinct	23.75	24.9
352	extinct	23.74	24.66
347	extinct	25.47	25.68
346	extinct	25.73	25.82
346	extinct	25.62	26.38
346	extinct	25.52	25.86
338	extinct	24.0	25.5
338	extinct	22.64	25.96
402	extinct	22.67	22.92
333	extinct	26.36	27.29
307	extinct	23.57	27.4
376	extinct	23.48	24.73
304	extinct	24.26	25.93
304	extinct	26.51	26.55
304	extinct	26.09	28.01
304	extinct	27.12	27.93
276	extinct	29.4	30.52
276	extinct	23.54	26.86
239	extinct	20.14	24.14
239	extinct	23.09	27.76
305	extinct	26.65	27.46
251	extinct	21.41	23.99
251	extinct	22.45	28.72
200	extinct	24.11	29.87
200	extinct	34.17	35.55
265	extinct	29.16	30.82
262	extinct	24.89	26.23
190	extinct	21.41	33.48
260	extinct	23.0	26.69
260	extinct	29.39	31.26
278	extinct	27.6	29.24
278	extinct	20.83	27.96
215	extinct	16.5	32.19
215	extinct	33.98	34.78
223	extinct	18.56	32.04
219	extinct	28.24	34.42
295	extinct	27.72	29.74
295	extinct	17.92	27.02
294	extinct	24.13	26.8
293	extinct	26.15	28.49
147	extinct	34.76	43.71
147	extinct	39.85	43.47
147	extinct	23.85	43.0
147	extinct	35.37	41.27
147	extinct	40.24	42.7
147	extinct	31.63	35.35
147	extinct	21.09	30.51
288	extinct	27.52	29.33
288	extinct	23.92	28.41
288	extinct	26.01	26.21
441	extinct	20.55	20.73
441	extinct	19.88	20.38
441	extinct	20.14	21.09
441	extinct	19.87	20.06
441	extinct	19.71	20.57
389	extinct	18.69	21.76
396	extinct	19.81	23.77
396	extinct	20.08	21.41
396	extinct	21.68	23.23
396	extinct	19.45	22.5
396	extinct	19.68	19.84
396	extinct	19.62	22.97
396	extinct	22.72	23.44
396	extinct	20.29	23.69
394	extinct	21.68	22.74
394	extinct	18.07	21.38
394	extinct	22.67	23.78
395	extinct	22.34	22.9
395	extinct	20.95	23.6
395	extinct	21.64	22.18
395	extinct	21.77	23.84
395	extinct	20.16	22.03
395	extinct	22.5	23.38
395	extinct	22.38	23.07
395	extinct	22.42	22.7
395	extinct	22.2	22.72
395	extinct	20.11	21.18
395	extinct	21.73	21.99
466	extinct	20.25	21.04
466	extinct	20.26	21.0
430	extinct	21.09	21.61
430	extinct	20.51	20.78
430	extinct	20.63	20.94
