Species	Status	MinT	MaxT
59	extinct	39.38	50.9
104	extinct	42.19	42.38
104	extinct	42.0	43.55
99	extinct	42.53	43.02
99	extinct	43.08	44.07
99	extinct	42.85	43.47
96	extinct	42.74	43.95
96	extinct	43.62	44.65
96	extinct	40.43	44.14
95	extinct	40.67	44.0
95	extinct	39.34	44.07
95	extinct	43.87	44.19
95	extinct	42.58	42.97
94	extinct	43.52	43.82
94	extinct	42.02	44.73
94	extinct	41.18	41.78
93	extinct	44.51	44.72
91	extinct	44.59	45.17
91	extinct	44.66	44.77
91	extinct	44.71	45.0
91	extinct	44.61	45.69
90	extinct	44.11	44.28
84	extinct	40.8	42.21
84	extinct	45.15	45.57
84	extinct	43.71	45.65
82	extinct	45.59	46.96
110	extinct	41.7	42.09
110	extinct	41.29	41.84
69	extinct	35.66	39.88
71	extinct	39.2	48.11
71	extinct	45.38	47.41
71	extinct	45.45	46.68
71	extinct	41.06	46.83
71	extinct	39.88	48.49
71	extinct	38.42	43.05
71	extinct	39.27	47.22
71	extinct	43.12	44.63
81	extinct	45.11	46.25
81	extinct	46.08	46.39
81	extinct	45.45	47.03
73	extinct	46.19	46.99
79	extinct	46.36	47.33
78	extinct	45.21	46.4
77	extinct	43.47	47.19
77	extinct	42.92	44.66
77	extinct	44.58	46.21
77	extinct	46.88	47.35
111	extinct	40.6	42.55
141	extinct	38.09	38.36
141	extinct	37.51	38.43
132	extinct	38.84	39.58
113	extinct	40.52	42.23
113	extinct	40.45	40.74
115	extinct	40.08	41.14
120	extinct	40.61	40.98
122	extinct	38.27	38.59
117	extinct	39.04	39.35
68	extinct	44.15	49.05
150	extinct	34.33	34.99
150	extinct	34.1	34.6
150	extinct	34.4	34.64
144	extinct	35.91	36.89
140	extinct	36.38	37.34
136	extinct	37.55	37.61
134	extinct	37.47	37.53
74	extinct	33.69	36.39
74	extinct	41.23	41.95
85	extinct	25.18	38.8
60	extinct	27.42	46.45
60	extinct	32.79	43.68
87	extinct	30.24	31.67
87	extinct	41.99	44.43
86	extinct	36.65	45.61
86	extinct	43.36	43.44
88	extinct	30.47	45.7
88	extinct	28.7	40.96
88	extinct	42.37	43.24
92	extinct	29.75	35.64
97	extinct	36.25	37.51
97	extinct	40.52	41.99
97	extinct	31.38	43.72
119	extinct	33.3	38.08
118	extinct	34.0	36.04
190	extinct	30.54	30.9
188	extinct	31.32	31.61
188	extinct	28.54	29.13
186	extinct	31.1	32.28
186	extinct	31.55	32.0
181	extinct	29.96	31.38
180	extinct	30.6	31.06
179	extinct	29.65	33.07
177	extinct	28.92	31.47
195	extinct	30.65	31.36
197	extinct	30.6	31.22
230	extinct	29.06	29.55
226	extinct	28.54	29.57
217	extinct	29.67	30.16
217	extinct	29.7	30.17
174	extinct	26.75	33.36
196	extinct	28.97	29.97
196	extinct	29.8	31.15
238	extinct	28.29	28.76
209	extinct	30.34	30.63
232	extinct	28.38	28.9
204	extinct	27.2	27.21
109	extinct	39.06	41.2
109	extinct	32.02	33.57
109	extinct	30.04	35.27
127	extinct	35.48	39.81
127	extinct	32.17	39.08
143	extinct	30.93	31.5
154	extinct	34.47	35.11
155	extinct	31.99	32.93
156	extinct	31.55	32.28
156	extinct	34.28	34.94
147	extinct	32.76	35.89
158	extinct	21.8	32.32
160	extinct	33.03	34.84
160	extinct	31.95	34.05
138	extinct	27.29	29.37
166	extinct	32.16	32.54
166	extinct	32.05	33.08
159	extinct	27.17	31.35
161	extinct	33.58	33.87
116	extinct	31.12	32.26
362	extinct	23.52	23.58
278	extinct	25.88	25.99
278	extinct	25.34	25.36
263	extinct	25.55	26.98
263	extinct	25.48	26.72
286	extinct	24.36	26.42
286	extinct	24.62	26.24
286	extinct	25.17	26.44
268	extinct	26.08	27.05
268	extinct	25.97	26.19
268	extinct	26.33	27.2
268	extinct	26.25	26.36
268	extinct	26.58	27.15
98	extinct	16.0	32.7
98	extinct	21.82	43.69
98	extinct	31.99	42.44
264	extinct	27.02	27.58
262	extinct	26.45	26.52
262	extinct	26.33	27.73
259	extinct	21.72	25.98
259	extinct	22.04	23.0
300	extinct	22.58	23.85
300	extinct	22.98	25.98
300	extinct	22.35	22.68
332	extinct	24.06	24.31
346	extinct	22.39	22.59
324	extinct	23.69	23.83
324	extinct	23.87	24.84
348	extinct	23.34	23.91
322	extinct	25.13	25.17
320	extinct	22.5	24.71
320	extinct	23.92	24.22
310	extinct	24.24	24.92
310	extinct	24.12	24.67
310	extinct	21.79	25.18
288	extinct	23.87	24.7
288	extinct	23.76	24.66
288	extinct	24.17	25.76
288	extinct	23.94	24.78
288	extinct	24.2	24.86
288	extinct	24.38	26.54
306	extinct	24.81	25.45
306	extinct	24.84	25.9
305	extinct	24.37	24.98
303	extinct	24.99	25.39
301	extinct	25.18	25.67
301	extinct	25.37	25.88
301	extinct	25.35	25.82
301	extinct	25.35	25.66
301	extinct	25.1	26.0
255	extinct	26.95	28.38
291	extinct	25.54	26.51
291	extinct	25.88	26.45
307	extinct	21.61	25.33
254	extinct	26.22	27.47
242	extinct	24.44	25.87
242	extinct	25.09	28.36
201	extinct	25.4	25.97
201	extinct	20.87	24.15
200	extinct	23.93	28.49
200	extinct	18.34	30.33
200	extinct	22.09	24.54
200	extinct	19.0	20.02
200	extinct	17.88	26.44
200	extinct	28.54	30.7
184	extinct	30.26	32.32
162	extinct	28.08	32.11
162	extinct	29.63	32.46
162	extinct	21.79	28.51
165	extinct	30.37	33.86
167	extinct	19.81	21.18
167	extinct	23.2	27.81
167	extinct	17.46	17.61
168	extinct	25.04	27.82
213	extinct	27.58	29.1
213	extinct	28.39	28.88
373	extinct	22.53	23.2
373	extinct	22.36	23.02
373	extinct	22.91	23.26
373	extinct	22.42	23.18
375	extinct	22.81	23.09
375	extinct	22.94	23.17
338	extinct	23.66	24.58
338	extinct	24.0	24.58
338	extinct	23.72	24.57
338	extinct	23.87	24.57
338	extinct	23.63	24.57
240	extinct	24.8	26.57
224	extinct	27.64	29.15
236	extinct	24.78	27.17
377	extinct	22.58	22.98
377	extinct	22.45	22.99
237	extinct	26.8	28.22
341	extinct	23.59	24.15
341	extinct	23.71	24.0
341	extinct	23.64	24.24
341	extinct	23.61	24.18
341	extinct	23.51	24.02
233	extinct	28.06	29.18
233	extinct	27.97	29.21
233	extinct	28.0	28.87
228	extinct	26.36	29.47
228	extinct	23.65	26.33
371	extinct	20.04	22.12
371	extinct	21.84	23.08
371	extinct	20.31	23.03
384	extinct	19.51	23.02
342	extinct	22.77	23.41
342	extinct	23.28	24.31
342	extinct	21.47	23.11
342	extinct	23.19	23.37
342	extinct	21.47	23.75
342	extinct	21.48	23.59
343	extinct	23.36	24.2
343	extinct	21.53	23.61
343	extinct	19.42	24.28
386	extinct	21.02	21.67
386	extinct	20.21	21.7
386	extinct	20.79	21.33
401	extinct	21.58	22.24
406	extinct	21.06	21.12
406	extinct	21.05	21.44
406	extinct	21.08	21.67
406	extinct	21.13	21.83
350	extinct	21.04	22.45
352	extinct	20.24	22.49
355	extinct	20.35	23.7
355	extinct	20.97	23.67
355	extinct	22.09	23.54
355	extinct	20.48	20.64
367	extinct	22.19	23.0
413	extinct	21.03	21.61
413	extinct	21.25	21.88
410	extinct	21.56	22.03
410	extinct	21.4	22.03
356	extinct	22.78	23.84
356	extinct	21.02	21.18
357	extinct	19.17	23.12
357	extinct	22.45	23.26
357	extinct	21.5	22.11
357	extinct	19.88	20.87
415	extinct	21.05	21.76
415	extinct	21.03	21.57
415	extinct	20.93	21.63
415	extinct	21.04	21.59
415	extinct	21.01	21.23
329	extinct	22.11	23.34
329	extinct	22.37	22.72
153	extinct	15.71	18.33
153	extinct	9.81	17.37
153	extinct	22.56	24.9
199	extinct	21.29	28.42
428	extinct	21.02	21.28
428	extinct	20.31	21.21
214	extinct	29.11	29.85
214	extinct	23.65	25.2
214	extinct	20.3	24.95
215	extinct	12.13	27.28
221	extinct	15.55	25.52
221	extinct	20.81	28.41
102	extinct	31.83	35.61
248	extinct	21.27	22.87
250	extinct	21.96	23.77
250	extinct	18.74	20.17
250	extinct	20.36	21.47
274	extinct	24.38	26.82
274	extinct	23.18	23.73
284	extinct	21.81	21.86
284	extinct	16.66	16.95
284	extinct	17.21	25.44
293	extinct	16.8	22.55
302	extinct	24.17	25.55
302	extinct	20.73	23.4
302	extinct	24.75	25.78
302	extinct	17.84	19.65
302	extinct	18.63	19.64
304	extinct	21.69	22.09
304	extinct	20.84	25.05
314	extinct	20.87	22.79
314	extinct	22.97	24.51
315	extinct	21.34	24.1
327	extinct	19.8	21.44
257	extinct	18.74	23.2
429	extinct	20.46	21.1
429	extinct	20.47	21.21
429	extinct	20.55	21.07
429	extinct	20.35	21.25
