Species	Status	MinT	MaxT
102	extinct	42.06	42.51
102	extinct	39.64	40.83
102	extinct	39.85	40.39
102	extinct	40.1	40.85
98	extinct	41.05	42.02
98	extinct	41.74	43.94
93	extinct	43.36	43.75
93	extinct	43.57	43.74
91	extinct	44.4	44.97
91	extinct	44.61	44.95
91	extinct	44.65	44.99
91	extinct	44.07	44.93
87	extinct	39.01	44.07
87	extinct	43.4	44.21
87	extinct	42.18	44.44
87	extinct	41.24	42.13
87	extinct	40.15	44.63
87	extinct	44.29	44.9
87	extinct	37.62	44.52
87	extinct	44.41	44.61
84	extinct	45.36	46.1
84	extinct	44.29	45.41
83	extinct	40.97	42.09
82	extinct	46.1	46.32
82	extinct	46.23	46.6
82	extinct	46.06	46.6
82	extinct	46.21	46.84
82	extinct	46.27	46.58
105	extinct	41.32	41.37
105	extinct	41.17	41.79
105	extinct	41.1	41.18
71	extinct	48.85	48.89
71	extinct	49.02	50.82
44	extinct	29.46	45.65
78	extinct	47.25	47.8
78	extinct	47.12	47.38
77	extinct	47.16	47.42
77	extinct	42.8	45.97
59	extinct	52.85	54.72
62	extinct	30.97	45.78
62	extinct	40.54	43.89
62	extinct	41.59	51.69
62	extinct	32.2	48.91
62	extinct	50.91	53.58
62	extinct	47.38	51.72
62	extinct	34.45	35.81
62	extinct	33.62	38.06
74	extinct	48.22	48.46
74	extinct	48.27	48.99
74	extinct	46.87	47.42
74	extinct	48.3	49.13
81	extinct	46.92	47.23
81	extinct	47.03	47.72
81	extinct	47.01	47.34
81	extinct	47.06	47.24
81	extinct	46.82	47.72
64	extinct	47.74	50.09
64	extinct	38.09	47.64
64	extinct	37.09	48.78
120	extinct	39.0	39.03
114	extinct	36.85	37.1
114	extinct	38.5	39.19
114	extinct	38.46	38.68
114	extinct	38.61	39.15
115	extinct	39.46	40.31
106	extinct	37.51	39.21
126	extinct	38.53	38.77
109	extinct	40.02	40.81
109	extinct	39.8	40.69
122	extinct	37.05	39.26
122	extinct	37.06	39.26
79	extinct	44.29	46.53
65	extinct	47.3	48.24
139	extinct	37.04	37.68
138	extinct	36.71	37.2
146	extinct	35.21	35.96
146	extinct	35.94	36.86
134	extinct	35.17	35.28
134	extinct	36.29	36.87
160	extinct	33.46	34.11
149	extinct	35.39	36.53
149	extinct	34.45	36.86
149	extinct	34.57	36.06
149	extinct	35.62	36.29
149	extinct	35.94	36.15
76	extinct	42.66	47.98
76	extinct	37.51	41.33
76	extinct	28.85	40.21
76	extinct	28.11	34.45
76	extinct	46.09	47.65
147	extinct	35.09	35.88
147	extinct	36.29	37.14
147	extinct	36.14	37.16
147	extinct	35.02	35.92
159	extinct	35.26	35.96
159	extinct	35.26	36.22
159	extinct	35.22	36.19
159	extinct	35.23	35.34
125	extinct	36.21	39.25
125	extinct	36.74	38.51
125	extinct	37.8	37.99
125	extinct	37.67	38.25
110	extinct	34.08	41.03
162	extinct	35.25	35.8
162	extinct	35.61	35.81
162	extinct	35.5	35.78
154	extinct	33.83	36.21
154	extinct	34.01	35.92
152	extinct	33.48	33.69
179	extinct	33.33	34.0
123	extinct	35.14	39.44
123	extinct	34.8	35.53
123	extinct	34.18	37.21
123	extinct	33.53	39.4
86	extinct	40.25	40.91
86	extinct	33.99	44.42
145	extinct	32.77	35.74
199	extinct	29.89	31.23
192	extinct	29.44	33.0
192	extinct	29.51	30.38
192	extinct	27.46	30.09
187	extinct	32.48	33.75
219	extinct	29.94	31.6
239	extinct	28.1	29.96
239	extinct	27.97	29.82
239	extinct	28.61	28.74
221	extinct	31.3	31.48
221	extinct	31.17	31.5
217	extinct	30.66	30.86
217	extinct	29.26	29.35
217	extinct	30.41	31.3
198	extinct	30.59	30.71
198	extinct	30.05	31.56
155	extinct	29.59	30.84
155	extinct	32.32	36.4
151	extinct	23.69	32.02
136	extinct	26.25	38.14
181	extinct	33.12	33.43
130	extinct	30.51	31.89
127	extinct	31.83	39.2
144	extinct	34.11	36.11
101	extinct	29.12	41.71
96	extinct	37.96	39.32
175	extinct	30.59	31.11
165	extinct	31.03	32.74
85	extinct	33.68	39.58
268	extinct	27.2	27.58
266	extinct	26.97	27.73
266	extinct	26.91	27.15
263	extinct	26.93	28.28
263	extinct	23.45	24.65
263	extinct	23.08	23.49
263	extinct	23.31	25.55
263	extinct	22.15	26.13
263	extinct	22.28	26.96
265	extinct	26.5	27.42
259	extinct	26.48	27.65
259	extinct	26.94	28.21
259	extinct	26.5	27.88
340	extinct	23.5	23.77
316	extinct	21.95	24.2
307	extinct	24.53	25.36
301	extinct	24.41	25.27
282	extinct	23.81	25.07
281	extinct	22.67	26.86
281	extinct	23.05	23.77
281	extinct	23.55	24.35
281	extinct	25.09	26.85
280	extinct	26.48	27.09
280	extinct	26.47	26.68
278	extinct	26.19	26.49
278	extinct	24.89	25.37
278	extinct	26.05	26.06
278	extinct	24.33	24.69
277	extinct	25.86	25.96
256	extinct	25.78	28.04
252	extinct	26.59	27.97
200	extinct	31.88	32.19
164	extinct	28.06	31.58
164	extinct	32.46	34.32
206	extinct	23.66	28.55
206	extinct	31.04	32.44
206	extinct	26.38	27.05
206	extinct	25.23	27.11
206	extinct	30.41	31.33
209	extinct	23.23	29.93
212	extinct	27.79	30.09
212	extinct	27.86	28.08
212	extinct	22.7	26.93
224	extinct	27.77	28.64
224	extinct	24.54	30.48
224	extinct	25.2	29.52
224	extinct	24.83	26.35
229	extinct	25.46	26.41
229	extinct	29.95	30.82
188	extinct	29.47	32.96
188	extinct	20.03	32.38
230	extinct	23.53	25.71
237	extinct	24.43	27.79
237	extinct	23.76	24.71
237	extinct	26.44	27.56
237	extinct	28.41	28.98
237	extinct	28.5	29.22
237	extinct	20.81	28.72
237	extinct	23.1	24.76
237	extinct	24.46	29.53
242	extinct	22.43	25.3
242	extinct	23.49	28.48
242	extinct	24.29	28.89
242	extinct	22.8	23.46
242	extinct	28.77	29.47
240	extinct	22.85	25.13
356	extinct	20.36	21.92
356	extinct	21.33	21.69
355	extinct	22.45	23.04
355	extinct	22.27	22.62
355	extinct	22.3	23.13
354	extinct	22.29	22.86
354	extinct	22.35	22.87
351	extinct	22.23	23.01
275	extinct	20.11	22.0
348	extinct	21.33	23.21
348	extinct	20.86	21.89
358	extinct	20.9	21.75
358	extinct	19.69	21.65
358	extinct	21.71	21.87
345	extinct	22.17	23.06
345	extinct	20.97	22.01
345	extinct	20.99	21.82
343	extinct	20.6	20.99
343	extinct	21.59	23.62
343	extinct	21.33	21.96
338	extinct	20.47	21.67
338	extinct	20.93	23.91
338	extinct	23.04	24.01
338	extinct	19.71	20.77
338	extinct	23.01	23.38
336	extinct	18.3	19.6
336	extinct	19.73	22.35
349	extinct	22.19	23.14
349	extinct	19.33	21.26
347	extinct	19.71	21.75
347	extinct	18.6	20.66
347	extinct	22.4	23.03
335	extinct	22.83	23.8
362	extinct	22.06	22.81
362	extinct	22.28	22.82
362	extinct	22.16	22.88
362	extinct	22.04	22.75
362	extinct	22.18	22.92
362	extinct	22.1	22.73
364	extinct	22.11	22.61
364	extinct	22.27	22.92
366	extinct	21.76	22.05
366	extinct	20.52	22.8
371	extinct	21.1	21.88
371	extinct	19.28	19.52
375	extinct	20.61	21.59
375	extinct	20.88	21.16
375	extinct	19.68	20.65
375	extinct	20.43	22.05
375	extinct	19.18	21.9
375	extinct	20.93	21.9
375	extinct	20.19	22.21
375	extinct	18.93	19.9
376	extinct	20.0	20.48
389	extinct	20.51	21.22
359	extinct	20.35	21.86
359	extinct	20.78	21.47
334	extinct	22.47	24.08
334	extinct	20.34	21.45
334	extinct	22.61	23.96
326	extinct	20.11	20.6
326	extinct	19.44	23.26
326	extinct	20.14	24.17
326	extinct	20.55	23.23
326	extinct	19.88	21.1
326	extinct	19.54	22.22
329	extinct	21.16	21.58
276	extinct	17.97	26.08
271	extinct	22.65	25.27
238	extinct	18.44	27.04
238	extinct	17.87	26.15
283	extinct	21.6	23.14
283	extinct	20.75	22.84
283	extinct	19.12	20.34
283	extinct	19.55	26.93
205	extinct	27.77	32.05
204	extinct	26.45	32.57
286	extinct	17.69	19.12
287	extinct	16.11	17.13
287	extinct	19.27	20.38
287	extinct	25.32	26.71
287	extinct	14.76	18.7
288	extinct	20.81	25.64
289	extinct	22.36	24.9
289	extinct	23.45	24.41
293	extinct	23.11	25.04
293	extinct	22.1	22.32
293	extinct	20.8	24.59
293	extinct	20.33	22.82
293	extinct	19.12	24.57
293	extinct	23.67	23.97
296	extinct	19.48	25.27
393	extinct	20.31	20.51
303	extinct	23.92	25.49
305	extinct	19.34	20.19
305	extinct	17.56	23.93
306	extinct	24.49	24.59
306	extinct	20.89	22.52
306	extinct	21.69	24.72
306	extinct	24.48	24.9
306	extinct	21.89	24.63
196	extinct	17.66	17.76
308	extinct	18.86	23.24
313	extinct	24.1	25.01
315	extinct	22.56	24.12
315	extinct	22.79	23.3
315	extinct	20.85	21.35
321	extinct	21.34	24.35
325	extinct	22.62	24.29
325	extinct	23.09	24.29
302	extinct	23.97	25.41
302	extinct	21.45	23.65
302	extinct	22.59	23.52
302	extinct	20.77	24.57
414	extinct	19.92	20.51
414	extinct	19.84	20.62
