collection_no	source_database	collection.authorizer	family_name	family_extant	genus_extant	species_extant	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	country	state	period	epoch	stage	ma_max	ma_min	formation
13081	Fossilworks	"J. Alroy"	Hegetotheriidae	no		no		Sallatherium		altiplanense					Bolivia	"La Paz"				29.000	21.000	"Sala Beds"
13081	Fossilworks	"J. Alroy"	Interatheriidae	no		no		Federicoanaya		sallaensis					Bolivia	"La Paz"				29.000	21.000	"Sala Beds"
13081	Fossilworks	"J. Alroy"						Asteromys		bolivianus					Bolivia	"La Paz"				29.000	21.000	"Sala Beds"
13276	Fossilworks	"J. Alroy"	Glyptodontidae	yes	no			Glyptatelus		sp.					Bolivia	None				29.000	21.000	
13276	Fossilworks	"J. Alroy"	Hegetotheriidae	no	no			Prohegetotherium		sp.					Bolivia	None				29.000	21.000	
13276	Fossilworks	"J. Alroy"			no	no	"n. gen."	Eoviscaccia	"n. sp."	boliviana	cf.	Scotamys		sp.	Bolivia	None				29.000	21.000	
13276	Fossilworks	"J. Alroy"	Cephalomyidae	no	no			Cephalomyopsis	informal	"morphotype 2"		Eocardiidae		indet.	Bolivia	None				29.000	21.000	
13276	Fossilworks	"J. Alroy"	Mesotheriidae	yes	yes	no		Trachytherus		spegazzinianus		Trachytherus	cf.	spegazzinianus	Bolivia	None				29.000	21.000	
13404	PaleoDB	"M. Uhen"	Dugongidae	yes	no	no		Metaxytherium		crataegense		Metaxytherium		calvertense	Peru	Piura	Neogene	Miocene		23.030	11.608	Montera
13501	Fossilworks	"J. Alroy"	Sillustaniidae			no	"n. gen."	Roberthoffstetteria	"n. sp."	nationalgeographica					Bolivia	Mizque	Paleogene	Paleocene	Danian	66.043	61.700	"Santa Lucía"
13501	Fossilworks	"J. Alroy"				no	"n. gen."	Szalinia	"n. sp."	gracilis					Bolivia	Mizque	Paleogene	Paleocene	Danian	66.043	61.700	"Santa Lucía"
13501	Fossilworks	"J. Alroy"	Alcidedorbignyidae			no	"n. gen."	Alcidedorbignya	"n. sp."	inopinata					Bolivia	Mizque	Paleogene	Paleocene	Danian	66.043	61.700	"Santa Lucía"
13501	Fossilworks	"J. Alroy"	Pucadelphydae			no	"n. gen."	Pucadelphys	"n. sp."	andinus					Bolivia	Mizque	Paleogene	Paleocene	Danian	66.043	61.700	"Santa Lucía"
13501	Fossilworks	"J. Alroy"	Mayulestidae			no	"n. gen."	Mayulestes	"n. sp."	ferox					Bolivia	Mizque	Paleogene	Paleocene	Danian	66.043	61.700	"Santa Lucía"
13501	Fossilworks	"J. Alroy"	Mayulestidae			no	"n. gen."	Allqokirus	"n. sp."	australis					Bolivia	Mizque	Paleogene	Paleocene	Danian	66.043	61.700	"Santa Lucía"
13501	Fossilworks	"J. Alroy"	Pucadelphydae			no	"n. gen."	Andinodelphys	"n. sp."	cochabambensis					Bolivia	Mizque	Paleogene	Paleocene	Danian	66.043	61.700	"Santa Lucía"
13501	Fossilworks	"J. Alroy"	Hyopsodontidae	no		no		Molinodus		suarezi					Bolivia	Mizque	Paleogene	Paleocene	Danian	66.043	61.700	"Santa Lucía"
13501	Fossilworks	"J. Alroy"	Mioclaenidae	no		no	"n. gen."	Tiuclaenus	"n. sp."	minutus					Bolivia	Mizque	Paleogene	Paleocene	Danian	66.043	61.700	"Santa Lucía"
13501	Fossilworks	"J. Alroy"	Mioclaenidae	no		no	"n. gen."	Tiuclaenus	"n. sp."	minutus	"n. gen."	Kollpania	"n. sp."	tiupampina	Bolivia	Mizque	Paleogene	Paleocene	Danian	66.043	61.700	"Santa Lucía"
13501	Fossilworks	"J. Alroy"	Mioclaenidae	no		no		Tiuclaenus	"n. sp."	cotasi					Bolivia	Mizque	Paleogene	Paleocene	Danian	66.043	61.700	"Santa Lucía"
13501	Fossilworks	"J. Alroy"	Mioclaenidae	no		no		Tiuclaenus	"n. sp."	robustus					Bolivia	Mizque	Paleogene	Paleocene	Danian	66.043	61.700	"Santa Lucía"
13501	Fossilworks	"J. Alroy"	Mioclaenidae	no		no		Pucanodus		gagnieri					Bolivia	Mizque	Paleogene	Paleocene	Danian	66.043	61.700	"Santa Lucía"
13501	Fossilworks	"J. Alroy"	Mioclaenidae	no		no		Simoclaenus		sylvaticus					Bolivia	Mizque	Paleogene	Paleocene	Danian	66.043	61.700	"Santa Lucía"
13501	Fossilworks	"J. Alroy"	Didelphidae	yes		no	"n. gen."	Incadelphys	"n. sp."	antiquus					Bolivia	Mizque	Paleogene	Paleocene	Danian	66.043	61.700	"Santa Lucía"
13501	Fossilworks	"J. Alroy"	Didelphidae	yes		no	"n. gen."	Tiulordia	"n. sp."	floresi					Bolivia	Mizque	Paleogene	Paleocene	Danian	66.043	61.700	"Santa Lucía"
13501	Fossilworks	"J. Alroy"	Jaskhadelphyidae			no	"n. gen."	Jaskhadelphys	"n. sp."	minutus					Bolivia	Mizque	Paleogene	Paleocene	Danian	66.043	61.700	"Santa Lucía"
13501	Fossilworks	"J. Alroy"	Microbiotheriidae			no	"n. gen."	Khasia	"n. sp."	cordillerensis					Bolivia	Mizque	Paleogene	Paleocene	Danian	66.043	61.700	"Santa Lucía"
13501	Fossilworks	"J. Alroy"						Peradectes		austrinum					Bolivia	Mizque	Paleogene	Paleocene	Danian	66.043	61.700	"Santa Lucía"
13501	Fossilworks	"J. Alroy"	Cimolestidae		no		cf.	Cimolestes		sp.					Bolivia	Mizque	Paleogene	Paleocene	Danian	66.043	61.700	"Santa Lucía"
13501	Fossilworks	"J. Alroy"	Didelphidae	yes		no	"n. gen."	Mizquedelphys	"n. sp."	pilpinensis					Bolivia	Mizque	Paleogene	Paleocene	Danian	66.043	61.700	"Santa Lucía"
13502	Fossilworks	"J. Alroy"					"n. gen."	Xenocardia	"n. sp."	diversidens					Argentina	"San Juan"	Neogene	Pliocene	Zanclean	5.332	3.600	Huachipampa
13503	Fossilworks	"J. Alroy"	Hydrochoeridae	yes	no	no	"n. gen."	Phugatherium	"n. sp."	cataclisticum	"n. gen."	Neoanchimys	"n. sp."	pisanoi	Argentina	"Buenos Aires"	Neogene			6.800	4.000	"Monte Hermoso"
13503	Fossilworks	"J. Alroy"	Procyonidae	yes		no		Parahyaenodon		argentinus					Argentina	"Buenos Aires"	Neogene			6.800	4.000	"Monte Hermoso"
13503	Fossilworks	"J. Alroy"	Myrmecophagidae	yes		no	"n. gen."	Nunezia	"n. sp."	caroloameghinoi					Argentina	"Buenos Aires"	Neogene			6.800	4.000	"Monte Hermoso"
13503	Fossilworks	"J. Alroy"			no	no	"n. gen."	Notocynus	"n. sp."	hermosicus					Argentina	"Buenos Aires"	Neogene			6.800	4.000	"Monte Hermoso"
13503	Fossilworks	"J. Alroy"	Haplodontheriidae		no	no		Trigodon		gaudryi					Argentina	"Buenos Aires"	Neogene			6.800	4.000	"Monte Hermoso"
13503	Fossilworks	"J. Alroy"	Dasypodidae	yes	no			Macroeuphractus		australis		Dasypotherium		australis	Argentina	"Buenos Aires"	Neogene			6.800	4.000	"Monte Hermoso"
13503	Fossilworks	"J. Alroy"	Caviidae	yes	yes			Hydrochoerus		sp.					Argentina	"Buenos Aires"	Neogene			6.800	4.000	"Monte Hermoso"
13503	Fossilworks	"J. Alroy"						Ctenomys		priscus					Argentina	"Buenos Aires"	Neogene			6.800	4.000	"Monte Hermoso"
13503	Fossilworks	"J. Alroy"	Hydrochoeridae	yes	no			Phugatherium		cataclysticum					Argentina	"Buenos Aires"	Neogene			6.800	4.000	"Monte Hermoso"
13503	Fossilworks	"J. Alroy"						Anchimysops		villalobosi					Argentina	"Buenos Aires"	Neogene			6.800	4.000	"Monte Hermoso"
13503	Fossilworks	"J. Alroy"	Hydrochoeridae	yes	no	no		Phugatherium		cataclisticum		Chapalmatherium		perturbidum	Argentina	"Buenos Aires"	Neogene			6.800	4.000	"Monte Hermoso"
13522	Fossilworks	"J. Alroy"	Iniidae	yes	no	no	"n. gen."	Ischyrorhynchus	"n. sp."	vanbenedeni					Argentina	"Entre Rios"	Neogene	Miocene	Tortonian	11.608	7.246	"Entre Rios"
13522	Fossilworks	"J. Alroy"	Iniidae	yes	no			Saurocetes	"n. sp."	obliquus					Argentina	"Entre Rios"	Neogene	Miocene	Tortonian	11.608	7.246	"Entre Rios"
13522	Fossilworks	"J. Alroy"			no		"n. gen."	Pontivaga	"n. sp."	sp.	"n. gen."	Pontivaga	"n. sp."	fischeri	Argentina	"Entre Rios"	Neogene	Miocene	Tortonian	11.608	7.246	"Entre Rios"
13522	Fossilworks	"J. Alroy"	Iniidae	yes	no	no	"n. gen."	Saurocetes	"n. sp."	argentinus					Argentina	"Entre Rios"	Neogene	Miocene	Tortonian	11.608	7.246	"Entre Rios"
13522	Fossilworks	"J. Alroy"	Cetotheriidae		no	no		Palaeobalaena		bergi		Palaeobalaena		bergii	Argentina	"Entre Rios"	Neogene	Miocene	Tortonian	11.608	7.246	"Entre Rios"
13522	Fossilworks	"J. Alroy"	Cetotheriidae		no			Palaeobalaena		dubia					Argentina	"Entre Rios"	Neogene	Miocene	Tortonian	11.608	7.246	"Entre Rios"
13522	Fossilworks	"J. Alroy"	Iniidae	yes	no	no	"n. gen."	Ischyrorhynchus	"n. sp."	vanbenedeni	"n. gen."	Anisodelphis	"n. sp."	brevirostratus	Argentina	"Entre Rios"	Neogene	Miocene	Tortonian	11.608	7.246	"Entre Rios"
13522	Fossilworks	"J. Alroy"	Iniidae	yes	no			Saurocetes	"n. sp."	acutirostratus		Saurodelphis	"n. sp."	acutirostratus	Argentina	"Entre Rios"	Neogene	Miocene	Tortonian	11.608	7.246	"Entre Rios"
13522	Fossilworks	"J. Alroy"	Hydrochoeridae	yes	no	no		Phugatherium		cataclisticum		Protohydrochoerus		sp.	Argentina	"Entre Rios"	Neogene	Miocene	Tortonian	11.608	7.246	"Entre Rios"
