"","collection_no","source_database","collection.authorizer","family_name","family_extant","genus_extant","species_extant","occurrence.genus_reso","occurrence.genus_name","occurrence.species_reso","occurrence.species_name","original.genus_reso","original.genus_name","original.species_reso","original.species_name","country","state","period","epoch","stage","ma_max","ma_min","formation"
"20",12975,"Fossilworks","J. Alroy","","","","","","Prothoatherium","","colombianus","","","","","Colombia","Huila Department","Neogene","Miocene","",23.03,5.332,"La Dorado"
"21",12975,"Fossilworks","J. Alroy","Dasypodidae","yes","no","no","","Anadasypus","","hondanus","","","","","Colombia","Huila Department","Neogene","Miocene","",23.03,5.332,"La Dorado"
"22",13079,"PaleoDB","M. Uhen","Ziphiidae","yes","","no","n. gen.","Ninoziphius","n. sp.","platyrostris","","","","","Peru","","Neogene","Miocene","Messinian",6.35,5.47,"Pisco"
"23",13079,"PaleoDB","M. Uhen","Phocoenidae","yes","no","no","n. gen.","Piscolithax","n. sp.","longirostris","","","","","Peru","","Neogene","Miocene","Messinian",6.35,5.47,"Pisco"
"24",13079,"PaleoDB","M. Uhen","Pontoporiidae","yes","no","no","n. gen.","Pliopontos","n. sp.","littoralis","","","","","Peru","","Neogene","Miocene","Messinian",6.35,5.47,"Pisco"
"25",13079,"PaleoDB","M. Uhen","Odobenocetopsidae","","no","no","n. gen.","Odobenocetops","n. sp.","peruvianus","","","","","Peru","","Neogene","Miocene","Messinian",6.35,5.47,"Pisco"
"26",13079,"PaleoDB","M. Uhen","Cetotheriidae","","","no","n. gen.","Piscobalaena","n. sp.","nana","","","","","Peru","","Neogene","Miocene","Messinian",6.35,5.47,"Pisco"
"27",13079,"PaleoDB","M. Uhen","Delphinidae","yes","no","no","","Hemisyntrachelus","n. sp.","oligodon","","Tursiops","n. sp.","oligodon","Peru","","Neogene","Miocene","Messinian",6.35,5.47,"Pisco"
"28",13079,"PaleoDB","M. Uhen","Odobenocetopsidae","","no","no","","Odobenocetops","","leptodon","","","","","Peru","","Neogene","Miocene","Messinian",6.35,5.47,"Pisco"
"29",13079,"PaleoDB","M. Uhen","Phocidae","yes","no","no","n. gen.","Acrophoca","n. sp.","longirostris","","","","","Peru","","Neogene","Miocene","Messinian",6.35,5.47,"Pisco"
"30",13079,"PaleoDB","M. Uhen","Phocidae","yes","no","no","n. gen.","Piscophoca","n. sp.","pacifica","","","","","Peru","","Neogene","Miocene","Messinian",6.35,5.47,"Pisco"
"31",13079,"PaleoDB","M. Uhen","","","","no","","Hydrarctos","","lomasiensis","","Arctocephalus","","lomasiensis","Peru","","Neogene","Miocene","Messinian",6.35,5.47,"Pisco"
"32",13079,"PaleoDB","M. Uhen","","","no","no","","Thalassocnus","n. sp.","littoralis","","","","","Peru","","Neogene","Miocene","Messinian",6.35,5.47,"Pisco"
"33",13079,"PaleoDB","M. Uhen","Kogiidae","yes","no","","","Scaphokogia","","NA","","","","","Peru","","Neogene","Miocene","Messinian",6.35,5.47,"Pisco"
"34",13079,"PaleoDB","M. Uhen","Phocidae","yes","","no","n. gen.","Hadrokirus","n. sp.","martini","","","","","Peru","","Neogene","Miocene","Messinian",6.35,5.47,"Pisco"
"35",13081,"Fossilworks","J. Alroy","Argyrolagidae","no","","no","","Proargyrolagus","","bolivianus","","","","","Bolivia","La Paz","","","",29,21,"Sala Beds"
"36",13081,"Fossilworks","J. Alroy","Hegetotheriidae","no","no","no","","Prohegetotherium","","schiaffinoi","","","","","Bolivia","La Paz","","","",29,21,"Sala Beds"
"37",13081,"Fossilworks","J. Alroy","Hegetotheriidae","no","","no","","Sallatherium","","altiplanense","","","","","Bolivia","La Paz","","","",29,21,"Sala Beds"
"38",13081,"Fossilworks","J. Alroy","Interatheriidae","no","","no","","Federicoanaya","","sallaensis","","","","","Bolivia","La Paz","","","",29,21,"Sala Beds"
"39",13081,"Fossilworks","J. Alroy","","","","","","Asteromys","","bolivianus","","","","","Bolivia","La Paz","","","",29,21,"Sala Beds"
"40",13276,"Fossilworks","J. Alroy","Glyptodontidae","yes","no","","","Glyptatelus","","NA","","","","","Bolivia","None","","","",29,21,""
"41",13276,"Fossilworks","J. Alroy","Hegetotheriidae","no","no","","","Prohegetotherium","","NA","","","","","Bolivia","None","","","",29,21,""
"42",13276,"Fossilworks","J. Alroy","","","no","no","n. gen.","Eoviscaccia","n. sp.","boliviana","cf.","Scotamys","","sp.","Bolivia","None","","","",29,21,""
"43",13276,"Fossilworks","J. Alroy","Cephalomyidae","no","no","","","Cephalomyopsis","informal","NA","","Eocardiidae","","indet.","Bolivia","None","","","",29,21,""
"44",13276,"Fossilworks","J. Alroy","Mesotheriidae","yes","yes","no","","Trachytherus","","spegazzinianus","","Trachytherus","cf.","spegazzinianus","Bolivia","None","","","",29,21,""
"45",13404,"PaleoDB","M. Uhen","Dugongidae","yes","no","no","","Metaxytherium","","crataegense","","Metaxytherium","","calvertense","Peru","Piura","Neogene","Miocene","",23.03,11.608,"Montera"
"46",13501,"Fossilworks","J. Alroy","Sillustaniidae","","","no","n. gen.","Roberthoffstetteria","n. sp.","nationalgeographica","","","","","Bolivia","Mizque","Paleogene","Paleocene","Danian",66.043,61.7,"Santa Lucía"
"47",13501,"Fossilworks","J. Alroy","","","","no","n. gen.","Szalinia","n. sp.","gracilis","","","","","Bolivia","Mizque","Paleogene","Paleocene","Danian",66.043,61.7,"Santa Lucía"
"48",13501,"Fossilworks","J. Alroy","Alcidedorbignyidae","","","no","n. gen.","Alcidedorbignya","n. sp.","inopinata","","","","","Bolivia","Mizque","Paleogene","Paleocene","Danian",66.043,61.7,"Santa Lucía"
"49",13501,"Fossilworks","J. Alroy","Pucadelphydae","","","no","n. gen.","Pucadelphys","n. sp.","andinus","","","","","Bolivia","Mizque","Paleogene","Paleocene","Danian",66.043,61.7,"Santa Lucía"
"50",13501,"Fossilworks","J. Alroy","Mayulestidae","","","no","n. gen.","Mayulestes","n. sp.","ferox","","","","","Bolivia","Mizque","Paleogene","Paleocene","Danian",66.043,61.7,"Santa Lucía"
"51",13501,"Fossilworks","J. Alroy","Mayulestidae","","","no","n. gen.","Allqokirus","n. sp.","australis","","","","","Bolivia","Mizque","Paleogene","Paleocene","Danian",66.043,61.7,"Santa Lucía"
"52",13501,"Fossilworks","J. Alroy","Pucadelphydae","","","no","n. gen.","Andinodelphys","n. sp.","cochabambensis","","","","","Bolivia","Mizque","Paleogene","Paleocene","Danian",66.043,61.7,"Santa Lucía"
"53",13501,"Fossilworks","J. Alroy","Hyopsodontidae","no","","no","","Molinodus","","suarezi","","","","","Bolivia","Mizque","Paleogene","Paleocene","Danian",66.043,61.7,"Santa Lucía"
"54",13501,"Fossilworks","J. Alroy","Mioclaenidae","no","","no","n. gen.","Tiuclaenus","n. sp.","minutus","","","","","Bolivia","Mizque","Paleogene","Paleocene","Danian",66.043,61.7,"Santa Lucía"
"55",13501,"Fossilworks","J. Alroy","Mioclaenidae","no","","no","n. gen.","Tiuclaenus","n. sp.","minutus","n. gen.","Kollpania","n. sp.","tiupampina","Bolivia","Mizque","Paleogene","Paleocene","Danian",66.043,61.7,"Santa Lucía"
"56",13501,"Fossilworks","J. Alroy","Mioclaenidae","no","","no","","Tiuclaenus","n. sp.","cotasi","","","","","Bolivia","Mizque","Paleogene","Paleocene","Danian",66.043,61.7,"Santa Lucía"
"57",13501,"Fossilworks","J. Alroy","Mioclaenidae","no","","no","","Tiuclaenus","n. sp.","robustus","","","","","Bolivia","Mizque","Paleogene","Paleocene","Danian",66.043,61.7,"Santa Lucía"
"58",13501,"Fossilworks","J. Alroy","Mioclaenidae","no","","no","","Pucanodus","","gagnieri","","","","","Bolivia","Mizque","Paleogene","Paleocene","Danian",66.043,61.7,"Santa Lucía"
"59",13501,"Fossilworks","J. Alroy","Mioclaenidae","no","","no","","Simoclaenus","","sylvaticus","","","","","Bolivia","Mizque","Paleogene","Paleocene","Danian",66.043,61.7,"Santa Lucía"
