order;family;genus;accepted_name;status;gen_lvl_status;cc;state;locality;formation;period;epoch;Sub_epoch;stage;min_ma;max_ma;collection_no;authorizer;primary_reference
Cingulata;Pampatheriidae;Pampatherium;Pampatherium;extinct;extinct;BO;Tarija;;;Quaternary;Pleistocene;Ensenadan-Lujanian;Ensenadan-Lujanian;0.0117;2;142158;C. Jaramillo;M. Coltorti, L. Abbazzi, and M. P. Ferretti, P. Iacumin, F. Paredes-Rios, M. Pellegrini, P. Pieruccini, M. Rustioni, G. Tito, L. Rook. 2007. Last glacial mammals in South America: a new scenario from the Tarija basin (Bolivia). Naturwissenschaften 94:288-299
Cingulata;Pampatheriidae;Pampatherium;Pampatherium;extinct;extinct;BR;Bahia;;;Quaternary;Pleistocene;Late Pleistocene-Late Holocene;Late Pleistocene-Late Holocene;0.0117;0.3;212448;P. Mannion;R. Costa da Silva, M. Berbert-Born, and D. E. F. Bustamante, T. N. Santoro, F. Sedor, L. dos Santos Avilla. 2019. Diversity and preservation of Pleistocene tetrapods from caves of southwestern Bahia, Brazil. Journal of South American Earth Sciences 90:233-254
Cingulata;Pampatheriidae;Pampatherium;Pampatherium;extinct;extinct;BR;Ceara;;;Quaternary;Pleistocene;Pleistocene;Lujanian;0.0117;2.58;71301;J. Alroy;C. D. Paula Couto. 1980. Fossil Pleistocene to Sub-Recent Mammals from Northeastern Brazil.  I - Edentata Megalonychidae. Anais da Academia Brasileira de Ciencas 52(1):143-151
Cingulata;Pampatheriidae;Pampatherium;Pampatherium;extinct;extinct;BR;Mato Grosso do Sul;Serra do Bodoquena;;Quaternary;Pleistocene;Pleistocene;Pleistocene;0.0117;2.58;92814;J. Alroy;L. O. Salles, C. Cartelle, and P. G. Guedes, P. C. Boggiani, A. Janoo, C. A. M. Russo. 2006. Quaternary mammals from Serra do Bodoquena, Mato Grosso do Sul, Brazil. Boletim do Museu Nacional 521:1-12
Cingulata;Pampatheriidae;Pampatherium;Pampatherium;extinct;extinct;BR;Paraiba;;;Quaternary;Pleistocene;Late Pleistocene?;Late Pleistocene?;0.0117;0.3;71298;J. Alroy;C. D. Paula Couto. 1980. Fossil Pleistocene to Sub-Recent Mammals from Northeastern Brazil.  I - Edentata Megalonychidae. Anais da Academia Brasileira de Ciencas 52(1):143-151
Cingulata;Pampatheriidae;Pampatherium;Pampatherium;extinct;extinct;BR;PiauÌ;;;Quaternary;Pleistocene;Pleistocene;Pleistocene;0.0117;2.58;211632;P. Mannion;L. Kerber, E. L. Mayer, and A. M. Ribeiro, M. G. Vucetich. 2016. Late Quaternary caviomorph rodents (Rodentia: Hystricognathi) from the Serra da Capivara, northeastern Brazil, with description of a new taxon. Historical Biology 28(4):439-458
Cingulata;Pampatheriidae;Pampatherium;Pampatherium;extinct;extinct;BR;Rio Grande do Sul;;;Quaternary;Pleistocene;Pleistocene;Pleistocene;0.0117;2.58;147598;P. Holroyd;….V. Oliveira, F.J. Prevosti, and JC Pereira. 2005. Protocyon troglodytes (Lund) (Mammalia, Carnivora) in the Late Pleistocene of Rio Grande do Sul and their paleoecological significance. Revista Brasileira de Paleontologia 8(3):215-220
Cingulata;Pampatheriidae;Pampatherium;Pampatherium;extinct;extinct;EC;Santa Elena;;;Quaternary;Pleistocene;Pleistocene;Pleistocene;0.0117;2.58;185519;E. Vlachos;A. G. Edmund. 1965. A late pleistocene fauna from the Santa Elena Peninsula, Ecuador. Royal Ontario Museum, Life Sciences Division (63):1-21
Cingulata;Pampatheriidae;Pampatherium;Pampatherium;extinct;extinct;PY;;;;Quaternary;Pleistocene;Pleistocene;Pleistocene;0.0117;2.58;71292;J. Alroy;R. Hoffstetter. 1978. C R somm Soc geol Fr 1978:32-33
Cingulata;Pampatheriidae;Pampatherium;Pampatherium;extinct;extinct;UY;;;;Quaternary;Pleistocene;Pleistocene;Lujanian;0.0117;2.58;71325;J. Alroy;M. Ubilla, D. Perea, and A. Rinderknecht, A. Corona. 2009. Pleistocene mammals from Uruguay: Biostratigraphic, biogeographic and environmental connotations. Quatern·rio do Rio Grande do Sul. Sociedade Brasileira de PaleontologÌa.
Cingulata;Pampatheriidae;Pampatherium;Pampatherium_humboldtii;extinct;extinct;AR;Buenos Aires;Berazategui;;Quaternary;Pleistocene;Pleistocene;Lujanian;0.0117;2.58;213189;P. Mannion;T. M. Pereira Ferreira, E. L. Mayer, and J. Ferigolo, J. Pereira, A. M. Ribeiro. 2018. Pampatherium humboldtii (Lund, 1839) (Xenarthra, Cingulata) of the Southern Brazilian Quaternary: cranial anatomy and taxonomic remarks. Revista Brasileira de Paleontologia 21(2):158-174
Cingulata;Pampatheriidae;Pampatherium;Pampatherium_humboldtii;extinct;extinct;BO;Tarija;Tarija;Tarija;Quaternary;Pleistocene;Ensenadan-Lujanian;Ensenadan-Lujanian;0.0117;2;70673;D. Croft;L. G. Marshall and T. Sempere. 1991. The Eocene to Pleistocene vertebrates of Bolivia and their stratigraphic context: a review.  In R. Su·rez-Soruco (ed.), FÛsiles y Facies de Bolivia - Vol. 1 Vertebrados (Revista TÈnica de YPFB) 12(3-4):631-652
Cingulata;Pampatheriidae;Pampatherium;Pampatherium_humboldtii;extinct;extinct;BR;Bahia;;;Quaternary;Pleistocene;Bonaerian?;Bonaerian?;0.3;0.7;71295;J. Alroy;H. Lumley, M.-A. Lumley, and M. da C. de Moraes Coutinho Beltrao, Y. Yokoyama, J. Labeyrie, J. Danon, G. Delibrias, C. Falgueres, J. L. Bischoff. 1987. L'Anthropologie 91:917-942
Cingulata;Pampatheriidae;Pampatherium;Pampatherium_humboldtii;extinct;extinct;BR;Minas Gerais;Lagoa Santa;;Quaternary;Pleistocene;Late Pleistocene?;Late Pleistocene?;0.0117;2;140474;P. Mannion;T. M. Pereira Ferreira, E. L. Mayer, and J. Ferigolo, J. Pereira, A. M. Ribeiro. 2018. Pampatherium humboldtii (Lund, 1839) (Xenarthra, Cingulata) of the Southern Brazilian Quaternary: cranial anatomy and taxonomic remarks. Revista Brasileira de Paleontologia 21(2):158-174
Cingulata;Pampatheriidae;Pampatherium;Pampatherium_humboldtii;extinct;extinct;BR;Piaui;S„o Raimundo Nonato (Antoni„o);;Quaternary;Pleistocene;Pleistocene;Lujanian;0.0117;2.58;71332;J. Alroy;C. Guerin. 1991. C. R. Acad. Sci. Paris 312:567-572
Cingulata;Pampatheriidae;Pampatherium;Pampatherium_humboldtii;extinct;extinct;BR;Rio Grande do Sul;Arroio ChuÌ;Santa VitÛria (Barreira III);Quaternary;Pleistocene;Pleistocene;Pleistocene;0.0117;2.58;147598;C. Jaramillo;E. V. Oliveira and J. C. Pereira. 2009. Intertropical cingulates (Mammalia, Xenarthra) from the Quaternary of Southern Brazil: Systematics and paleobiogeographical aspects. Revista Brasileira de Paleontologia 12(3):167-178
Cingulata;Pampatheriidae;Pampatherium;Pampatherium_humboldtii;extinct;extinct;UY;;;;Quaternary;Pleistocene;Pleistocene;Lujanian;0.0117;2.58;71274;J. Alroy;M. Ubilla and M. T. Alberdi. 1990. Hippidion sp. (Mammalia, Perissodactyla, Equidae) en Sedimentos del Pleistoceno Superior del Uruguay (Edad Mamifero Luganense). Estudios Geologia 46:453-464
Cingulata;Pampatheriidae;Pampatherium;Pampatherium_humboldtii;extinct;extinct;VE;Monagas;El Breal de Orocual (ORS-16);;Quaternary;Pleistocene;Late Pliocene;Marplatan;2.58;3.6;144977;P. Mannion;A. D. RincÛn, G. E. Parra, and F. J. Prevosti, M. T. Alberdi, C. J. Bell. 2009. A preliminary assessment of the mammalian fauna from the Pliocene-Pleistocene El Breal de Orocual locality, Monagas state, Venezuela . Museum of Northern Arizona Bulletin 64:593-620
Cingulata;Pampatheriidae;Pampatherium;Pampatherium_humboldtii;extinct;extinct;VE;Zulia;Mene de Inciarte tar pits;;Quaternary;Pleistocene;Pleistocene;Lujanian;0.0117;2.58;63515;J. Alroy;A. D. RincÛn, R. S. White, and H. G. McDonald. 2008. Late Pleistocene cingulates (Mammalia: Xenarthra) from Mene de Inciarte tar pits, Sierra de Perij·, western Venezuela. Journal of Vertebrate Paleontology 28(1):197-207
Cingulata;Pampatheriidae;Pampatherium;Pampatherium_paulacoutoi;extinct;extinct;BR;Bahia;;;Quaternary;Pleistocene;Late Pleistocene-Late Holocene;Late Pleistocene-Late Holocene;0.0117;0.3;148219;C. Jaramillo;C. Cartelle and G. A. Bohorquez. 1984. Pampatherium paulacoutoi, uma nova especie de tatu gigante da Bahia, Brasil (Ledentata, Dasypodidae). Revista Brasileira de Zoologia 2(4):229-254
Cingulata;Pampatheriidae;Pampatherium;Pampatherium_typus;extinct;extinct;AR;Buenos Aires;Centinela del Mar;;Quaternary;Pleistocene;Pleistocene;Lujanian;0.0117;2.58;71287;J. Alroy;J.L. Prado, A.N. Menegaz, and EP Tonni, MC Salemme. 1987. Los Mamiferos de la Fauna Local Paso Otero (Pleistoceno Tardio), Provincia de Buenos Aires. Aspectos Paleoambientales y Biostratigraficos. Ameghiniana 24(3-4):217-233
Cingulata;Pampatheriidae;Pampatherium;Pampatherium_typus;extinct;extinct;AR;Buenos Aires;Luj·n;Lujan;Quaternary;Pleistocene;Pleistocene;Lujanian;0.0117;2.58;71303;J. Alroy;E. P. Tonni, J. L. Prado, and AN Menegaz, MC Salemme. 1985. La Unidad Mamifero (Fauna) Lujanense. Proyeccion de la Estratigrafia Mamaliana al Cuaternario de la Region Pampeana. Ameghiniana 22(3-4):255-261
Cingulata;Pampatheriidae;Pampatherium;Pampatherium_typus;extinct;extinct;AR;Buenos Aires;RÌo QuequÈn Grande (Paso Otero);Lujan (Guerrero mb);Quaternary;Pleistocene;Pleistocene;Lujanian;0.0117;2.58;71347;J. Alroy;E. P. Tonni, W. D. Berman, and F. Fidalgo, F. J. Going, J. C. Quiroga. 1987. La fauna local centinel del mar y una nueva unidad mamifero para el pleistoceno tardio de la provincia de buenos aires (Argentina). Decimo congreso geologico argentino, San Miguel d Tucuman 3:175-177
Cingulata;Pampatheriidae;Pampatherium;Pampatherium_typus;extinct;extinct;AR;Formosa;Villa Escolar;Fortin Tres Pozos;Quaternary;Pleistocene;Pleistocene;Lujanian;0.0117;2.58;114698;M. Uhen;A. E. Zurita, A. R. Mino-Boilini, and A. A. Carlini, M. Iriondo, M. A. Alcaraz. 2009. PaleontologÌa del Chaco Oriental. Una nueva localidad con mamÌferos fÛsiles pleistocenos en el rÌo Bermejo (Formosa, Argentina). Revista Mexicana de Ciencias GeolÛgicas 26(2):277-288
Cingulata;Pampatheriidae;Plaina;Plaina;extinct;extinct;AR;Buenos Aires;Coronel Resales;;Neogene;Pliocene;Early Pliocene;Chapadmalan;3.6;5.333;199156;P. Mannion;A. L. Cione and E. P. Tonni. 1996. Reassesment of the Pliocene-Pleistocene continental time scale of Southern South America. Correlation of the type Chapadmalalan with Bolivian sections. Journal of South American Earth Sciences 9(3/4):221-236
Cingulata;Pampatheriidae;Plaina;Plaina;extinct;extinct;AR;Jujuy;;;Neogene;Pliocene;Early Pliocene;Chapadmalan;3.6;5.333;141894;C. Jaramillo;M. A. Reguero, A. M. Candela, and R. N. Alonso. 2007. Biochronology and biostratigraphy of the UquÌa Formation (Pliocene- early Pleistocene, NW Argentina) and its significance in the Great American Biotic Interchange. Journal of South American Earth Sciences 23:1-16
Cingulata;Pampatheriidae;Plaina;Plaina;extinct;extinct;BO;La Paz;;;Neogene;Pliocene;Montehermosan-Chapadmalan;Montehermosan-Chapadmalan;4;5.333;70641;D. Croft;L. G. Marshall and T. Sempere. 1991. The Eocene to Pleistocene vertebrates of Bolivia and their stratigraphic context: a review.  In R. Su·rez-Soruco (ed.), FÛsiles y Facies de Bolivia - Vol. 1 Vertebrados (Revista TÈnica de YPFB) 12(3-4):631-652
Cingulata;Pampatheriidae;Plaina;Plaina;extinct;extinct;BO;Linares;Inchasi;;Neogene;Pliocene;Early Pliocene;Chapadmalan;3.6;5.333;71112;J. Alroy;B. J. MacFadden, F. Anaya, and J. Argollo. 1993. Magnetic polarity stratigraphy of Inchasi: a Pliocene mammal-bearing locality from the Bolivian Andes deposited just before the Great American Interchange. Earth and Planetary Science Letters 114(2-3):229-241
Cingulata;Pampatheriidae;Plaina;Plaina;extinct;extinct;BO;Oruro;Carrangas;;Neogene;Pliocene;Montehermosan-Chapadmalan;Montehermosan-Chapadmalan;4;5.333;70643;P. Mannion;A. Boscaini, T. J. Gaudin, and B. Mamani Quispe, P. Munch, P.-O. Antoine, F. Pujos. 2019. New well-preserved craniodental remains of Simomylodon uccasamamensis (Xenarthra: Mylodontidae) from the Pliocene of the Bolivian Altiplano: phylogenetic, chronostratigraphic and palaeobiogeographical implications. Zoological Journal of the Linnean Society 185(2):459-486
Cingulata;Pampatheriidae;Plaina;Plaina;extinct;extinct;VE;Falcon;;;Neogene;Pliocene;Early Pliocene;Chapadmalan;3.6;5.333;122033;P. Mannion;J. D. Carrillo?BriceÒo, R. S·nchez, and T. M. Scheyer, J. D. Carrillo , M. Delfino, G. L. Georgalis, L. Kerber, D. Ruiz?Ramoni, J. L. O. Birindelli, E.?A. Cadena, A. F. RincÛn, M. Chavez?Hoffmeister, A. A. Carlini, M. R. Carvalho, R. Trejos?Tamayo, F. Vallejo, C. Jaramillo, D. S. Jones, M. R. S. 2021. A PlioceneñPleistocene continental biota from Venezuela. Swiss Journal of Palaeontology 140:9:1-76
Cingulata;Pampatheriidae;Plaina;Plaina_brocherense;extinct;extinct;AR;CÛrdoba;Los Reartes Valley;Brochero;Neogene;Pliocene;Montehermosan - Chapadmalan;Montehermosan - Chapadmalan;4;5.333;211573;P. Mannion;A. Tauber, J. Krapovickas, and L. E. Cruz, J. Chiesa. 2019. EstratigrafÌa, paleontologÌa y paleoambientes del Plioceno de la provincia de CÛrdoba. Opera lilloana 52: Mioceno al Pleistoceno del centro y norte de Argentina 389(417)
Cingulata;Pampatheriidae;Plaina;Plaina_intermedia;extinct;extinct;AR;Buenos Aires;Monte Hermoso (Farola);Monte Hermoso;Neogene;Pliocene;Early Pliocene;Montehermosan;3.6;5.333;152064;C. Jaramillo;R. L. Tomassini and C. I. Montalvo. 2013. Taphonomic modes on fluvial deposits of the Monte Hermoso Formation (early Pliocene), Buenos Aires province, Argentina. Palaeogeography, Palaeoclimatology, Palaeoecology 369:282-294
Cingulata;Pampatheriidae;Plaina;Plaina_intermedia;extinct;extinct;AR;Buenos Aires;;;Neogene;Pliocene;Early Pliocene;Montehermosan;3.6;5.333;198863;P. Mannion;C. M. Deschamps and R. L. Tomassini. 2016. Late Cenozoic vertebrates from the Southern Pampean region: systematic and bio-chronostratigraphic update.  In M. MartÌnez, D. Olivera (eds.), PalinologÌa del Meso-Cenozoico de Argentina - Volumen en homenaje a Mirta Elena Quattrocchio. PublicaciÛn ElectrÛnica de la AsociaciÛn PaleontolÛgica Argentina. 16(2):202-225
Cingulata;Pampatheriidae;Plaina;Plaina_intermedia;extinct;extinct;BO;Linares;Potosi;;Neogene;Pliocene;Early Pliocene;Chapadmalan;3.6;5.333;71112;C. Jaramillo;F. Anaya and B. J. MacFadden. 1995. Pliocene mammals from Inchasi, Bolivia: The endemic fauna just before the Great American Interchange. Bulletin of the Florida Museum of Natural History 39(3):87-140
Cingulata;Pampatheriidae;Scirrotherium;Scirrotherium;extinct;extinct;AR;Chubut;Valdes Peninsula;;Neogene;Miocene;Late Miocene;Huayquerian;5.333;11.63;205959;P. Mannion;M.T. Dozo, A. Monti, and P. Bouza, M. G. Vucetich, A. L. Cione, E. P. Tonni, G. J. Scillato-YanÈ. 2002. GeologÌa y vertebrados continentales en cercanÌas de Punta Delgada (NeÛgeno de PenÌnsula ValdÈs, Chubut, Argentina). Actas des XV Congreso geologico Argentino
Cingulata;Pampatheriidae;Scirrotherium;Scirrotherium;extinct;extinct;AR;Entre Rios;Juanita;Parana;Neogene;Miocene;Late Miocene;Huayquerian;5.333;11.63;199484;M. Uhen;A. M. Candela, R. A. Bonini, and J. I. Noriega. 2012. First continental vertebrates from the marine Parana ? Formation (Late Miocene, Mesopotamia, Argentina): Chronology, biogeography, and paleoenvironments. Geobios 45:515-526
Cingulata;Pampatheriidae;Scirrotherium;Scirrotherium;extinct;extinct;CO;Guajira;;;Neogene;Miocene;Langhian (Colloncuran?);Langhian (Colloncuran?);13.8;15.5;190376;P. Mannion;K. JimÈnez-Lara. 2020. Systematic revision and redefinition of the genus Scirrotherium Edmund and Theodor, 1997 (Cingulata, Pampatheriidae): Implications for the origin of pampatheriids and the evolution of the South American lineage including Holmesina. Geobios
Cingulata;Pampatheriidae;Scirrotherium;Scirrotherium;extinct;extinct;CO;La Guajira;;;Neogene;Miocene;Langhian (Colloncuran?);Langhian (Colloncuran?);13.8;15.5;156515;P. Mannion;K. JimÈnez-Lara. 2020. Systematic revision and redefinition of the genus Scirrotherium Edmund and Theodor, 1997 (Cingulata, Pampatheriidae): Implications for the origin of pampatheriids and the evolution of the South American lineage including Holmesina. Geobios
Cingulata;Pampatheriidae;Scirrotherium;Scirrotherium;extinct;extinct;PE;;Loreto;;Neogene;Miocene;Tortonian (Huayquerian);Tortonian (Huayquerian);5.333;9;176133;J. Zijlstra;P. Antoine, M. A. Abello, and S. Adnet, A. J. A. Sierra, P. Baby, G. Billet, M. Boivin, Y. CalderÛn, A. Candela, J. Chabain, F. Corfu. 2016. A 60-million-year Cenozoic history of western Amazonian ecosystems in Contamana, eastern Peru. Gondwana Research 31:30-59
Cingulata;Pampatheriidae;Scirrotherium;Scirrotherium;extinct;extinct;VE;;;;Neogene;Miocene;Tortonian (Huayquerian);Tortonian (Huayquerian);5.333;9;200111;E. Vlachos;J. D. Carrillo-BriceÒo, A. E. Reyes-Cespedes, and R. Salas-Gismondi, R. Sanchez. 2018. A new vertebrate continental assemblage from the Tortonian of Venezuela. Swiss Journal of Palaeontology
Cingulata;Pampatheriidae;Scirrotherium;Scirrotherium;extinct;extinct;VE;Lara;;;Neogene;Miocene;Burdigalian (Santacrucian-Colhuehuapian?);Burdigalian (Santacrucian-Colhuehuapian?);16;20;145379;C. Jaramillo;"A. D. RincÛn, A. SolÛrzano, and M. Benammi, P. Vignaud, H. G. McDonald. 2014. Chronology and geology of an Early Miocene mammalian assemblage in North of South America, from Cerro La Cruz (Castillo Formation), Lara State, Venezuela: implications in the ""changing course of Orinoco River"" hypothesis. Andean Geology 41(3):507-528"
Cingulata;Pampatheriidae;Scirrotherium;Scirrotherium_antelucanus;extinct;extinct;CO;Sucre;Los Palmitos;Sincelejo;Neogene;Miocene;Late Miocene - Early Pliocene (Montehermosan-Huayquerian?);Late Miocene - Early Pliocene (Montehermosan-Huayquerian?);4;9;213177;P. Mannion;K. JimÈnez-Lara. 2020. Systematic revision and redefinition of the genus Scirrotherium Edmund and Theodor, 1997 (Cingulata, Pampatheriidae): Implications for the origin of pampatheriids and the evolution of the South American lineage including Holmesina. Geobios
Cingulata;Pampatheriidae;Scirrotherium;Scirrotherium_hondaensis;extinct;extinct;CO;Huila;La Venta (V-4503);La Victoria;Neogene;Miocene;Middle Miocene;Laventan;11.63;15.97;134806;C. Jaramillo;G. Edmund and J. Theodor. 1997. A new giant Pampatheriid Armadillo.  In R. F. Kay, R. H. Madden, J. J. Flynn. (eds.), Vertebrate Paleontology in the Neotropics. The Miocene fauna of La Venta, Colombia. Smithsonian Institution Press.
Cingulata;Pampatheriidae;Scirrotherium;Scirrotherium_hondaensis;extinct;extinct;CO;Huila;La Venta (V-4519);Villavieja (Baraya Mb);Neogene;Miocene;Middle Miocene;Laventan;11.63;15.97;143791;C. Jaramillo;G. Edmund and J. Theodor. 1997. A new giant Pampatheriid Armadillo.  In R. F. Kay, R. H. Madden, J. J. Flynn. (eds.), Vertebrate Paleontology in the Neotropics. The Miocene fauna of La Venta, Colombia. Smithsonian Institution Press.
Cingulata;Pampatheriidae;Scirrotherium;Scirrotherium_hondaensis;extinct;extinct;CO;Huila;La Venta (V-4530);La Victoria;Neogene;Miocene;Middle Miocene;Laventan;11.63;15.97;195735;A. C·rdenas;G. Edmund and J. Theodor. 1997. A new giant Pampatheriid Armadillo.  In R. F. Kay, R. H. Madden, J. J. Flynn. (eds.), Vertebrate Paleontology in the Neotropics. The Miocene fauna of La Venta, Colombia. Smithsonian Institution Press.
Cingulata;Pampatheriidae;Scirrotherium;Scirrotherium_hondaensis;extinct;extinct;CO;Huila;;;Neogene;Miocene;Middle Miocene;Laventan;11.63;15.97;133441;P. Mannion;K. JimÈnez-Lara. 2020. Systematic revision and redefinition of the genus Scirrotherium Edmund and Theodor, 1997 (Cingulata, Pampatheriidae): Implications for the origin of pampatheriids and the evolution of the South American lineage including Holmesina. Geobios
Cingulata;Pampatheriidae;Tonnicinctus;Tonnicinctus_mirus;extinct;extinct;AR;Buenos Aires;Ensenada;;Quaternary;Pleistocene;Ensenadan-Lujanian;Ensenadan-Lujanian;0.0117;2;212352;P. Mannion;F. GÛis, L. R. Gonz·lez Ruiz, and G. J. Scillato-YanÈ, E. Soibelzon. 2015. A Peculiar New Pampatheriidae (Mammalia: Xenarthra: Cingulata) from the Pleistocene of Argentina and Comments on Pampatheriidae Diversity. PLoS ONE 10(6):e0128296:1-25
Cingulata;Pampatheriidae;Tonnicinctus;Tonnicinctus_mirus;extinct;extinct;AR;Santa Fe;;;Quaternary;Pleistocene;Pleistocene;Lujanian;0.0117;2.58;212353;P. Mannion;F. GÛis, L. R. Gonz·lez Ruiz, and G. J. Scillato-YanÈ, E. Soibelzon. 2015. A Peculiar New Pampatheriidae (Mammalia: Xenarthra: Cingulata) from the Pleistocene of Argentina and Comments on Pampatheriidae Diversity. PLoS ONE 10(6):e0128296:1-25
Cingulata;Pampatheriidae;Vassallia;Vassallia;extinct;extinct;AR;Catamarca;;;Neogene;Miocene;Late Miocene;Huayquerian;5.333;11.63;157794;C. Jaramillo;M. A. Reguero and A. M. Candela. 2011. Late cenozoic mammals from the northwest of Argentina.  In J. A: Salfity, R. A. Marquillas (eds.), Cenozoic geology of the Central Andes of Argentina. Salta: INCE (Instituto Cenozoico).
Cingulata;Pampatheriidae;Vassallia;Vassallia;extinct;extinct;UY;;;;Paleogene;Oligocene;Late Oligocene;Deseadan;23.03;27.82;176487;J. Zijlstra;A. Mones and M. Ubilla. 1978. La Edad Deseadense (Oligoceno inferior) de la FormaciÛn Fray Bentos y su contenido paleontolÛgico, con especial referencia a la presencia de Proborhyaena cf. gigantea Ameghino (Marsupialia: Borhyaenidae) en el Uruguay. Nota preliminar. Comunicaciones PaleontolÛgicas del Museo de Historia Natural de Montevideo 7(1):151-158
Cingulata;Pampatheriidae;Vassallia;Vassallia_maxima;extinct;extinct;AR;BelÈn;Catamarca;;Neogene;Pliocene;Zanclean (Montehermosan);Zanclean (Montehermosan);4;5.333;189824;P. Mannion;G. Esteban, S. Georgieff, and N. Nasif, L. Ib·Òez, R. Bonini. 2019. Marco estratigr·fico, paleontologÌa de vertebrados y paleoambientes del Plioceno de Catamarca, Tucum·n y Santiago del Estero, Argentina.  In N. Nasif, G. Esteban, J. Chiesa, A. Chiesa, S. M. Georgrieff (eds.), Mioceno al Pleistoceno del centro y norte de Argentina. Tucum·n: Opera Lilloana. 52:348-366
Cingulata;Pampatheriidae;Vassallia;Vassallia_maxima;extinct;extinct;AR;Catamarca;BelÈn;;Neogene;Miocene;Late Miocene;Huayquerian;5.333;11.63;198548;P. Mannion;G. Esteban, N. Nasif, and S. M. Georgieff. 2014. CronobioestratigrafÌa del Mioceno tardÌo ñ Plioceno temprano, Puerta de Corral Quemado y Villavil, provincia de Catamarca, Argentina. Acta geolÛgica lilloana 26(2):165-192
Cingulata;Pampatheriidae;Vassallia;Vassallia_maxima;extinct;extinct;AR;Catamarca;BelÈn;;Neogene;Pliocene;Zanclean (Montehermosan);Zanclean (Montehermosan);4;5.333;198549;P. Mannion;G. Esteban, N. Nasif, and S. M. Georgieff. 2014. CronobioestratigrafÌa del Mioceno tardÌo ñ Plioceno temprano, Puerta de Corral Quemado y Villavil, provincia de Catamarca, Argentina. Acta geolÛgica lilloana 26(2):165-192
Cingulata;Pampatheriidae;Vassallia;Vassallia_maxima;extinct;extinct;AR;Catamarca;BelÈn;;Neogene;Pliocene;Early Pliocene;Chapadmalan;3.6;5.333;198555;P. Mannion;G. Esteban, N. Nasif, and S. M. Georgieff. 2014. CronobioestratigrafÌa del Mioceno tardÌo ñ Plioceno temprano, Puerta de Corral Quemado y Villavil, provincia de Catamarca, Argentina. Acta geolÛgica lilloana 26(2):165-192
Cingulata;Pampatheriidae;Vassallia;Vassallia_maxima;extinct;extinct;AR;Catamarca;El CajÛn;Aloformation Playa del Zorro;Neogene;Miocene;Late Miocene;Huayquerian;5.333;11.63;204641;P. Mannion;G. I. Esteban and N. L. Nasif. 1996. Nuevos Dasypodidae (Mammalia, Xenarthra) del Mioceno tardio del Valle del Cajon, Catamarca, Argentina. Ameghiniana 33(3):327-334
Cingulata;Pampatheriidae;Vassallia;Vassallia_maxima;extinct;extinct;AR;Catamarca;Puerta de Corral Quemado;Andalhuala;Neogene;Miocene;Huayquerian - Chapadmalan;Huayquerian - Chapadmalan;5.333;9;198546;P. Mannion;G. Esteban, N. Nasif, and S. M. Georgieff. 2014. CronobioestratigrafÌa del Mioceno tardÌo ñ Plioceno temprano, Puerta de Corral Quemado y Villavil, provincia de Catamarca, Argentina. Acta geolÛgica lilloana 26(2):165-192
Cingulata;Pampatheriidae;Vassallia;Vassallia_maxima;extinct;extinct;AR;Catamarca;Villavil;Chiquimil (El Jarillal mb);Neogene;Miocene;Late Miocene;Huayquerian;5.333;11.63;198547;P. Mannion;G. Esteban, N. Nasif, and S. M. Georgieff. 2014. CronobioestratigrafÌa del Mioceno tardÌo ñ Plioceno temprano, Puerta de Corral Quemado y Villavil, provincia de Catamarca, Argentina. Acta geolÛgica lilloana 26(2):165-192
Cingulata;Pampatheriidae;Vassallia;Vassallia_maxima;extinct;extinct;AR;Catamarca;;;Neogene;Miocene;Huayquerian-Montehermosan;Huayquerian-Montehermosan;5.333;9;203948;P. Holroyd;G. De Iuliis and A.G. Edmund. 2002. Vassallia maxima Castellanos, 1946 (Mammalia: Xenarthra: Pampatheriidae), from Puerta del Corral Quemado (Late Miocene to Early Pliocene), Catamarca Province, Argentina. Smithsonian contributions to paleobiology 93:49-64
Cingulata;Pampatheriidae;Vassallia;Vassallia_minuta;extinct;extinct;AR;BelÈn;Catamarca;;Neogene;Pliocene;Zanclean (Montehermosan);Zanclean (Montehermosan);4;5.333;189824;P. Mannion;G. Esteban, S. Georgieff, and N. Nasif, L. Ib·Òez, R. Bonini. 2019. Marco estratigr·fico, paleontologÌa de vertebrados y paleoambientes del Plioceno de Catamarca, Tucum·n y Santiago del Estero, Argentina.  In N. Nasif, G. Esteban, J. Chiesa, A. Chiesa, S. M. Georgrieff (eds.), Mioceno al Pleistoceno del centro y norte de Argentina. Tucum·n: Opera Lilloana. 52:348-366
Cingulata;Pampatheriidae;Vassallia;Vassallia_minuta;extinct;extinct;AR;Catamarca;Villavil;Chiquimil (El Jarillal mb);Neogene;Miocene;Late Miocene;Huayquerian;5.333;11.63;198546;P. Mannion;G. Esteban, N. Nasif, and S. M. Georgieff. 2014. CronobioestratigrafÌa del Mioceno tardÌo ñ Plioceno temprano, Puerta de Corral Quemado y Villavil, provincia de Catamarca, Argentina. Acta geolÛgica lilloana 26(2):165-192
