order;family;genus;accepted_name;status;gen_lvl_status;cc;state;locality;formation;period;epoch;Sub_epoch;stage;min_ma;max_ma;collection_no;authorizer;primary_reference
;;Plagiocoelus;Plagiocoelus_obliquus;extinct;extinct;Argentina;Santa Cruz;;;Neogene;Miocene;Early Miocene;Santacrucian;15.97;23.03;176570;J. Zijlstra;H. G. McDonald, S. F. VizcaÌno, and M. S. Bargo. 2008. Skeletal anatomy and the fossil history of the Vermilingua.  In S. F. VizcaÌno, W. J. Loughry (eds.), The Biology of the Xenarthra. University of Florida Press.
;;Trilobodon;Trilobodon_brancoi;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Late Eocene;Mustersan;33.9;37.71;176289;J. Zijlstra;G. G. Simpson. 1967. The beginning of the age of mammals in South America. Part II. Bulletin of the American Museum of Natural History 137:1-260
;;Trilobodon;Trilobodon_brancoi;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Late Eocene;Mustersan;33.9;37.71;176290;J. Zijlstra;G. G. Simpson. 1967. The beginning of the age of mammals in South America. Part II. Bulletin of the American Museum of Natural History 137:1-260
;;Wirunodon;Wirunodon_chanku;extinct;extinct;Peru;Departamento de Ucayali;Provincia Atalaya;;Paleogene;Oligocene;Early Oligocene;Early Oligocene;28.1;33.9;149523;C. Jaramillo;F. J. Goin and A. M. Candela. 2004. New Paleogene Marsupials from the Amazon Basin of Eastern Peru. Natural History Museum of Los Angeles County, Science Series 40:15-60
;;Zeusdelphys;Zeusdelphys_complicatus;extinct;extinct;Brazil;Rio de Janeiro;Cabucu;;Paleogene;Eocene;Early Eocene;Early Eocene;47.8;56;118314;P. Mannion;E. V. Oliveira and F. J. Goin. 2011. A reassessment of bunodont metatherians from the Paleogene of Itaborai (Brazil): Systematics and the age of the Itaborian SALMA. Revista Brasileira de Paleontologia 14(2):105-136
;Derorhynchidae;Coona;Coona_gaudryi;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Bartonian;Bartonian;38;41.2;13779;J. Zijlstra;G. G. Simpson. 1967. The beginning of the age of mammals in South America. Part II. Bulletin of the American Museum of Natural History 137:1-260
;Derorhynchidae;Coona;Coona_gaudryi;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Bartonian;Bartonian;38;41.2;176167;J. Zijlstra;L. G. Marshall, C. de Muizon, and R. Hoffstetter. 1984. Fossil Marsupialia in the MusÈum national d'Histoire naturelle collected by AndrÈ TournouÎr from Patagonia, southern Argentina. Bulletin du MusÈum national d'histoire naturelle 6(1):33-58
;Derorhynchidae;Coona;Coona_gutierrezi;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Middle Eocene;Middle Eocene;37.71;47.8;39295;J. Alroy;"G. del Corro. 1977. Un nuevo microbioterio (Marsupialia) del Eoceno de Patagonia. Revista del Museo Argentino de Ciencias Naturales ""Bernadino Rivadavia"" 2(2):31-33"
;Derorhynchidae;Coona;Coona_pattersoni;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Middle Eocene;Middle Eocene;37.71;47.8;39295;J. Alroy;G. G. Simpson. 1938. A new marsupial from the Eocene of Patagonia. American Museum Novitates 989:1-5
;Derorhynchidae;Derorhynchus;Derorhynchus;extinct;extinct;Argentina;Chubut;;;Paleogene;Eocene;Ypresian;Ypresian;47.8;56;133040;P. Mannion;E. V. Oliveira and F. J. Goin. 2011. A reassessment of bunodont metatherians from the Paleogene of Itaborai (Brazil): Systematics and the age of the Itaborian SALMA. Revista Brasileira de Paleontologia 14(2):105-136
