Sample label	Depth sed [m]	Depth comp [mcd]	Tuned time [Ma]	Foram benth δ13C [‰ PDB]	Foram benth δ18O [‰ PDB]	Foram benth	Reference	Method comm	Comment
208-1265B-23H-1, 58-56	204.770	234.510	48.68089	0.842	-0.519	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.06per mil for d18O
208-1265B-23H-1, 62-60	204.810	234.550	48.69528	0.969	-0.621	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.06per mil for d18O
208-1265B-23H-1, 66-64	204.850	234.590	48.71135	0.991	-0.405	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.06per mil for d18O
208-1265B-23H-1, 70-68	204.890	234.630	48.72741	0.940	-0.602	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.06per mil for d18O
208-1265B-23H-1, 74-72	204.930	234.670	48.74605	1.099	-0.458	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.06per mil for d18O
208-1265B-23H-1, 78-76	204.970	234.710	48.76765	0.998	-0.343	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.06per mil for d18O
208-1265B-23H-1, 82-80	205.010	234.750	48.78925	0.881	-0.611	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.06per mil for d18O
208-1265B-23H-1, 86-84	205.050	234.790	48.81085	0.947	-0.590	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.06per mil for d18O
208-1265B-23H-1, 90-88	205.090	234.830	48.83245	0.957	-0.454	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.06per mil for d18O
208-1265B-23H-1, 94-92	205.130	234.870	48.85405	1.068	-0.399	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.06per mil for d18O
208-1265B-23H-1, 98-96	205.170	234.910	48.87565	1.009	-0.416	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.06per mil for d18O
208-1265B-23H-1, 102-100	205.210	234.950	48.90131	1.062	-0.463	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.06per mil for d18O
208-1265B-23H-1, 106-104	205.250	234.990	48.92697	0.953	-0.450	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.06per mil for d18O
208-1265B-23H-1, 110-108	205.290	235.030	48.95244	0.959	-0.594	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-1, 114-112	205.330	235.070	48.97810	0.817	-0.477	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-1, 118-116	205.370	235.110	49.00377	0.849	-0.520	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-1, 122-120	205.410	235.150	49.02943	0.803	-0.635	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-1, 126-124	205.450	235.190	49.05509	0.894	-0.530	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-1, 130-128	205.490	235.230	49.08056	0.745	-0.683	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-1, 134-132	205.530	235.270	49.10622	0.698	-0.687	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-1, 138-136	205.570	235.310	49.13188	0.772	-0.709	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-1, 142-140	205.610	235.350	49.15754	0.683	-0.711	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-1, 146-144	205.650	235.390	49.18320	0.828	-0.482	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-1, 150-148	205.690	235.430	49.20868	0.550	-0.759	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 4-2	205.730	235.470	49.23434	0.519	-0.680	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 8-6	205.770	235.510	49.26000	0.207	-1.064	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 12-10	205.810	235.550	49.26705	0.355	-0.971	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 16-14	205.850	235.590	49.27409	0.749	-0.763	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 20-18	205.890	235.630	49.28109	0.593	-0.926	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 24-22	205.930	235.670	49.28814	0.945	-0.582	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 28-26	205.970	235.710	49.29518	1.150	-0.426	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 32-30	206.010	235.750	49.30223	0.967	-0.624	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 36-34	206.050	235.790	49.30927	1.036	-0.600	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 40-38	206.090	235.830	49.31627	1.087	-0.569	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 44-42	206.130	235.870	49.32332	1.062	-0.555	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 48-46	206.170	235.910	49.33036	0.853	-0.795	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 52-50	206.210	235.950	49.33741	0.908	-0.608	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 56-54	206.250	235.990	49.34446	1.161	-0.454	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 60-58	206.290	236.030	49.35145	1.199	-0.506	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 64-62	206.330	236.070	49.35850	1.019	-0.522	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 68-66	206.370	236.110	49.36555	1.015	-0.596	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 72-70	206.410	236.150	49.37259	1.094	-0.545	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 76-74	206.450	236.190	49.37964	1.060	-0.485	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 80-78	206.490	236.230	49.38664	1.004	-0.541	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 84-82	206.530	236.270	49.39368	0.986	-0.664	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 88-86	206.570	236.310	49.40073	1.152	-0.483	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 92-90	206.610	236.350	49.40778	1.194	-0.452	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 96-94	206.650	236.390	49.41482	1.003	-0.678	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 100-98	206.690	236.430	49.42182	1.139	-0.550	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 104-102	206.730	236.470	49.42886	1.204	-0.489	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 108-106	206.770	236.510	49.43591	1.131	-0.434	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 112-110	206.810	236.550	49.44296	1.068	-0.473	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 116-114	206.850	236.590	49.45000	0.666	-0.651	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 120-118	206.890	236.630	49.45700	0.989	-0.563	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 124-122	206.930	236.670	49.47130	0.672	-0.785	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 128-126	206.970	236.710	49.48560	0.773	-0.588	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 132-130	207.010	236.750	49.49990	0.928	-0.587	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 136-134	207.050	236.790	49.51420	0.979	-0.477	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 140-138	207.090	236.830	49.52840	0.692	-0.671	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 144-142	207.130	236.870	49.54270	0.702	-0.563	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 148-146	207.170	236.910	49.55700	0.411	-0.949	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-2, 150-149	207.195	236.935	49.56215	0.761	-0.597	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 6-4	207.250	236.990	49.57367	0.664	-0.702	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 10-8	207.290	237.030	49.58195	0.823	-0.765	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 14-12	207.330	237.070	49.59034	0.851	-0.564	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 18-16	207.370	237.110	49.59862	0.812	-0.720	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 22-20	207.410	237.150	49.60690	0.937	-0.716	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 26-24	207.450	237.190	49.61529	0.919	-0.680	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 30-28	207.490	237.230	49.62357	0.988	-0.579	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 34-32	207.530	237.270	49.63185	0.969	-0.582	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 38-36	207.570	237.310	49.64024	0.676	-0.838	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 42-40	207.610	237.350	49.64852	0.906	-0.650	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 46-44	207.650	237.390	49.65691	0.887	-0.670	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 50-48	207.690	237.430	49.66519	0.880	-0.674	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 54-52	207.730	237.470	49.67294	0.677	-0.857	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 58-56	207.770	237.510	49.68004	0.829	-0.664	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 62-60	207.810	237.550	49.68705	0.545	-0.794	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 66-64	207.850	237.590	49.69416	0.628	-0.868	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 70-68	207.890	237.630	49.70126	0.838	-0.609	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 74-72	207.930	237.670	49.70837	0.876	-0.673	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 78-76	207.970	237.710	49.71547	0.916	-0.626	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 82-80	208.010	237.750	49.72258	0.822	-0.648	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 86-84	208.050	237.790	49.72968	0.973	-0.743	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 90-88	208.090	237.830	49.73679	0.903	-0.707	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 94-92	208.130	237.870	49.74390	0.878	-0.706	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 98-96	208.170	237.910	49.75100	0.912	-0.664	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 102-100	208.210	237.950	49.75811	0.899	-0.737	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 106-104	208.250	237.990	49.76521	0.958	-0.643	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
208-1265B-23H-3, 110-108	208.290	238.030	49.77232	1.078	-0.639	NTURE	MARUM Bremen this study	ThermoFisher Scientific 253plus with Kiel IV	(Solnhofen limestone) 0.03per mil for d13C; 0.05per mil for d18O
