Age	Temperature
23	-0.470825825196222
23.5	-0.543022762709078
24	-0.464859136145566
24.5	-0.548392782854662
25	-0.590159606209188
25.5	-0.655793185766337
26	-0.57941956591802
26.5	-0.667726563867627
27	-0.803170405317343
27.5	-0.703526698171519
28	-0.615219700221911
28.5	-0.560326160955952
29	-0.703526698171519
29.5	-0.739326832475411
30	-0.679659941968917
30.5	-0.52452602665206
31	-0.566292850006608
31.5	-0.548392782854662
32	-0.417125623740385
32.5	-0.625959740513079
33	-0.470825825196222
33.5	-0.846727235387085
34	-0.238124952220926
34.5	-0.0680743142774402
35	0.0482761222102088
35.5	-0.112824482157305
36	-0.13072454930925
36.5	0.152991515049092
37	0.290822032119075
37.5	0.348102247005302
38	0.10734634381163
38.5	0.276501978397519
39	0.134196444539548
39.5	0.323042152992578
40	0.358842287296469
40.5	0.729373677341749
41	0.415227498825099
41.5	0.604968210635726
42	0.685518512819482
42.5	0.57364309311982
43	1.00592971483931
43.5	1.08110999687749
44	0.802763952664728
44.5	0.719528640408179
45	0.782178875439989
45.5	0.624658284502865
46	0.945069486522697
46.5	0.805448962737519
47	1.10438008417502
47.5	1.12317515468456
48	1.44448136006199
48.5	1.20372545686831
49	1.6046869610719
49.5	1.74788749828747
50	1.70045232033481
50.5	2.02802354921542
51	1.40331120561251
51.5	1.72193240091715
52	1.42389628283725
52.5	1.7040323337652
53	1.74878250164507
53.5	1.50981660516659
54	1.44716637013478
54.5	1.68702726997085
55	1.10348508081742
55.5	1.3406609705807
56	1.0757399767319
