Age	Diversity
23	0.175968211847364
23.5	0.489420979131747
24	0.489420979131747
24.5	0.732553834318016
25	0.836401944683132
25.5	0.836401944683132
26	0.836401944683132
26.5	0.617755074304943
27	0.617755074304943
27.5	0.343927781794922
28	-1.02105828035218
28.5	-1.77629791009413
29	-1.77629791009413
29.5	-1.77629791009413
30	-1.77629791009413
30.5	-1.77629791009413
31	-1.77629791009413
31.5	-1.77629791009413
32	-1.77629791009413
32.5	-1.77629791009413
33	-1.77629791009413
33.5	-1.02105828035218
34	-0.265818650610213
34.5	-0.0226857954239467
35	-0.0226857954239467
35.5	0.343927781794922
36	0.175968211847364
36.5	0.175968211847364
37	0.175968211847364
37.5	0.489420979131747
38	0.489420979131747
38.5	0.343927781794922
39	0.732553834318016
39.5	0.836401944683132
40	0.836401944683132
40.5	0.836401944683132
41	0.931207841589326
41.5	1.01842081251719
42	0.931207841589326
42.5	0.732553834318016
43	0.836401944683132
43.5	0.931207841589326
44	0.732553834318016
44.5	0.732553834318016
45	0.489420979131747
45.5	0.343927781794922
46	0.343927781794922
46.5	0.343927781794922
47	0.489420979131747
47.5	0.489420979131747
48	0.175968211847364
48.5	-0.0226857954239467
49	-0.0226857954239467
49.5	-0.0226857954239467
50	-0.0226857954239467
50.5	-0.0226857954239467
51	-0.0226857954239467
51.5	0.343927781794922
52	0.489420979131747
52.5	0.489420979131747
53	0.175968211847364
53.5	-0.0226857954239467
54	-0.265818650610213
54.5	-0.579271417894596
55	-1.77629791009413
55.5	-1.77629791009413
56	-1.77629791009413
