Age	fragmentation.index
23	-0.2581997719988
23.5	-0.266504593480037
24	-0.274809414961275
24.5	-0.278457823804648
25	-0.282106232648023
25.5	-0.282723831167469
26	-0.283341429686913
26.5	-0.0495862525238972
27	0.184168924639119
27.5	0.189042266556179
28	0.193915608473239
28.5	-0.109417190744842
29	-0.412749989962925
29.5	-0.340207599082674
30	-0.267665208202424
30.5	-0.240048211752558
31	-0.212431215302695
31.5	-0.19174074713794
32	-0.17105027897319
32.5	-0.1601713561599
33	-0.149292433346615
33.5	-0.13514794010014
34	-0.121003446853665
34.5	0.03618528444313
35	0.193374015739925
35.5	0.247492120831334
36	0.301610225922747
36.5	0.330335768074436
37	0.359061310226125
37.5	0.392396590195808
38	0.425731870165487
38.5	0.447912654840029
39	0.470093439514572
39.5	0.503118365645859
40	0.536143291777145
40.5	0.557019616377528
41	0.577895940977906
41.5	0.583246669656164
42	0.588597398334417
42.5	0.591387080395493
43	0.594176762456564
43.5	0.596493852601504
44	0.598810942746443
44.5	0.603332893694154
45	0.607854844641866
45.5	0.61753136640727
46	0.627207888172675
46.5	0.641720367047571
47	0.656232845922467
47.5	0.620472292116202
48	0.584711738309937
48.5	0.579054495415308
49	0.573397252520676
49.5	0.682945564561971
50	0.792493876603266
50.5	0.795520210489817
51	0.798546544376364
51.5	0.800860057117372
52	0.803173569858375
52.5	0.803325824918865
53	0.803478079979355
53.5	0.802925024569571
54	0.802371969159788
54.5	0.960767053505668
55	1.11916213785154
55.5	1.09909535541188
56	1.07902857297222
