".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"df"	"p"	"p.adj"	"p.adj.signif"
"1"	"AICc"	"24.2"	"30.617"	6	6	0.0396906894798354	5	0.97	1	"ns"
"2"	"AICc"	"24.2"	"31.3"	6	6	4.22697031910343	5	0.008	0.546	"ns"
"3"	"AICc"	"24.2"	"38.0"	6	6	-43.2787381630554	5	1.24e-07	8.18e-06	"****"
"4"	"AICc"	"24.2"	"39.0"	6	6	-27.8311077387077	5	1.12e-06	7.39e-05	"****"
"5"	"AICc"	"24.2"	"44.0"	6	6	-4.42008525703915	5	0.007	0.455	"ns"
"6"	"AICc"	"24.2"	"47.0"	6	6	-36.6822973918782	5	2.84e-07	1.87e-05	"****"
"7"	"AICc"	"24.2"	"50.0"	6	6	-12.5218030428852	5	5.76e-05	0.004	"**"
"8"	"AICc"	"24.2"	"56.0"	6	6	0.591232340637678	5	0.58	1	"ns"
"9"	"AICc"	"24.2"	"HPP"	6	6	-55.2214878646467	5	3.68e-08	2.43e-06	"****"
"10"	"AICc"	"24.2"	"NHPP"	6	6	-54.5161357854466	5	3.93e-08	2.59e-06	"****"
"11"	"AICc"	"24.2"	"TPP"	6	6	3.91299454452239	5	0.011	0.746	"ns"
"12"	"AICc"	"30.617"	"31.3"	6	6	3.83900064803767	5	0.012	0.799	"ns"
"13"	"AICc"	"30.617"	"38.0"	6	6	-39.2633147755862	5	2.02e-07	1.33e-05	"****"
"14"	"AICc"	"30.617"	"39.0"	6	6	-27.496350652806	5	1.19e-06	7.85e-05	"****"
"15"	"AICc"	"30.617"	"44.0"	6	6	-4.43066071177781	5	0.007	0.45	"ns"
"16"	"AICc"	"30.617"	"47.0"	6	6	-17.3948804525537	5	1.15e-05	0.000759	"***"
"17"	"AICc"	"30.617"	"50.0"	6	6	-13.9259266146984	5	3.43e-05	0.002	"**"
"18"	"AICc"	"30.617"	"56.0"	6	6	0.491243094644056	5	0.644	1	"ns"
"19"	"AICc"	"30.617"	"HPP"	6	6	-41.8653367854904	5	1.47e-07	9.7e-06	"****"
"20"	"AICc"	"30.617"	"NHPP"	6	6	-42.9260230486217	5	1.29e-07	8.51e-06	"****"
"21"	"AICc"	"30.617"	"TPP"	6	6	5.26267625836127	5	0.003	0.217	"ns"
"22"	"AICc"	"31.3"	"38.0"	6	6	-61.2991139196432	5	2.19e-08	1.45e-06	"****"
"23"	"AICc"	"31.3"	"39.0"	6	6	-42.0339254412761	5	1.44e-07	9.5e-06	"****"
"24"	"AICc"	"31.3"	"44.0"	6	6	-11.9365262740898	5	7.27e-05	0.005	"**"
"25"	"AICc"	"31.3"	"47.0"	6	6	-26.7797755985886	5	1.36e-06	8.98e-05	"****"
"26"	"AICc"	"31.3"	"50.0"	6	6	-31.3665656512765	5	6.18e-07	4.08e-05	"****"
"27"	"AICc"	"31.3"	"56.0"	6	6	-3.51842538988141	5	0.017	1	"ns"
"28"	"AICc"	"31.3"	"HPP"	6	6	-50.8849182880924	5	5.54e-08	3.66e-06	"****"
"29"	"AICc"	"31.3"	"NHPP"	6	6	-50.6195975755668	5	5.69e-08	3.76e-06	"****"
"30"	"AICc"	"31.3"	"TPP"	6	6	0.0504927206373966	5	0.962	1	"ns"
"31"	"AICc"	"38.0"	"39.0"	6	6	21.9460889147551	5	3.65e-06	0.000241	"***"
"32"	"AICc"	"38.0"	"44.0"	6	6	65.1426793367225	5	1.61e-08	1.06e-06	"****"
"33"	"AICc"	"38.0"	"47.0"	6	6	29.5836450555312	5	8.27e-07	5.46e-05	"****"
"34"	"AICc"	"38.0"	"50.0"	6	6	45.5274804999279	5	9.65e-08	6.37e-06	"****"
"35"	"AICc"	"38.0"	"56.0"	6	6	95.6676749556169	5	2.37e-09	1.56e-07	"****"
"36"	"AICc"	"38.0"	"HPP"	6	6	-24.5862118067236	5	2.08e-06	0.000137	"***"
"37"	"AICc"	"38.0"	"NHPP"	6	6	-29.5419289419601	5	8.33e-07	5.5e-05	"****"
"38"	"AICc"	"38.0"	"TPP"	6	6	54.8963148582865	5	3.79e-08	2.5e-06	"****"
"39"	"AICc"	"39.0"	"44.0"	6	6	27.3105377113128	5	1.23e-06	8.12e-05	"****"
"40"	"AICc"	"39.0"	"47.0"	6	6	10.8403715007067	5	0.000116	0.008	"**"
"41"	"AICc"	"39.0"	"50.0"	6	6	29.9013024922956	5	7.85e-07	5.18e-05	"****"
"42"	"AICc"	"39.0"	"56.0"	6	6	42.4203002292172	5	1.37e-07	9.04e-06	"****"
"43"	"AICc"	"39.0"	"HPP"	6	6	-29.3740169357864	5	8.57e-07	5.66e-05	"****"
"44"	"AICc"	"39.0"	"NHPP"	6	6	-32.6927559813331	5	5.03e-07	3.32e-05	"****"
"45"	"AICc"	"39.0"	"TPP"	6	6	39.2194312988712	5	2.03e-07	1.34e-05	"****"
"46"	"AICc"	"44.0"	"47.0"	6	6	-19.7144655495724	5	6.2e-06	0.000409	"***"
"47"	"AICc"	"44.0"	"50.0"	6	6	-5.58108695141443	5	0.003	0.168	"ns"
"48"	"AICc"	"44.0"	"56.0"	6	6	6.4252853382723	5	0.001	0.09	"ns"
"49"	"AICc"	"44.0"	"HPP"	6	6	-50.0212119141829	5	6.03e-08	3.98e-06	"****"
"50"	"AICc"	"44.0"	"NHPP"	6	6	-52.4376246109859	5	4.77e-08	3.15e-06	"****"
"51"	"AICc"	"44.0"	"TPP"	6	6	11.4057195155429	5	9.07e-05	0.006	"**"
"52"	"AICc"	"47.0"	"50.0"	6	6	12.0619956115536	5	6.91e-05	0.005	"**"
"53"	"AICc"	"47.0"	"56.0"	6	6	21.4359112760197	5	4.1e-06	0.000271	"***"
"54"	"AICc"	"47.0"	"HPP"	6	6	-53.5358006121669	5	4.3e-08	2.84e-06	"****"
"55"	"AICc"	"47.0"	"NHPP"	6	6	-57.861723979593	5	2.92e-08	1.93e-06	"****"
"56"	"AICc"	"47.0"	"TPP"	6	6	25.0986328690666	5	1.87e-06	0.000123	"***"
"57"	"AICc"	"50.0"	"56.0"	6	6	16.4995958373738	5	1.49e-05	0.000983	"***"
"58"	"AICc"	"50.0"	"HPP"	6	6	-45.1573452411057	5	1.01e-07	6.67e-06	"****"
"59"	"AICc"	"50.0"	"NHPP"	6	6	-44.1364710807097	5	1.13e-07	7.46e-06	"****"
"60"	"AICc"	"50.0"	"TPP"	6	6	29.9787347781792	5	7.75e-07	5.11e-05	"****"
