clade,species,ts,te,mid,bin,nb_occ
0,71,57.16,33.94,45.55,Ypresian,3
0,118,44.44,43.3,43.87,Ypresian,1
0,117,44.57,43.77,44.17,Ypresian,1
0,124,42.15,40.94,41.545,Ypresian,0
0,114,45.87,37.7,41.785,Ypresian,0
0,112,46.91,37.93,42.42,Ypresian,0
0,110,47.57,46.83,47.2,Ypresian,0
0,107,48.27,41.26,44.765,Ypresian,3
0,104,49.44,42.34,45.89,Ypresian,5
0,103,49.6,41.96,45.78,Ypresian,0
0,105,49.15,44.13,46.64,Ypresian,3
0,122,42.99,42.18,42.585,Ypresian,2
0,98,51.31,37.24,44.275000000000006,Ypresian,2
0,72,56.83,38.32,47.575,Ypresian,0
0,96,51.39,39.48,45.435,Ypresian,1
0,74,56.31,32.84,44.575,Ypresian,0
0,90,51.92,32.51,42.215,Ypresian,0
0,94,51.47,43.77,47.620000000000005,Ypresian,2
0,102,50.22,44.79,47.504999999999995,Ypresian,1
0,92,51.77,40.43,46.1,Ypresian,0
0,125,41.65,37.0,39.325,Lutetian,0
0,135,39.86,37.61,38.735,Lutetian,1
0,127,41.29,39.48,40.385,Lutetian,0
0,128,40.97,40.56,40.765,Lutetian,1
0,134,39.87,37.98,38.925,Lutetian,1
0,123,42.23,37.76,39.995,Lutetian,0
0,126,41.47,38.7,40.085,Lutetian,1
0,136,39.86,38.92,39.39,Lutetian,1
0,141,38.96,38.84,38.900000000000006,Lutetian,4
0,119,44.33,35.91,40.12,Lutetian,1
0,111,47.32,29.69,38.505,Lutetian,3
0,109,47.95,31.96,39.955,Lutetian,0
0,121,43.9,35.59,39.745000000000005,Lutetian,0
0,151,37.15,30.7,33.925,Bartonian,1
0,170,34.51,33.54,34.025,Bartonian,1
0,168,34.87,34.17,34.519999999999996,Bartonian,4
0,163,35.61,32.87,34.239999999999995,Bartonian,0
0,143,38.52,34.13,36.325,Bartonian,1
0,145,38.38,32.64,35.510000000000005,Bartonian,3
0,148,37.51,31.8,34.655,Bartonian,1
0,150,37.31,30.85,34.08,Bartonian,1
0,154,36.41,31.98,34.195,Bartonian,1
0,142,38.85,33.21,36.03,Bartonian,2
0,152,37.02,33.63,35.325,Bartonian,4
0,147,37.59,32.64,35.115,Bartonian,2
0,153,36.76,34.51,35.635,Bartonian,3
0,133,39.94,27.88,33.91,Bartonian,0
0,138,39.32,35.14,37.230000000000004,Bartonian,0
0,137,39.68,32.42,36.05,Bartonian,3
0,139,39.26,35.16,37.209999999999994,Bartonian,0
0,131,40.05,30.74,35.394999999999996,Bartonian,0
0,116,44.88,30.12,37.5,Bartonian,0
0,129,40.24,29.66,34.95,Bartonian,2
0,215,30.73,26.57,28.65,Priabonian,1
0,194,32.39,23.38,27.884999999999998,Priabonian,0
0,224,29.84,27.92,28.880000000000003,Priabonian,2
0,193,32.54,29.39,30.965,Priabonian,2
0,191,32.57,28.31,30.439999999999998,Priabonian,0
0,189,32.83,31.85,32.34,Priabonian,1
0,188,32.83,23.1,27.965,Priabonian,2
0,229,29.34,26.73,28.035,Priabonian,5
0,182,33.46,30.14,31.8,Priabonian,3
0,230,29.34,26.94,28.14,Priabonian,1
0,180,33.78,28.8,31.29,Priabonian,1
0,195,32.34,25.87,29.105000000000004,Priabonian,0
0,196,32.25,29.16,30.705,Priabonian,0
0,206,31.55,29.74,30.645,Priabonian,0
0,203,31.93,25.04,28.485,Priabonian,1
0,205,31.68,30.23,30.955,Priabonian,0
0,209,31.43,29.73,30.58,Priabonian,1
0,223,29.94,26.11,28.025,Priabonian,0
0,222,30.0,29.46,29.73,Priabonian,0
0,219,30.39,26.96,28.675,Priabonian,1
0,210,31.25,27.36,29.305,Priabonian,0
0,217,30.66,27.59,29.125,Priabonian,1
0,211,31.23,27.2,29.215,Priabonian,0
0,216,30.68,29.21,29.945,Priabonian,0
0,214,30.79,29.08,29.935,Priabonian,0
0,179,33.81,30.25,32.03,Priabonian,0
0,200,31.95,23.92,27.935000000000002,Priabonian,2
0,175,33.94,29.38,31.659999999999997,Priabonian,0
0,158,35.86,30.3,33.08,Priabonian,0
0,173,34.21,24.78,29.495,Priabonian,0
0,93,51.57,8.35,29.96,Priabonian,0
0,108,48.16,18.19,33.175,Priabonian,0
