clade	species	ts	te
0	1	100.0	90.66
0	2	93.94	80.84
0	3	91.25	90.96
0	4	91.19	55.33
0	5	90.74	89.78
0	6	90.18	82.91
0	7	88.18	71.73
0	8	85.18	84.19
0	9	84.47	74.26
0	10	81.77	75.49
0	11	79.47	63.4
0	12	78.9	74.4
0	13	77.23	69.19
0	14	77.13	67.42
0	15	76.94	73.75
0	16	75.7	71.85
0	17	74.97	69.71
0	18	74.68	30.24
0	19	73.95	46.98
0	20	73.85	51.28
0	21	73.83	68.86
0	22	73.58	58.32
0	23	73.4	71.51
0	24	73.2	64.92
0	25	72.73	70.0
0	26	72.44	59.8
0	27	71.86	65.21
0	28	71.7	67.3
0	29	70.82	70.48
0	30	70.52	66.71
0	31	69.86	53.63
0	32	69.8	69.79
0	33	69.62	69.6
0	34	69.6	58.21
0	35	67.99	63.07
0	36	67.7	67.1
0	37	67.45	64.79
0	38	67.4	56.74
0	39	67.36	54.96
0	40	67.07	65.21
0	41	66.94	66.27
0	42	65.59	47.1
0	43	65.48	58.48
0	44	65.41	49.89
0	45	65.16	60.94
0	46	65.15	57.63
0	47	65.14	49.5
0	48	63.28	61.31
0	49	63.1	62.88
0	50	62.22	59.47
0	51	62.22	59.44
0	52	62.14	53.81
0	53	62.14	52.81
0	54	61.4	55.32
0	55	61.21	48.41
0	56	61.03	54.0
0	57	60.79	55.86
0	58	60.64	55.9
0	59	60.63	58.36
0	60	60.54	51.41
0	61	59.84	48.83
0	62	58.92	39.91
0	63	58.7	48.85
0	64	58.57	47.93
0	65	58.5	55.92
0	66	58.01	56.06
0	67	57.59	49.98
0	68	57.49	50.44
0	69	57.42	50.42
0	70	57.35	54.61
0	71	57.16	33.94
0	72	56.83	38.32
0	73	56.47	52.84
0	74	56.31	32.84
0	75	56.21	53.89
0	76	56.06	48.87
0	77	55.44	49.45
0	78	55.33	51.12
0	79	55.12	52.26
0	80	54.93	45.86
0	81	54.35	45.59
0	82	54.17	48.58
0	83	53.84	43.35
0	84	53.63	52.08
0	85	53.01	46.75
0	86	52.74	44.95
0	87	52.6	49.31
0	88	52.51	51.73
0	89	52.0	51.99
0	90	51.92	32.51
0	91	51.91	47.6
0	92	51.77	40.43
0	93	51.57	8.35
0	94	51.47	43.77
0	95	51.44	50.51
0	96	51.39	39.48
0	97	51.32	47.75
0	98	51.31	37.24
0	99	50.79	50.56
0	100	50.66	1.89
0	101	50.41	48.4
0	102	50.22	44.79
0	103	49.6	41.96
0	104	49.44	42.34
0	105	49.15	44.13
0	106	48.81	47.59
0	107	48.27	41.26
0	108	48.16	18.19
0	109	47.95	31.96
0	110	47.57	46.83
0	111	47.32	29.69
0	112	46.91	37.93
0	113	46.23	20.72
0	114	45.87	37.7
0	115	45.07	0.0
0	116	44.88	30.12
0	117	44.57	43.77
0	118	44.44	43.3
0	119	44.33	35.91
0	120	44.06	13.65
0	121	43.9	35.59
0	122	42.99	42.18
0	123	42.23	37.76
0	124	42.15	40.94
0	125	41.65	37.0
0	126	41.47	38.7
0	127	41.29	39.48
0	128	40.97	40.56
0	129	40.24	29.66
0	130	40.24	16.15
0	131	40.05	30.74
0	132	39.95	24.14
0	133	39.94	27.88
0	134	39.87	37.98
0	135	39.86	37.61
0	136	39.86	38.92
0	137	39.68	32.42
0	138	39.32	35.14
0	139	39.26	35.16
0	140	38.98	25.64
0	141	38.96	38.84
0	142	38.85	33.21
0	143	38.52	34.13
0	144	38.47	20.24
0	145	38.38	32.64
0	146	38.01	26.07
0	147	37.59	32.64
0	148	37.51	31.8
