clade,species,ts,te,mid,bin,nb_occ
0,119,48.18,40.61,44.394999999999996,Ypresian,1
0,120,47.84,47.24,47.540000000000006,Ypresian,0
0,122,47.62,45.88,46.75,Ypresian,0
0,123,47.6,42.75,45.175,Ypresian,2
0,124,47.27,44.44,45.855000000000004,Ypresian,4
0,127,47.07,39.38,43.225,Ypresian,3
0,128,47.06,43.45,45.255,Ypresian,2
0,129,46.7,39.2,42.95,Ypresian,4
0,130,46.62,45.75,46.185,Ypresian,0
0,142,44.59,39.82,42.205,Ypresian,0
0,132,46.34,37.35,41.845,Ypresian,2
0,134,46.08,43.47,44.775,Ypresian,2
0,149,43.55,40.09,41.82,Ypresian,5
0,136,45.66,43.62,44.64,Ypresian,0
0,137,45.61,38.33,41.97,Ypresian,0
0,146,44.07,42.73,43.4,Ypresian,7
0,145,44.13,40.97,42.55,Ypresian,0
0,144,44.42,44.25,44.335,Ypresian,0
0,141,44.94,38.6,41.769999999999996,Ypresian,2
0,133,46.33,43.31,44.82,Ypresian,3
0,118,48.22,42.1,45.16,Ypresian,1
0,143,44.51,39.61,42.06,Ypresian,1
0,116,48.84,46.18,47.510000000000005,Ypresian,0
0,113,49.42,45.71,47.565,Ypresian,2
0,112,49.53,37.85,43.69,Ypresian,0
0,71,56.26,37.91,47.084999999999994,Ypresian,1
0,110,49.59,43.74,46.665000000000006,Ypresian,1
0,104,50.13,36.6,43.365,Ypresian,2
0,76,55.07,38.44,46.754999999999995,Ypresian,1
0,84,53.09,40.9,46.995000000000005,Ypresian,0
0,95,51.44,35.53,43.485,Ypresian,0
0,117,48.45,46.95,47.7,Ypresian,0
0,85,52.38,39.22,45.8,Ypresian,0
0,91,51.9,43.05,47.474999999999994,Ypresian,0
0,90,52.04,37.8,44.92,Ypresian,1
0,181,38.28,37.75,38.015,Lutetian,0
0,178,38.66,37.16,37.91,Lutetian,0
0,176,38.81,38.24,38.525000000000006,Lutetian,0
0,169,39.55,37.46,38.504999999999995,Lutetian,1
0,152,42.95,34.57,38.760000000000005,Lutetian,3
0,167,39.85,37.89,38.870000000000005,Lutetian,1
0,166,39.94,38.42,39.18,Lutetian,0
0,156,41.79,33.93,37.86,Lutetian,0
0,157,41.73,35.77,38.75,Lutetian,0
0,164,40.14,39.88,40.010000000000005,Lutetian,0
0,160,41.23,34.41,37.81999999999999,Lutetian,0
0,172,39.11,36.64,37.875,Lutetian,0
0,58,58.73,17.24,37.985,Lutetian,2
0,158,41.69,35.02,38.355000000000004,Lutetian,0
0,126,47.17,28.86,38.015,Lutetian,2
0,109,49.64,32.04,40.84,Lutetian,1
0,92,51.87,26.58,39.224999999999994,Lutetian,2
0,131,46.59,35.18,40.885000000000005,Lutetian,2
0,98,50.8,26.09,38.445,Lutetian,0
0,138,45.61,31.98,38.795,Lutetian,0
0,204,35.82,35.7,35.760000000000005,Bartonian,0
0,170,39.53,31.36,35.445,Bartonian,1
0,171,39.46,32.62,36.04,Bartonian,3
0,173,39.07,30.59,34.83,Bartonian,0
0,177,38.81,29.43,34.120000000000005,Bartonian,0
0,179,38.31,36.65,37.480000000000004,Bartonian,1
0,180,38.3,33.53,35.915,Bartonian,3
0,182,38.28,33.58,35.93,Bartonian,1
0,185,38.22,31.56,34.89,Bartonian,3
0,213,35.17,33.37,34.269999999999996,Bartonian,0
0,187,38.21,35.83,37.019999999999996,Bartonian,0
0,189,37.85,36.28,37.065,Bartonian,0
0,199,36.4,34.12,35.26,Bartonian,1
0,208,35.55,33.75,34.65,Bartonian,1
0,203,35.89,35.52,35.705,Bartonian,5
0,205,35.79,33.61,34.7,Bartonian,1
0,139,45.45,26.63,36.04,Bartonian,2
0,183,38.26,36.37,37.315,Bartonian,0
0,100,50.7,21.77,36.235,Bartonian,1
0,165,40.11,33.39,36.75,Bartonian,0
0,150,43.42,31.63,37.525,Bartonian,2
0,135,45.94,24.02,34.98,Bartonian,1
0,159,41.68,31.39,36.535,Bartonian,0
0,168,39.72,34.12,36.92,Bartonian,1
0,125,47.18,26.95,37.065,Bartonian,1
0,280,30.65,29.64,30.145,Priabonian,0
0,249,33.06,30.8,31.93,Priabonian,0
0,247,33.16,26.99,30.074999999999996,Priabonian,0
0,281,30.63,25.34,27.985,Priabonian,1
0,246,33.17,25.33,29.25,Priabonian,0
0,245,33.18,29.55,31.365000000000002,Priabonian,0
0,283,30.38,29.93,30.155,Priabonian,0
0,244,33.3,23.36,28.33,Priabonian,0
0,242,33.41,28.3,30.854999999999997,Priabonian,0
0,238,33.55,31.25,32.4,Priabonian,0
0,289,30.03,29.94,29.985,Priabonian,0
0,237,33.58,29.56,31.57,Priabonian,1
0,235,33.73,24.43,29.08,Priabonian,0
0,234,33.78,29.72,31.75,Priabonian,0
0,232,33.93,32.92,33.425,Priabonian,0
0,231,34.03,28.74,31.384999999999998,Priabonian,0
0,230,34.08,33.33,33.705,Priabonian,0
0,229,34.15,31.43,32.79,Priabonian,0
0,228,34.18,33.51,33.845,Priabonian,0
0,243,33.35,27.4,30.375,Priabonian,0
0,250,32.97,31.97,32.47,Priabonian,0
0,253,32.54,25.67,29.105,Priabonian,1
0,254,32.53,26.28,29.405,Priabonian,2
0,270,31.15,27.32,29.235,Priabonian,0
0,296,29.81,26.33,28.07,Priabonian,0
0,271,31.1,27.09,29.095,Priabonian,0
0,268,31.39,29.42,30.405,Priabonian,0
0,267,31.45,25.5,28.475,Priabonian,0
0,298,29.76,26.83,28.295,Priabonian,0
0,272,31.09,27.31,29.2,Priabonian,0
0,301,29.44,28.04,28.740000000000002,Priabonian,0
0,291,29.96,26.7,28.33,Priabonian,0
0,314,28.47,27.88,28.174999999999997,Priabonian,0
0,227,34.3,31.69,32.995,Priabonian,0
0,290,29.98,25.97,27.975,Priabonian,2
0,264,31.71,31.15,31.43,Priabonian,0
0,273,30.95,26.24,28.595,Priabonian,0
0,263,31.78,31.1,31.44,Priabonian,0
0,279,30.65,27.26,28.955,Priabonian,0
0,261,31.96,29.76,30.86,Priabonian,0
0,259,32.15,30.11,31.13,Priabonian,0
0,258,32.18,26.59,29.384999999999998,Priabonian,1
0,257,32.25,29.28,30.765,Priabonian,1
0,256,32.26,32.15,32.205,Priabonian,0
0,252,32.87,25.38,29.125,Priabonian,1
0,226,34.33,27.35,30.84,Priabonian,0
0,225,34.43,28.72,31.575,Priabonian,0
0,121,47.62,15.15,31.384999999999998,Priabonian,1
0,206,35.74,30.54,33.14,Priabonian,1
0,140,45.15,22.19,33.67,Priabonian,0
0,197,36.49,24.96,30.725,Priabonian,0
0,196,36.69,25.97,31.33,Priabonian,0
0,195,37.19,21.34,29.265,Priabonian,0
0,194,37.26,30.47,33.864999999999995,Priabonian,0
0,192,37.36,30.27,33.815,Priabonian,0
0,191,37.48,24.47,30.974999999999998,Priabonian,0
0,148,43.78,19.25,31.515,Priabonian,0
0,151,42.97,14.14,28.555,Priabonian,0
0,186,38.21,27.13,32.67,Priabonian,0
0,153,42.78,22.3,32.54,Priabonian,0
0,154,42.68,17.26,29.97,Priabonian,0
0,174,39.03,19.13,29.08,Priabonian,0
0,162,40.43,22.21,31.32,Priabonian,1
0,207,35.59,31.66,33.625,Priabonian,0
0,209,35.49,26.28,30.885,Priabonian,0
0,198,36.46,30.7,33.58,Priabonian,0
0,211,35.31,27.82,31.565,Priabonian,2
0,82,53.46,12.61,33.035,Priabonian,2
0,222,34.63,21.39,28.01,Priabonian,0
0,221,34.66,31.79,33.224999999999994,Priabonian,1
0,220,34.71,32.25,33.480000000000004,Priabonian,1
0,218,34.76,29.18,31.97,Priabonian,1
0,210,35.46,32.05,33.754999999999995,Priabonian,0
0,216,34.99,30.35,32.67,Priabonian,1
0,75,55.38,9.58,32.480000000000004,Priabonian,0
0,89,52.12,14.79,33.455,Priabonian,0
0,155,41.96,13.73,27.845,Priabonian,2
0,224,34.6,28.46,31.53,Priabonian,0
0,212,35.26,31.67,33.465,Priabonian,1
0,330,27.49,25.9,26.695,Rupelian,1
0,328,27.6,20.08,23.84,Rupelian,0
0,406,23.35,22.97,23.16,Rupelian,1
0,327,27.64,23.53,25.585,Rupelian,4
0,318,28.32,23.86,26.09,Rupelian,1
0,332,27.35,26.08,26.715,Rupelian,0
0,315,28.42,20.69,24.555,Rupelian,0
0,319,28.29,25.7,26.994999999999997,Rupelian,0
0,326,27.72,20.21,23.965,Rupelian,0
0,312,28.78,23.52,26.15,Rupelian,5
0,323,27.98,25.34,26.66,Rupelian,0
0,316,28.41,25.44,26.925,Rupelian,0
0,322,27.99,21.61,24.799999999999997,Rupelian,1
0,320,28.28,24.26,26.270000000000003,Rupelian,4
0,311,28.94,20.38,24.66,Rupelian,2
0,345,26.55,21.69,24.12,Rupelian,5
0,334,27.22,22.11,24.665,Rupelian,2
0,370,25.26,21.34,23.3,Rupelian,2
0,369,25.3,22.75,24.025,Rupelian,0
0,378,24.89,23.02,23.955,Rupelian,2
0,388,24.33,22.11,23.22,Rupelian,0
0,365,25.8,22.71,24.255000000000003,Rupelian,2
0,363,25.87,22.46,24.165,Rupelian,0
0,390,24.2,22.22,23.21,Rupelian,2
0,392,24.1,22.0,23.05,Rupelian,2
0,359,25.99,25.14,25.564999999999998,Rupelian,5
0,357,26.08,25.22,25.65,Rupelian,3
0,355,26.12,23.49,24.805,Rupelian,0
0,393,24.0,22.85,23.425,Rupelian,0
0,353,26.18,23.92,25.05,Rupelian,2
0,352,26.2,21.0,23.6,Rupelian,3
0,350,26.26,26.12,26.19,Rupelian,0
0,347,26.49,25.02,25.755,Rupelian,1
0,346,26.51,25.77,26.14,Rupelian,3
0,308,29.13,24.75,26.939999999999998,Rupelian,0
0,344,26.61,25.0,25.805,Rupelian,0
0,342,26.96,20.81,23.884999999999998,Rupelian,0
0,341,26.99,20.74,23.865,Rupelian,0
0,338,27.17,21.54,24.355,Rupelian,2
0,402,23.57,22.88,23.225,Rupelian,1
0,333,27.31,27.28,27.295,Rupelian,1
0,307,29.14,20.78,24.96,Rupelian,1
0,376,25.09,23.32,24.205,Rupelian,1
0,304,29.25,22.69,25.97,Rupelian,4
0,276,30.87,19.57,25.22,Rupelian,2
0,214,35.12,19.83,27.474999999999998,Rupelian,0
0,239,33.55,16.65,25.099999999999998,Rupelian,2
0,269,31.31,18.35,24.83,Rupelian,0
0,201,36.04,14.69,25.365,Rupelian,0
0,305,29.22,24.48,26.85,Rupelian,1
0,251,32.95,16.2,24.575000000000003,Rupelian,2
0,175,38.93,15.17,27.05,Rupelian,0
0,200,36.34,16.21,26.275000000000002,Rupelian,2
0,265,31.48,22.7,27.09,Rupelian,1
0,188,37.98,11.66,24.82,Rupelian,0
0,262,31.86,23.61,27.735,Rupelian,1
0,190,37.76,14.0,25.88,Rupelian,1
0,260,32.1,21.55,26.825000000000003,Rupelian,2
0,266,31.47,14.9,23.185,Rupelian,0
0,278,30.67,18.02,24.345,Rupelian,2
0,277,30.81,23.5,27.155,Rupelian,0
0,215,35.09,13.01,24.05,Rupelian,2
0,303,29.28,18.47,23.875,Rupelian,0
0,223,34.62,16.37,25.494999999999997,Rupelian,1
0,219,34.75,14.98,24.865000000000002,Rupelian,1
0,83,53.31,0.0,26.655,Rupelian,0
0,217,34.84,17.74,26.29,Rupelian,0
0,295,29.83,16.33,23.08,Rupelian,2
0,294,29.85,18.39,24.12,Rupelian,1
0,282,30.49,21.78,26.134999999999998,Rupelian,0
0,293,29.85,25.7,27.775,Rupelian,1
0,147,43.92,10.79,27.355,Rupelian,7
0,288,30.11,22.18,26.145,Rupelian,3
0,286,30.18,23.12,26.65,Rupelian,0
0,284,30.28,24.68,27.48,Rupelian,0
0,255,32.48,14.78,23.63,Rupelian,0
0,441,21.77,19.32,20.545,Chattian,5
0,389,24.26,17.95,21.105,Chattian,1
0,447,21.59,21.18,21.384999999999998,Chattian,0
0,452,21.46,19.74,20.6,Chattian,0
0,396,23.96,19.26,21.61,Chattian,8
0,394,23.99,17.74,20.865,Chattian,3
0,395,23.99,19.29,21.64,Chattian,11
0,400,23.67,18.91,21.29,Chattian,0
0,465,21.06,20.17,20.615000000000002,Chattian,0
0,466,21.05,20.98,21.015,Chattian,2
0,430,22.13,20.49,21.31,Chattian,9
0,426,22.27,19.41,20.84,Chattian,1
0,403,23.52,21.25,22.384999999999998,Chattian,3
0,425,22.33,19.32,20.825,Chattian,2
0,421,22.45,21.98,22.215,Chattian,3
0,420,22.5,21.4,21.95,Chattian,4
0,409,23.0,22.89,22.945,Chattian,1
0,418,22.56,22.43,22.494999999999997,Chattian,4
0,459,21.24,20.48,20.86,Chattian,0
0,375,25.11,20.02,22.564999999999998,Chattian,0
0,241,33.43,10.94,22.185,Chattian,1
0,373,25.17,16.17,20.67,Chattian,2
0,161,41.22,0.0,20.61,Chattian,4
0,163,40.24,2.44,21.34,Chattian,6
0,193,37.29,8.52,22.905,Chattian,5
0,233,33.92,9.49,21.705000000000002,Chattian,1
0,236,33.68,11.29,22.485,Chattian,2
0,469,21.01,20.96,20.985,Chattian,1
0,274,30.87,13.12,21.995,Chattian,2
0,275,30.87,12.19,21.53,Chattian,7
0,287,30.13,11.57,20.85,Chattian,1
0,292,29.96,15.25,22.605,Chattian,0
0,297,29.78,12.84,21.310000000000002,Chattian,1
0,309,29.13,16.74,22.935,Chattian,3
0,310,29.04,13.15,21.095,Chattian,0
0,317,28.35,13.28,20.815,Chattian,7
0,324,27.96,14.17,21.065,Chattian,3
0,337,27.17,14.35,20.76,Chattian,7
0,339,27.15,17.74,22.445,Chattian,2
0,340,27.14,14.55,20.845,Chattian,1
0,343,26.69,19.32,23.005000000000003,Chattian,5
0,351,26.25,16.02,21.134999999999998,Chattian,0
0,354,26.14,16.44,21.29,Chattian,7
0,360,25.93,16.3,21.115000000000002,Chattian,6
0,362,25.91,15.74,20.825,Chattian,0
0,366,25.78,18.42,22.1,Chattian,2
0,367,25.76,19.58,22.67,Chattian,1
0,368,25.64,17.61,21.625,Chattian,1
0,372,25.21,15.97,20.59,Chattian,3
0,374,25.17,16.11,20.64,Chattian,0
0,473,20.92,20.08,20.5,Chattian,0
