clade	species	ts	te
0	1	100.0	81.92
0	2	96.05	77.83
0	3	91.43	81.96
0	4	90.57	88.19
0	5	90.3	88.73
0	6	87.13	58.45
0	7	86.03	82.31
0	8	80.39	75.38
0	9	79.46	76.53
0	10	79.14	74.79
0	11	77.79	70.25
0	12	74.18	69.43
0	13	73.34	63.97
0	14	72.85	69.63
0	15	72.01	63.26
0	16	71.9	56.01
0	17	71.2	53.43
0	18	71.13	55.45
0	19	70.69	62.66
0	20	70.47	52.86
0	21	68.48	58.6
0	22	67.97	56.94
0	23	66.34	64.89
0	24	66.33	52.02
0	25	66.12	58.76
0	26	66.05	62.46
0	27	65.36	56.13
0	28	65.25	51.27
0	29	65.17	60.2
0	30	63.91	41.19
0	31	63.69	48.72
0	32	62.3	60.52
0	33	62.18	49.55
0	34	61.88	51.62
0	35	61.58	44.21
0	36	61.42	53.18
0	37	61.35	51.69
0	38	61.2	58.32
0	39	61.11	60.58
0	40	60.39	59.24
0	41	58.33	56.06
0	42	58.24	11.98
0	43	57.73	47.14
0	44	57.67	45.24
0	45	57.29	41.89
0	46	57.08	53.03
0	47	57.05	55.59
0	48	56.87	55.55
0	49	56.42	56.36
0	50	56.42	51.34
0	51	56.38	37.81
0	52	55.85	52.16
0	53	55.59	54.74
0	54	55.58	16.73
0	55	55.53	53.95
0	56	55.32	40.21
0	57	55.27	45.44
0	58	55.26	44.85
0	59	55.22	53.09
0	60	55.0	26.9
0	61	54.98	20.38
0	62	54.91	54.48
0	63	54.77	53.85
0	64	54.76	48.49
0	65	54.35	43.82
0	66	54.33	52.59
0	67	53.83	47.93
0	68	53.59	49.7
0	69	53.44	47.23
0	70	53.35	52.98
0	71	53.3	50.59
0	72	53.22	34.17
0	73	53.17	33.72
0	74	52.52	30.13
0	75	52.06	48.82
0	76	51.93	51.0
0	77	51.83	50.16
0	78	51.74	42.29
0	79	51.62	49.11
0	80	51.51	45.94
0	81	51.32	49.48
0	82	50.94	50.73
0	83	50.93	50.91
0	84	50.91	49.39
0	85	50.82	38.86
0	86	50.69	47.99
0	87	50.52	45.98
0	88	50.22	48.53
0	89	50.07	49.5
0	90	49.91	36.78
0	91	49.86	49.63
0	92	48.82	12.36
0	93	48.8	44.98
0	94	48.51	43.1
0	95	48.29	43.59
0	96	48.13	34.73
0	97	47.89	43.66
0	98	47.51	29.09
0	99	47.48	44.55
0	100	47.43	9.63
0	101	47.41	43.13
0	102	47.0	36.89
0	103	46.72	46.29
0	104	46.24	43.59
0	105	46.17	44.74
0	106	46.12	28.61
0	107	46.06	34.76
0	108	45.78	39.61
0	109	45.59	43.03
0	110	45.54	31.79
0	111	45.33	40.27
0	112	45.3	32.41
0	113	45.14	36.1
0	114	44.97	40.59
0	115	43.98	16.19
0	116	43.75	28.49
0	117	43.71	33.69
0	118	43.49	40.64
0	119	43.14	24.33
0	120	43.09	33.0
0	121	43.07	33.83
0	122	43.0	28.71
0	123	42.87	33.89
0	124	42.71	35.23
0	125	42.3	16.83
0	126	42.22	38.03
0	127	42.13	39.79
0	128	41.79	40.36
0	129	41.21	39.82
0	130	41.1	40.21
0	131	40.96	27.86
0	132	40.79	16.08
0	133	40.7	37.14
0	134	40.63	38.71
0	135	40.1	5.25
0	136	39.93	28.38
0	137	39.88	35.6
0	138	39.49	17.68
0	139	39.49	27.78
0	140	39.47	14.49
0	141	39.12	30.94
0	142	39.08	34.71
0	143	39.06	24.44
0	144	38.88	29.36
0	145	38.55	18.72
0	146	38.52	23.77
0	147	38.45	8.29
0	148	37.84	23.31
0	149	37.75	23.8
0	150	37.73	32.53
0	151	37.7	8.18
0	152	37.69	30.28
0	153	37.44	24.79
0	154	37.44	35.69
0	155	37.42	29.24
0	156	36.93	15.8
0	157	36.89	31.87
0	158	36.77	35.08
0	159	36.73	16.68
0	160	36.52	35.25
0	161	36.48	10.5
0	162	36.32	30.72
0	163	36.23	35.88
0	164	36.02	29.83
0	165	35.92	27.05
0	166	35.89	33.91
0	167	35.88	25.8
0	168	35.86	32.9
0	169	35.83	30.35
0	170	35.69	22.02
0	171	35.69	30.66
0	172	35.58	12.68
0	173	35.33	33.97
0	174	35.31	21.65
0	175	35.23	26.81
0	176	35.22	34.69
0	177	35.2	32.6
0	178	35.02	11.06
0	179	34.97	23.71
0	180	34.96	34.83
0	181	34.93	33.53
0	182	34.86	15.44
0	183	34.64	24.96
0	184	34.62	3.64
0	185	34.59	27.45
0	186	34.58	31.46
0	187	34.32	34.11
0	188	34.28	0.0
0	189	34.14	32.39
0	190	34.04	18.03
0	191	33.91	29.63
0	192	33.7	22.17
0	193	33.67	20.86
0	194	33.6	32.31
0	195	33.48	32.58
0	196	33.48	32.76
0	197	33.48	23.84
0	198	33.34	20.62
0	199	33.19	23.6
0	200	33.05	9.77
0	201	32.92	1.91
0	202	32.72	28.66
0	203	32.68	22.86
0	204	32.67	27.19
0	205	32.58	28.93
0	206	32.56	30.43
0	207	32.53	21.31
0	208	32.44	27.64
0	209	32.41	20.76
0	210	32.36	15.98
0	211	32.28	25.57
0	212	32.23	4.37
0	213	32.2	31.2
0	214	32.2	29.18
0	215	32.12	28.71
0	216	31.95	13.37
0	217	31.94	15.95
0	218	31.91	24.89
0	219	31.78	26.13
0	220	31.74	0.0
0	221	31.73	20.5
0	222	31.7	11.87
0	223	31.61	20.54
0	224	31.55	17.33
0	225	31.54	27.4
0	226	31.49	23.94
0	227	31.48	26.1
0	228	31.44	28.48
0	229	31.42	17.5
0	230	31.25	29.35
0	231	31.13	0.0
0	232	31.11	16.86
0	233	31.06	17.95
0	234	31.01	14.72
0	235	30.76	23.15
0	236	30.61	23.08
0	237	30.59	18.54
0	238	30.59	24.88
0	239	30.56	21.27
0	240	30.51	29.11
0	241	30.5	5.34
0	242	30.49	25.31
0	243	30.46	24.45
0	244	30.43	30.22
0	245	30.41	15.01
0	246	30.28	25.73
0	247	30.17	18.74
0	248	30.06	14.48
0	249	30.05	0.0
0	250	30.04	20.98
0	251	30.04	23.74
0	252	30.04	26.82
0	253	30.01	28.48
0	254	29.96	22.68
0	255	29.93	25.91
0	256	29.89	4.41
0	257	29.88	23.6
0	258	29.88	26.93
0	259	29.8	20.48
0	260	29.79	20.42
0	261	29.78	28.54
0	262	29.76	28.97
0	263	29.76	25.77
0	264	29.65	17.21
0	265	29.61	18.75
0	266	29.61	22.52
0	267	29.53	24.36
0	268	29.44	28.92
0	269	29.41	25.3
0	270	29.35	29.21
0	271	29.23	22.63
0	272	29.15	17.95
0	273	28.97	26.62
0	274	28.93	0.0
0	275	28.87	24.37
0	276	28.78	20.15
0	277	28.77	21.88
0	278	28.76	19.71
0	279	28.58	17.28
0	280	28.57	4.19
0	281	28.47	11.27
0	282	28.45	27.12
0	283	28.39	18.2
0	284	28.32	19.65
0	285	28.31	13.38
0	286	28.24	25.7
0	287	28.23	27.56
0	288	28.19	3.3
0	289	28.16	27.07
0	290	28.1	23.8
0	291	28.07	27.93
0	292	28.06	18.27
0	293	28.01	25.81
0	294	27.98	27.91
0	295	27.92	14.28
0	296	27.9	4.56
0	297	27.88	18.33
0	298	27.84	25.15
0	299	27.75	5.63
0	300	27.68	23.45
0	301	27.66	25.27
0	302	27.61	14.52
0	303	27.55	26.34
0	304	27.54	26.05
0	305	27.52	24.72
0	306	27.43	23.96
0	307	27.35	24.86
0	308	27.32	6.45
0	309	27.3	22.18
0	310	27.29	22.96
0	311	27.2	23.92
0	312	27.17	17.25
0	313	27.17	0.0
0	314	27.16	14.69
0	315	27.13	26.01
0	316	27.13	14.76
0	317	27.13	18.73
0	318	27.06	22.08
0	319	27.05	20.34
0	320	26.94	25.04
0	321	26.9	23.83
0	322	26.89	23.08
0	323	26.85	13.8
0	324	26.79	16.04
0	325	26.79	24.75
0	326	26.75	19.21
0	327	26.74	23.61
0	328	26.72	17.76
0	329	26.62	21.67
0	330	26.54	17.47
0	331	26.53	18.7
0	332	26.5	4.85
0	333	26.5	22.84
0	334	26.49	22.67
0	335	26.35	19.79
0	336	26.32	4.72
0	337	26.29	0.0
0	338	26.21	0.0
0	339	26.19	10.96
0	340	26.18	13.24
0	341	26.17	23.95
0	342	25.99	23.76
0	343	25.92	25.57
0	344	25.9	24.7
0	345	25.88	25.87
0	346	25.86	21.78
0	347	25.82	4.09
0	348	25.78	0.0
0	349	25.76	0.0
0	350	25.76	1.2
0	351	25.76	0.0
0	352	25.75	23.99
0	353	25.74	23.04
0	354	25.68	23.56
0	355	25.67	25.52
0	356	25.65	19.35
0	357	25.58	0.0
0	358	25.53	23.58
0	359	25.52	17.16
0	360	25.48	21.72
0	361	25.48	23.34
0	362	25.45	7.29
0	363	25.4	20.02
0	364	25.28	21.37
0	365	25.24	18.88
0	366	25.21	16.49
0	367	25.14	24.2
0	368	25.09	24.02
0	369	25.08	21.81
0	370	25.07	0.0
0	371	25.02	24.29
0	372	24.99	20.55
0	373	24.98	21.57
0	374	24.98	13.91
0	375	24.94	24.32
0	376	24.9	16.92
0	377	24.83	9.28
0	378	24.82	23.84
0	379	24.68	19.49
0	380	24.55	12.88
0	381	24.54	22.64
0	382	24.51	20.91
0	383	24.49	22.64
0	384	24.42	15.3
0	385	24.3	18.98
0	386	24.25	15.79
0	387	24.15	16.5
0	388	24.15	15.26
0	389	24.1	18.5
0	390	24.05	20.63
0	391	24.03	22.56
0	392	23.95	2.94
0	393	23.95	19.88
0	394	23.91	0.0
0	395	23.78	14.42
0	396	23.74	23.65
0	397	23.73	11.06
0	398	23.73	23.42
0	399	23.69	16.71
0	400	23.63	21.35
0	401	23.62	16.59
0	402	23.56	7.13
0	403	23.55	14.64
0	404	23.52	22.53
0	405	23.42	7.76
0	406	23.38	12.82
0	407	23.33	21.12
0	408	23.31	14.92
0	409	23.26	0.0
0	410	23.23	18.57
0	411	23.23	4.69
0	412	23.22	18.8
0	413	23.18	4.41
0	414	23.15	9.53
0	415	23.15	1.98
0	416	23.14	20.49
0	417	23.14	23.01
0	418	23.09	20.99
0	419	23.07	16.95
0	420	22.89	21.13
0	421	22.81	10.92
0	422	22.7	2.71
0	423	22.7	14.07
0	424	22.64	21.2
0	425	22.62	19.44
0	426	22.57	14.34
0	427	22.51	15.09
0	428	22.47	11.96
0	429	22.47	13.7
0	430	22.45	12.17
0	431	22.43	15.66
0	432	22.34	0.0
0	433	22.32	8.02
0	434	22.3	10.65
0	435	22.29	20.63
0	436	22.27	17.37
0	437	22.26	5.27
0	438	22.24	19.41
0	439	22.11	0.0
0	440	21.98	3.32
0	441	21.98	0.0
0	442	21.96	21.39
0	443	21.91	10.96
0	444	21.89	15.95
0	445	21.8	0.0
0	446	21.8	17.52
0	447	21.72	4.71
0	448	21.67	8.73
0	449	21.66	15.46
0	450	21.64	10.12
0	451	21.62	0.0
0	452	21.61	10.97
0	453	21.55	2.83
0	454	21.54	20.13
0	455	21.5	0.0
0	456	21.46	19.03
0	457	21.41	8.35
0	458	21.39	21.38
0	459	21.39	8.56
0	460	21.37	13.23
0	461	21.36	20.37
0	462	21.33	16.66
0	463	21.29	7.47
0	464	21.24	4.88
0	465	21.23	20.35
0	466	21.2	13.07
0	467	21.19	19.13
