clade,species,ts,te,mid,bin,nb_occ
0,23,63.4,26.41,44.905,Ypresian,4
0,78,47.57,43.01,45.29,Ypresian,0
0,81,47.19,40.14,43.665,Ypresian,0
0,82,46.98,37.54,42.26,Ypresian,0
0,83,46.79,39.92,43.355000000000004,Ypresian,4
0,84,46.66,41.54,44.099999999999994,Ypresian,6
0,85,46.64,40.33,43.485,Ypresian,1
0,87,46.33,46.12,46.224999999999994,Ypresian,2
0,88,45.85,38.38,42.115,Ypresian,3
0,89,45.68,40.08,42.879999999999995,Ypresian,1
0,90,45.49,42.42,43.955,Ypresian,1
0,91,45.4,41.41,43.405,Ypresian,0
0,92,45.26,38.24,41.75,Ypresian,4
0,95,44.98,42.54,43.76,Ypresian,1
0,101,43.87,40.62,42.245,Ypresian,4
0,102,43.66,42.63,43.144999999999996,Ypresian,1
0,105,43.17,42.69,42.93,Ypresian,4
0,106,43.11,40.71,41.91,Ypresian,2
0,107,42.76,41.72,42.239999999999995,Ypresian,5
0,116,41.7,40.89,41.295,Ypresian,3
0,77,47.62,41.15,44.385,Ypresian,6
0,75,47.71,38.92,43.315,Ypresian,4
0,94,45.12,40.05,42.584999999999994,Ypresian,6
0,44,54.44,29.92,42.18,Ypresian,2
0,48,53.55,38.92,46.235,Ypresian,0
0,52,52.2,40.71,46.455,Ypresian,0
0,53,51.72,36.67,44.195,Ypresian,2
0,38,56.64,26.06,41.35,Ypresian,2
0,54,51.54,42.96,47.25,Ypresian,3
0,60,50.65,41.83,46.239999999999995,Ypresian,3
0,42,55.17,39.65,47.41,Ypresian,1
0,62,50.04,43.59,46.815,Ypresian,7
0,63,49.91,44.41,47.16,Ypresian,2
0,64,49.9,42.72,46.31,Ypresian,3
0,73,48.06,39.05,43.555,Ypresian,2
0,71,48.37,46.42,47.394999999999996,Ypresian,1
0,67,49.46,43.13,46.295,Ypresian,3
0,69,48.87,35.67,42.269999999999996,Ypresian,0
0,70,48.42,43.38,45.900000000000006,Ypresian,0
0,66,49.51,42.33,45.92,Ypresian,1
0,135,39.17,38.08,38.625,Lutetian,2
0,148,38.61,38.5,38.555,Lutetian,0
0,108,42.64,32.86,37.75,Lutetian,0
0,109,42.61,34.72,38.665,Lutetian,0
0,111,42.3,39.1,40.7,Lutetian,0
0,113,42.21,36.61,39.41,Lutetian,1
0,123,40.59,34.89,37.74,Lutetian,1
0,115,41.73,37.34,39.535,Lutetian,1
0,132,39.63,38.33,38.980000000000004,Lutetian,4
0,119,41.43,40.43,40.93,Lutetian,1
0,130,39.66,36.73,38.19499999999999,Lutetian,2
0,124,40.56,40.38,40.47,Lutetian,1
0,114,42.05,39.51,40.78,Lutetian,1
0,121,40.82,39.94,40.379999999999995,Lutetian,0
0,140,38.89,38.69,38.79,Lutetian,0
0,86,46.62,34.35,40.485,Lutetian,1
0,103,43.43,36.52,39.975,Lutetian,4
0,100,43.9,34.33,39.114999999999995,Lutetian,2
0,104,43.39,33.45,38.42,Lutetian,0
0,76,47.69,32.8,40.245,Lutetian,0
0,79,47.56,34.46,41.010000000000005,Lutetian,1
0,80,47.5,34.42,40.96,Lutetian,2
0,93,45.16,36.42,40.79,Lutetian,2
0,157,37.73,37.11,37.42,Bartonian,2
0,156,37.8,30.43,34.114999999999995,Bartonian,5
0,155,37.87,36.47,37.17,Bartonian,2
0,200,34.71,33.67,34.19,Bartonian,0
0,189,35.72,32.15,33.935,Bartonian,4
0,146,38.71,32.82,35.765,Bartonian,1
0,187,35.97,35.29,35.629999999999995,Bartonian,1
0,144,38.73,36.28,37.504999999999995,Bartonian,4
0,154,37.96,35.95,36.955,Bartonian,3
0,150,38.43,30.84,34.635,Bartonian,3
0,190,35.67,34.85,35.260000000000005,Bartonian,7
0,161,37.57,37.02,37.295,Bartonian,2
0,195,34.87,33.81,34.34,Bartonian,0
0,163,37.23,30.68,33.955,Bartonian,0
0,164,37.16,31.14,34.15,Bartonian,2
0,143,38.76,36.03,37.394999999999996,Bartonian,4
0,179,36.49,35.2,35.845,Bartonian,0
0,176,36.56,35.28,35.92,Bartonian,1
0,166,37.11,32.91,35.01,Bartonian,2
0,175,36.57,35.55,36.06,Bartonian,0
0,170,36.88,32.57,34.725,Bartonian,3
0,171,36.82,35.82,36.32,Bartonian,0
0,160,37.59,34.51,36.05,Bartonian,2
0,181,36.47,31.8,34.135,Bartonian,2
0,125,40.2,30.11,35.155,Bartonian,1
0,138,38.94,36.09,37.515,Bartonian,3
0,43,54.49,20.79,37.64,Bartonian,0
0,61,50.27,20.2,35.235,Bartonian,11
0,68,49.07,25.76,37.415,Bartonian,0
0,74,47.74,23.64,35.69,Bartonian,1
0,98,44.5,25.22,34.86,Bartonian,0
0,139,38.94,34.27,36.605000000000004,Bartonian,1
0,112,42.24,27.88,35.06,Bartonian,4
0,118,41.46,29.55,35.505,Bartonian,0
0,120,41.19,30.42,35.805,Bartonian,5
0,122,40.67,32.11,36.39,Bartonian,1
0,126,39.82,31.01,35.415,Bartonian,0
0,99,44.19,31.17,37.68,Bartonian,1
0,204,34.56,33.6,34.08,Bartonian,0
0,131,39.65,30.26,34.955,Bartonian,1
0,137,39.08,35.99,37.535,Bartonian,1
0,257,30.9,26.14,28.52,Priabonian,0
0,228,32.42,24.18,28.3,Priabonian,1
0,227,32.42,29.1,30.76,Priabonian,0
0,226,32.56,23.53,28.045,Priabonian,2
0,225,32.83,23.82,28.325,Priabonian,0
0,223,32.9,25.56,29.229999999999997,Priabonian,1
0,299,28.49,28.33,28.409999999999997,Priabonian,0
0,219,33.37,29.72,31.544999999999998,Priabonian,0
0,263,30.53,27.38,28.955,Priabonian,0
0,218,33.43,22.66,28.045,Priabonian,3
0,217,33.51,23.06,28.284999999999997,Priabonian,0
0,215,33.6,33.52,33.56,Priabonian,0
0,213,33.75,29.3,31.525,Priabonian,0
0,310,28.16,28.0,28.08,Priabonian,0
0,212,33.76,25.9,29.83,Priabonian,0
0,211,33.79,26.75,30.27,Priabonian,1
0,208,34.45,27.44,30.945,Priabonian,1
0,206,34.47,24.94,29.705,Priabonian,1
0,259,30.64,30.63,30.634999999999998,Priabonian,0
0,229,32.38,29.46,30.92,Priabonian,0
0,298,28.64,28.17,28.405,Priabonian,0
0,273,30.11,27.48,28.795,Priabonian,1
0,233,32.21,24.86,28.535,Priabonian,0
0,274,30.1,29.08,29.59,Priabonian,0
0,251,31.17,29.92,30.545,Priabonian,1
0,205,34.51,27.49,31.0,Priabonian,0
0,247,31.26,29.16,30.21,Priabonian,2
0,245,31.46,30.53,30.995,Priabonian,0
0,252,31.05,29.56,30.305,Priabonian,0
0,244,31.49,28.24,29.865,Priabonian,0
0,253,31.04,25.0,28.02,Priabonian,0
0,281,29.56,28.19,28.875,Priabonian,0
0,242,31.56,29.02,30.29,Priabonian,0
0,270,30.29,28.21,29.25,Priabonian,0
0,241,31.62,29.02,30.32,Priabonian,0
0,240,31.63,25.76,28.695,Priabonian,0
