time	diversity	m_div	M_div
0.01966927260226882	0.0	0.0	0.0
0.11986289746069649	0.3010299956639812	0.3010299956639812	0.3010299956639812
0.22005652231912415	0.3010299956639812	0.3010299956639812	0.3010299956639812
0.32025014717755185	0.3010299956639812	0.3010299956639812	0.3010299956639812
0.4204437720359795	0.47712125471966244	0.47712125471966244	0.47712125471966244
0.5206373968944071	0.6020599913279624	0.6020599913279624	0.6020599913279624
0.6208310217528349	0.6020599913279624	0.6020599913279624	0.6020599913279624
0.7210246466112625	0.6989700043360189	0.6989700043360189	0.6989700043360189
0.8212182714696902	0.6989700043360189	0.6989700043360189	0.6989700043360189
0.9214118963281178	0.7781512503836436	0.7781512503836436	0.7781512503836436
1.0216055211865456	0.8450980400142568	0.8450980400142568	0.8450980400142568
1.1217991460449732	0.8450980400142568	0.8450980400142568	0.8450980400142568
1.221992770903401	0.8450980400142568	0.8450980400142568	0.8450980400142568
1.3221863957618287	0.9030899869919435	0.9030899869919435	0.9030899869919435
1.4223800206202564	0.8450980400142568	0.8450980400142568	0.8450980400142568
1.522573645478684	0.8450980400142568	0.8450980400142568	0.8450980400142568
1.6227672703371117	0.8450980400142568	0.8450980400142568	0.8450980400142568
1.7229608951955393	0.8450980400142568	0.8450980400142568	0.8450980400142568
1.823154520053967	0.8450980400142568	0.8450980400142568	0.8450980400142568
1.9233481449123946	0.9030899869919435	0.9030899869919435	0.9030899869919435
2.023541769770822	0.9030899869919435	0.9030899869919435	0.9030899869919435
2.1237353946292497	0.9030899869919435	0.9030899869919435	0.9030899869919435
2.2239290194876773	0.9030899869919435	0.9030899869919435	0.9030899869919435
2.324122644346105	0.9030899869919435	0.9030899869919435	0.9030899869919435
2.424316269204533	0.9030899869919435	0.9030899869919435	0.9030899869919435
2.5245098940629607	0.9542425094393249	0.9542425094393249	0.9542425094393249
2.6247035189213883	1.0	1.0	1.0
2.724897143779816	1.0	1.0	1.0
2.8250907686382436	0.9542425094393249	0.9542425094393249	0.9542425094393249
2.9252843934966712	0.9542425094393249	0.9542425094393249	0.9542425094393249
3.025478018355099	0.9542425094393249	0.9542425094393249	0.9542425094393249
3.1256716432135265	1.0	1.0	1.0
3.225865268071954	1.0	1.0	1.0
3.326058892930382	1.0	1.0	1.0
3.4262525177888095	0.9542425094393249	0.9542425094393249	0.9542425094393249
3.526446142647237	1.0413926851582251	1.0413926851582251	1.0413926851582251
3.6266397675056647	1.0791812460476249	1.0791812460476249	1.0791812460476249
3.7268333923640924	1.1760912590556813	1.1760912590556813	1.1760912590556813
3.82702701722252	1.1760912590556813	1.1760912590556813	1.1760912590556813
3.9272206420809477	1.1760912590556813	1.1760912590556813	1.1760912590556813
4.027414266939376	1.1760912590556813	1.1760912590556813	1.1760912590556813
4.127607891797804	1.1760912590556813	1.1760912590556813	1.1760912590556813
4.227801516656231	1.1760912590556813	1.1760912590556813	1.1760912590556813
4.327995141514659	1.2041199826559248	1.2041199826559248	1.2041199826559248
4.428188766373086	1.2041199826559248	1.2041199826559248	1.2041199826559248
4.528382391231514	1.2304489213782739	1.2304489213782739	1.2304489213782739
4.628576016089942	1.2304489213782739	1.2304489213782739	1.2304489213782739
4.72876964094837	1.2304489213782739	1.2304489213782739	1.2304489213782739
4.828963265806798	1.2304489213782739	1.2304489213782739	1.2304489213782739
4.929156890665225	1.2304489213782739	1.2304489213782739	1.2304489213782739
5.029350515523653	1.2041199826559248	1.2041199826559248	1.2041199826559248
5.12954414038208	1.2041199826559248	1.2041199826559248	1.2041199826559248
5.229737765240508	1.1760912590556813	1.1760912590556813	1.1760912590556813
5.329931390098936	1.1760912590556813	1.1760912590556813	1.1760912590556813
5.430125014957364	1.1760912590556813	1.1760912590556813	1.1760912590556813
5.530318639815791	1.1760912590556813	1.1760912590556813	1.1760912590556813
5.630512264674219	1.1760912590556813	1.1760912590556813	1.1760912590556813
5.730705889532646	1.146128035678238	1.146128035678238	1.146128035678238
5.830899514391074	1.146128035678238	1.146128035678238	1.146128035678238
5.931093139249501	1.2041199826559248	1.2041199826559248	1.2041199826559248
6.0312867641079295	1.2041199826559248	1.2041199826559248	1.2041199826559248
6.131480388966357	1.2041199826559248	1.2041199826559248	1.2041199826559248
6.231674013824785	1.2041199826559248	1.2041199826559248	1.2041199826559248
6.331867638683212	1.2304489213782739	1.2304489213782739	1.2304489213782739
6.43206126354164	1.2304489213782739	1.2304489213782739	1.2304489213782739
6.532254888400068	1.2304489213782739	1.2304489213782739	1.2304489213782739
6.632448513258495	1.2304489213782739	1.2304489213782739	1.2304489213782739
6.7326421381169235	1.3010299956639813	1.3010299956639813	1.3010299956639813
6.832835762975351	1.3010299956639813	1.3010299956639813	1.3010299956639813
6.933029387833779	1.3424226808222062	1.3424226808222062	1.3424226808222062
7.033223012692206	1.3424226808222062	1.3424226808222062	1.3424226808222062
7.133416637550634	1.3424226808222062	1.3424226808222062	1.3424226808222062
7.233610262409061	1.3617278360175928	1.3617278360175928	1.3617278360175928
7.333803887267489	1.3424226808222062	1.3424226808222062	1.3424226808222062
7.4339975121259165	1.3802112417116061	1.3802112417116061	1.3802112417116061
7.534191136984345	1.3802112417116061	1.3802112417116061	1.3802112417116061
7.634384761842772	1.3802112417116061	1.3802112417116061	1.3802112417116061
7.7345783867012	1.3802112417116061	1.3802112417116061	1.3802112417116061
7.834772011559627	1.3979400086720377	1.3979400086720377	1.3979400086720377
7.934965636418055	1.3979400086720377	1.3979400086720377	1.3979400086720377
8.035159261276482	1.462397997898956	1.462397997898956	1.462397997898956
