time	diversity	m_div	M_div
0.0	1.2304489213782739	1.2304489213782739	1.2304489213782739
0.10018336528822189	1.2304489213782739	1.2304489213782739	1.2304489213782739
0.20036673057644377	1.2304489213782739	1.2304489213782739	1.2304489213782739
0.30055009586466563	1.2304489213782739	1.2304489213782739	1.2304489213782739
0.40073346115288755	1.2304489213782739	1.2304489213782739	1.2304489213782739
0.5009168264411095	1.2304489213782739	1.2304489213782739	1.2304489213782739
0.6011001917293313	1.0791812460476249	1.0791812460476249	1.0791812460476249
0.7012835570175532	1.0	1.0	1.0
0.8014669223057751	1.0413926851582251	1.0413926851582251	1.0413926851582251
0.901650287593997	1.0413926851582251	1.0413926851582251	1.0413926851582251
1.001833652882219	1.0413926851582251	1.0413926851582251	1.0413926851582251
1.1020170181704407	1.0413926851582251	1.0413926851582251	1.0413926851582251
1.2022003834586625	1.0413926851582251	1.0413926851582251	1.0413926851582251
1.3023837487468846	1.0791812460476249	1.0791812460476249	1.0791812460476249
1.4025671140351064	1.0791812460476249	1.0791812460476249	1.0791812460476249
1.5027504793233284	1.0791812460476249	1.0791812460476249	1.0791812460476249
1.6029338446115502	1.0791812460476249	1.0791812460476249	1.0791812460476249
1.703117209899772	1.0791812460476249	1.0791812460476249	1.0791812460476249
1.803300575187994	1.0791812460476249	1.0791812460476249	1.0791812460476249
1.9034839404762158	1.0791812460476249	1.0791812460476249	1.0791812460476249
2.003667305764438	1.0413926851582251	1.0413926851582251	1.0413926851582251
2.1038506710526597	1.0413926851582251	1.0413926851582251	1.0413926851582251
2.2040340363408815	1.0413926851582251	1.0413926851582251	1.0413926851582251
2.3042174016291033	1.0413926851582251	1.0413926851582251	1.0413926851582251
2.404400766917325	1.0413926851582251	1.0413926851582251	1.0413926851582251
2.5045841322055473	1.0791812460476249	1.0791812460476249	1.0791812460476249
2.604767497493769	1.0791812460476249	1.0791812460476249	1.0791812460476249
2.704950862781991	1.0413926851582251	1.0413926851582251	1.0413926851582251
2.8051342280702127	1.0413926851582251	1.0413926851582251	1.0413926851582251
2.9053175933584345	1.0413926851582251	1.0413926851582251	1.0413926851582251
3.005500958646657	1.0791812460476249	1.0791812460476249	1.0791812460476249
3.1056843239348786	1.0791812460476249	1.0791812460476249	1.0791812460476249
3.2058676892231004	1.0791812460476249	1.0791812460476249	1.0791812460476249
3.306051054511322	1.0791812460476249	1.0791812460476249	1.0791812460476249
3.406234419799544	1.0791812460476249	1.0791812460476249	1.0791812460476249
3.5064177850877662	1.1139433523068367	1.1139433523068367	1.1139433523068367
3.606601150375988	1.1139433523068367	1.1139433523068367	1.1139433523068367
3.70678451566421	1.0791812460476249	1.0791812460476249	1.0791812460476249
3.8069678809524317	1.0791812460476249	1.0791812460476249	1.0791812460476249
3.9071512462406535	1.0791812460476249	1.0791812460476249	1.0791812460476249
4.007334611528876	1.1139433523068367	1.1139433523068367	1.1139433523068367
4.107517976817097	1.1139433523068367	1.1139433523068367	1.1139433523068367
4.207701342105319	1.1139433523068367	1.1139433523068367	1.1139433523068367
4.307884707393542	1.1139433523068367	1.1139433523068367	1.1139433523068367
4.408068072681763	1.1139433523068367	1.1139433523068367	1.1139433523068367
4.508251437969985	1.1139433523068367	1.1139433523068367	1.1139433523068367
4.6084348032582065	1.1139433523068367	1.1139433523068367	1.1139433523068367
4.708618168546429	1.1139433523068367	1.1139433523068367	1.1139433523068367
4.80880153383465	1.0791812460476249	1.0791812460476249	1.0791812460476249
4.908984899122872	1.0791812460476249	1.0791812460476249	1.0791812460476249
5.009168264411095	1.0791812460476249	1.0791812460476249	1.0791812460476249
5.109351629699316	1.0791812460476249	1.0791812460476249	1.0791812460476249
5.209534994987538	1.0791812460476249	1.0791812460476249	1.0791812460476249
5.30971836027576	1.0791812460476249	1.0791812460476249	1.0791812460476249
5.409901725563982	1.0791812460476249	1.0791812460476249	1.0791812460476249
