time	diversity	m_div	M_div
0.0	2.1367205671564067	2.1367205671564067	2.1367205671564067
0.10048801057085503	2.1522883443830567	2.1522883443830567	2.1522883443830567
0.20097602114171007	2.1522883443830567	2.1522883443830567	2.1522883443830567
0.3014640317125651	1.806179973983887	1.806179973983887	1.806179973983887
0.40195204228342013	1.7781512503836436	1.7781512503836436	1.7781512503836436
0.5024400528542752	1.7853298350107671	1.7853298350107671	1.7853298350107671
0.6029280634251302	1.7853298350107671	1.7853298350107671	1.7853298350107671
0.7034160739959853	1.792391689498254	1.792391689498254	1.792391689498254
0.8039040845668403	1.7993405494535817	1.7993405494535817	1.7993405494535817
0.9043920951376953	1.806179973983887	1.806179973983887	1.806179973983887
1.0048801057085504	1.8129133566428557	1.8129133566428557	1.8129133566428557
1.1053681162794053	1.8129133566428557	1.8129133566428557	1.8129133566428557
1.2058561268502603	1.8129133566428557	1.8129133566428557	1.8129133566428557
1.3063441374211153	1.8260748027008264	1.8260748027008264	1.8260748027008264
1.4068321479919705	1.845098040014257	1.845098040014257	1.845098040014257
1.5073201585628255	1.8388490907372552	1.8388490907372552	1.8388490907372552
1.6078081691336805	1.8388490907372552	1.8388490907372552	1.8388490907372552
1.7082961797045355	1.8260748027008264	1.8260748027008264	1.8260748027008264
1.8087841902753905	1.7993405494535817	1.7993405494535817	1.7993405494535817
1.9092722008462457	1.7634279935629373	1.7634279935629373	1.7634279935629373
2.0097602114171007	1.7634279935629373	1.7634279935629373	1.7634279935629373
2.1102482219879555	1.7634279935629373	1.7634279935629373	1.7634279935629373
2.2107362325588107	1.7481880270062005	1.7481880270062005	1.7481880270062005
2.311224243129666	1.7403626894942439	1.7403626894942439	1.7403626894942439
2.4117122537005207	1.7242758696007892	1.7242758696007892	1.7242758696007892
2.512200264271376	1.6720978579357175	1.6720978579357175	1.6720978579357175
2.6126882748422307	1.662757831681574	1.662757831681574	1.662757831681574
2.713176285413086	1.6232492903979006	1.6232492903979006	1.6232492903979006
2.813664295983941	1.6434526764861874	1.6434526764861874	1.6434526764861874
2.914152306554796	1.6532125137753437	1.6532125137753437	1.6532125137753437
3.014640317125651	1.662757831681574	1.662757831681574	1.662757831681574
3.115128327696506	1.6901960800285136	1.6901960800285136	1.6901960800285136
3.215616338267361	1.6989700043360187	1.6989700043360187	1.6989700043360187
3.3161043488382163	1.6989700043360187	1.6989700043360187	1.6989700043360187
3.416592359409071	1.662757831681574	1.662757831681574	1.662757831681574
3.5170803699799262	1.6532125137753437	1.6532125137753437	1.6532125137753437
3.617568380550781	1.6720978579357175	1.6720978579357175	1.6720978579357175
3.718056391121636	1.6989700043360187	1.6989700043360187	1.6989700043360187
3.8185444016924914	1.6812412373755872	1.6812412373755872	1.6812412373755872
3.919032412263346	1.6812412373755872	1.6812412373755872	1.6812412373755872
4.019520422834201	1.6901960800285136	1.6901960800285136	1.6901960800285136
4.120008433405056	1.6989700043360187	1.6989700043360187	1.6989700043360187
4.220496443975911	1.6901960800285136	1.6901960800285136	1.6901960800285136
4.320984454546767	1.6720978579357175	1.6720978579357175	1.6720978579357175
4.421472465117621	1.6720978579357175	1.6720978579357175	1.6720978579357175
4.521960475688476	1.6812412373755872	1.6812412373755872	1.6812412373755872
4.622448486259332	1.6812412373755872	1.6812412373755872	1.6812412373755872
4.722936496830187	1.6812412373755872	1.6812412373755872	1.6812412373755872
4.823424507401041	1.6901960800285136	1.6901960800285136	1.6901960800285136
4.923912517971897	1.6720978579357175	1.6720978579357175	1.6720978579357175
5.024400528542752	1.662757831681574	1.662757831681574	1.662757831681574
5.1248885391136065	1.662757831681574	1.662757831681574	1.662757831681574
5.225376549684461	1.662757831681574	1.662757831681574	1.662757831681574
5.325864560255317	1.6434526764861874	1.6434526764861874	1.6434526764861874
5.426352570826172	1.6127838567197355	1.6127838567197355	1.6127838567197355
5.5268405813970265	1.6127838567197355	1.6127838567197355	1.6127838567197355
5.627328591967882	1.6127838567197355	1.6127838567197355	1.6127838567197355
5.727816602538737	1.6532125137753437	1.6532125137753437	1.6532125137753437
5.828304613109592	1.6232492903979006	1.6232492903979006	1.6232492903979006
5.928792623680447	1.6127838567197355	1.6127838567197355	1.6127838567197355
6.029280634251302	1.6334684555795866	1.6334684555795866	1.6334684555795866
6.129768644822157	1.6434526764861874	1.6434526764861874	1.6434526764861874
6.230256655393012	1.6434526764861874	1.6434526764861874	1.6434526764861874
6.330744665963867	1.6532125137753437	1.6532125137753437	1.6532125137753437
6.431232676534722	1.662757831681574	1.662757831681574	1.662757831681574
6.531720687105577	1.6989700043360187	1.6989700043360187	1.6989700043360187
6.6322086976764325	1.7075701760979363	1.7075701760979363	1.7075701760979363
6.732696708247287	1.7160033436347992	1.7160033436347992	1.7160033436347992
6.833184718818142	1.7323937598229686	1.7323937598229686	1.7323937598229686
6.933672729388997	1.7634279935629373	1.7634279935629373	1.7634279935629373
7.0341607399598525	1.7634279935629373	1.7634279935629373	1.7634279935629373
7.134648750530707	1.7708520116421442	1.7708520116421442	1.7708520116421442
7.235136761101562	1.7781512503836436	1.7781512503836436	1.7781512503836436
7.335624771672418	1.7781512503836436	1.7781512503836436	1.7781512503836436
7.436112782243272	1.792391689498254	1.792391689498254	1.792391689498254
7.536600792814127	1.792391689498254	1.792391689498254	1.792391689498254
7.637088803384983	1.792391689498254	1.792391689498254	1.792391689498254
7.737576813955838	1.7853298350107671	1.7853298350107671	1.7853298350107671
7.838064824526692	1.7993405494535817	1.7993405494535817	1.7993405494535817
7.938552835097547	1.806179973983887	1.806179973983887	1.806179973983887
